Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-31,8.625,8.625,8.625,8.625,000,8.625
2015-12-30,8.61,8.632,8.61,8.625,000,8.625
2015-12-29,8.598,8.598,8.598,8.598,000,8.598
2015-12-28,8.598,8.598,8.598,8.598,000,8.598
2015-12-25,8.436,8.436,8.436,8.436,000,8.436
2015-12-24,8.436,8.436,8.436,8.436,000,8.436
2015-12-23,8.436,8.436,8.436,8.436,000,8.436
2015-12-22,8.408,8.408,8.408,8.408,000,8.408
2015-12-21,8.377,8.377,8.377,8.377,000,8.377
2015-12-18,8.377,8.377,8.377,8.377,000,8.377
2015-12-17,8.345,8.345,8.345,8.345,000,8.345
2015-12-16,8.325,8.325,8.325,8.325,000,8.325
2015-12-15,8.325,8.325,8.325,8.325,000,8.325
2015-12-14,8.334,8.334,8.334,8.334,000,8.334
2015-12-11,8.56,8.56,8.56,8.56,000,8.56
2015-12-10,8.76,8.76,8.60,8.60,000,8.60
2015-12-09,8.927,8.927,8.927,8.927,000,8.927
2015-12-08,9.188,9.188,9.188,9.188,000,9.188
2015-12-07,9.193,9.193,9.193,9.193,000,9.193
2015-12-04,9.25,9.25,9.25,9.25,000,9.25
2015-12-03,9.707,9.707,9.707,9.707,000,9.707
2015-12-02,9.711,9.711,9.711,9.711,000,9.711
2015-12-01,9.711,9.711,9.711,9.711,000,9.711
2015-11-30,9.468,9.468,9.468,9.468,000,9.468
2015-11-27,9.389,9.389,9.389,9.389,000,9.389
2015-11-26,9.389,9.389,9.389,9.389,000,9.389
2015-11-25,9.389,9.389,9.389,9.389,000,9.389
2015-11-24,9.531,9.531,9.531,9.531,000,9.531
2015-11-23,9.531,9.531,9.531,9.531,000,9.531
2015-11-20,9.531,9.531,9.531,9.531,000,9.531
2015-11-19,9.70,9.70,9.70,9.70,000,9.70
2015-11-18,9.602,9.602,9.602,9.602,000,9.602
2015-11-17,9.602,9.602,9.602,9.602,000,9.602
2015-11-16,9.602,9.602,9.602,9.602,000,9.602
2015-11-13,9.774,9.774,9.774,9.774,000,9.774
2015-11-12,9.917,9.917,9.917,9.917,000,9.917
2015-11-11,9.917,9.917,9.917,9.917,000,9.917
2015-11-10,9.917,9.917,9.917,9.917,000,9.917
2015-11-09,9.917,9.917,9.917,9.917,000,9.917
2015-11-06,9.797,9.797,9.797,9.797,000,9.797
2015-11-05,9.797,9.797,9.797,9.797,000,9.797
2015-11-04,9.579,9.579,9.579,9.579,000,9.579
2015-11-03,9.442,9.442,9.442,9.442,000,9.442
2015-11-02,9.439,9.439,9.439,9.439,000,9.439
2015-10-30,9.439,9.439,9.439,9.439,000,9.439
2015-10-29,9.507,9.507,9.507,9.507,000,9.507
2015-10-28,9.507,9.507,9.507,9.507,000,9.507
2015-10-27,9.507,9.507,9.507,9.507,000,9.507
2015-10-26,9.507,9.507,9.507,9.507,000,9.507
2015-10-23,9.318,9.318,9.318,9.318,000,9.318
2015-10-22,8.951,8.951,8.951,8.951,000,8.951
2015-10-21,8.963,8.963,8.963,8.963,000,8.963
2015-10-20,8.963,8.963,8.963,8.963,000,8.963
2015-10-19,9.024,9.024,9.024,9.024,000,9.024
2015-10-16,9.20,9.20,9.20,9.20,000,9.20
2015-10-15,9.20,9.20,9.20,9.20,000,9.20
2015-10-14,9.20,9.20,9.20,9.20,000,9.20
2015-10-13,9.20,9.20,9.20,9.20,000,9.20
2015-10-12,9.20,9.20,9.20,9.20,000,9.20
2015-10-09,9.059,9.059,9.059,9.059,000,9.059
2015-10-08,9.059,9.059,9.059,9.059,000,9.059
2015-10-07,8.999,8.999,8.999,8.999,000,8.999
2015-10-06,8.984,8.984,8.984,8.984,000,8.984
2015-10-05,8.565,8.984,8.565,8.984,1000,8.984
2015-10-02,8.565,8.565,8.565,8.565,000,8.565
2015-10-01,8.565,8.565,8.565,8.565,000,8.565
2015-09-30,8.412,8.412,8.412,8.412,000,8.412
2015-09-29,8.297,8.297,8.297,8.297,000,8.297
2015-09-28,8.758,8.758,8.758,8.758,000,8.758
2015-09-25,8.781,8.781,8.781,8.781,000,8.781
2015-09-24,8.875,8.875,8.875,8.875,000,8.875
2015-09-23,8.569,8.569,8.569,8.569,000,8.569
2015-09-22,9.252,9.252,9.252,9.252,000,9.252
2015-09-21,9.315,9.315,9.315,9.315,000,9.315
2015-09-18,9.632,9.632,9.632,9.632,000,9.632
2015-09-17,9.641,9.641,9.641,9.641,000,9.641
2015-09-16,9.641,9.641,9.641,9.641,000,9.641
2015-09-15,9.641,9.641,9.641,9.641,000,9.641
2015-09-14,9.641,9.641,9.641,9.641,000,9.641
2015-09-11,9.641,9.641,9.641,9.641,000,9.641
2015-09-10,9.641,9.641,9.641,9.641,000,9.641
2015-09-09,9.641,9.641,9.641,9.641,000,9.641
2015-09-08,9.472,9.472,9.472,9.472,000,9.472
2015-09-07,9.474,9.474,9.474,9.474,000,9.474
2015-09-04,9.474,9.474,9.474,9.474,000,9.474
2015-09-03,9.472,9.472,9.472,9.472,000,9.472
2015-09-02,9.472,9.472,9.472,9.472,000,9.472
2015-09-01,9.546,9.546,9.546,9.546,000,9.546
2015-08-31,9.572,9.572,9.572,9.572,000,9.572
2015-08-28,9.572,9.572,9.572,9.572,000,9.572
2015-08-27,9.451,9.451,9.451,9.451,000,9.451
2015-08-26,9.451,9.451,9.451,9.451,000,9.451
2015-08-25,9.451,9.451,9.451,9.451,000,9.451
2015-08-24,9.736,9.736,9.736,9.736,000,9.736
2015-08-21,9.856,9.856,9.856,9.856,000,9.856
2015-08-20,10.24,10.24,10.24,10.24,000,10.24
2015-08-19,10.565,10.565,10.565,10.565,000,10.565
2015-08-18,10.645,10.645,10.645,10.645,000,10.645
2015-08-17,10.645,10.645,10.645,10.645,000,10.645
2015-08-14,10.645,10.645,10.645,10.645,000,10.645
2015-08-13,10.56,10.56,10.56,10.56,000,10.56
2015-08-12,10.755,10.755,10.755,10.755,000,10.755
2015-08-11,11.00,11.00,11.00,11.00,000,11.00
2015-08-10,10.805,10.805,10.805,10.805,000,10.805
2015-08-07,10.805,10.805,10.805,10.805,000,10.805
2015-08-06,10.805,10.805,10.805,10.805,000,10.805
2015-08-05,10.805,10.805,10.805,10.805,000,10.805
2015-08-04,10.805,10.805,10.805,10.805,000,10.805
2015-08-03,10.805,10.805,10.805,10.805,000,10.805
2015-07-31,10.805,10.805,10.805,10.805,000,10.805
2015-07-30,10.805,10.805,10.805,10.805,000,10.805
2015-07-29,10.805,10.805,10.805,10.805,000,10.805
2015-07-28,10.805,10.805,10.805,10.805,000,10.805
2015-07-27,10.935,10.935,10.935,10.935,000,10.935
2015-07-24,11.055,11.055,11.055,11.055,000,11.055
2015-07-23,11.055,11.055,11.055,11.055,000,11.055
2015-07-22,11.055,11.055,11.055,11.055,000,11.055
2015-07-21,11.15,11.15,11.15,11.15,000,11.15
2015-07-20,10.935,10.935,10.935,10.935,000,10.935
2015-07-17,11.62,11.62,11.62,11.62,000,11.62
2015-07-16,11.235,11.235,11.235,11.235,000,11.235
2015-07-15,11.54,11.54,11.54,11.54,000,11.54
2015-07-14,11.57,11.57,11.57,11.57,000,11.57
2015-07-13,11.195,11.195,11.195,11.195,000,11.195
2015-07-10,11.13,11.29,11.13,11.29,000,11.29
2015-07-09,10.63,10.63,10.63,10.63,000,10.63
2015-07-08,10.665,10.665,10.665,10.665,000,10.665
2015-07-07,10.94,10.94,10.94,10.94,000,10.94
2015-07-06,10.82,10.82,10.82,10.82,000,10.82
2015-07-03,11.26,11.26,11.26,11.26,000,11.26
2015-07-02,11.385,11.385,11.385,11.385,000,11.385
2015-07-01,11.385,11.385,11.385,11.385,000,11.385
2015-06-30,11.445,11.445,11.445,11.445,000,11.445
2015-06-29,11.445,11.445,11.445,11.445,000,11.445
2015-06-26,11.975,11.975,11.975,11.975,000,11.975
2015-06-25,12.03,12.03,12.03,12.03,000,12.03
2015-06-24,12.03,12.03,12.03,12.03,000,12.03
2015-06-23,11.785,11.785,11.785,11.785,000,11.785
2015-06-22,11.63,11.63,11.63,11.63,000,11.63
2015-06-19,11.63,11.63,11.63,11.63,000,11.63
2015-06-18,11.83,11.83,11.83,11.83,000,11.83
