Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.271,1.271,1.271,1.271,000,1.271
2016-03-31,1.304,1.304,1.304,1.304,000,1.304
2016-03-30,1.263,1.263,1.263,1.263,000,1.263
2016-03-29,1.251,1.251,1.251,1.251,000,1.251
2016-03-28,1.241,1.241,1.241,1.241,000,1.241
2016-03-25,1.241,1.241,1.241,1.241,000,1.241
2016-03-24,1.241,1.241,1.241,1.241,000,1.241
2016-03-23,1.175,1.175,1.175,1.175,000,1.175
2016-03-22,1.191,1.191,1.191,1.191,000,1.191
2016-03-21,1.195,1.195,1.195,1.195,000,1.195
2016-03-18,1.20,1.20,1.20,1.20,000,1.20
2016-03-17,1.209,1.209,1.209,1.209,000,1.209
2016-03-16,1.176,1.176,1.176,1.176,000,1.176
2016-03-15,1.189,1.189,1.189,1.189,000,1.189
2016-03-14,1.182,1.182,1.182,1.182,000,1.182
2016-03-11,1.186,1.186,1.186,1.186,000,1.186
2016-03-10,1.21,1.21,1.21,1.21,000,1.21
2016-03-09,1.221,1.221,1.221,1.221,000,1.221
2016-03-08,1.236,1.236,1.236,1.236,000,1.236
2016-03-07,1.223,1.223,1.223,1.223,000,1.223
2016-03-04,1.253,1.253,1.253,1.253,000,1.253
2016-03-03,1.272,1.272,1.272,1.272,000,1.272
2016-03-02,1.256,1.256,1.256,1.256,000,1.256
2016-03-01,1.246,1.246,1.246,1.246,000,1.246
2016-02-29,1.264,1.264,1.264,1.264,000,1.264
2016-02-26,1.26,1.26,1.26,1.26,000,1.26
2016-02-25,1.246,1.246,1.246,1.246,000,1.246
2016-02-24,1.249,1.249,1.249,1.249,000,1.249
2016-02-23,1.211,1.211,1.211,1.211,000,1.211
2016-02-22,1.204,1.204,1.204,1.204,000,1.204
2016-02-19,1.196,1.196,1.196,1.196,000,1.196
2016-02-18,1.189,1.189,1.189,1.189,000,1.189
2016-02-17,1.196,1.196,1.196,1.196,000,1.196
2016-02-16,1.233,1.233,1.233,1.233,000,1.233
2016-02-15,1.188,1.188,1.188,1.188,000,1.188
2016-02-12,1.175,1.175,1.175,1.175,000,1.175
2016-02-11,1.196,1.196,1.196,1.196,000,1.196
2016-02-10,1.138,1.138,1.138,1.138,000,1.138
2016-02-09,1.162,1.162,1.162,1.162,000,1.162
2016-02-08,1.212,1.212,1.212,1.212,000,1.212
2016-02-05,1.204,1.204,1.204,1.204,000,1.204
2016-02-04,1.159,1.159,1.159,1.159,000,1.159
2016-02-03,1.185,1.185,1.185,1.185,000,1.185
2016-02-02,1.188,1.188,1.188,1.188,000,1.188
2016-02-01,1.192,1.192,1.192,1.192,000,1.192
2016-01-29,1.181,1.181,1.181,1.181,000,1.181
2016-01-28,1.17,1.17,1.17,1.17,000,1.17
2016-01-27,1.19,1.19,1.19,1.19,000,1.19
2016-01-26,1.172,1.172,1.172,1.172,000,1.172
2016-01-25,1.128,1.128,1.128,1.128,000,1.128
2016-01-22,1.083,1.083,1.083,1.083,000,1.083
2016-01-21,1.17,1.17,1.17,1.17,000,1.17
2016-01-20,1.152,1.152,1.152,1.152,000,1.152
2016-01-19,1.232,1.232,1.232,1.232,000,1.232
2016-01-18,1.282,1.282,1.282,1.282,000,1.282
