Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,50.189999,50.950001,50.150002,50.869999,418200,50.869999
2016-03-31,50.700001,50.880001,50.369999,50.560001,334500,50.560001
2016-03-30,50.990002,51.00,50.48,50.779999,293600,50.779999
2016-03-29,50.189999,50.950001,49.950001,50.93,1024200,50.93
2016-03-28,50.169998,50.59,49.689999,50.09,255800,50.09
2016-03-24,49.57,50.150002,49.400002,50.119999,438600,50.119999
2016-03-23,49.619999,50.09,49.299999,49.849998,296900,49.849998
2016-03-22,49.459999,49.93,49.27,49.639999,202400,49.639999
2016-03-21,49.700001,49.759998,49.040001,49.529999,211900,49.529999
2016-03-18,49.919998,50.07,49.400002,49.68,744700,49.68
2016-03-17,49.450001,50.07,49.380001,50.009998,420500,50.009998
2016-03-16,49.00,49.77,48.75,49.290001,673400,49.290001
2016-03-15,48.580002,49.290001,48.580002,49.18,265700,49.18
2016-03-14,49.060001,49.369999,48.66,48.75,353300,48.75
2016-03-11,48.700001,49.060001,48.509998,48.950001,458800,48.950001
2016-03-10,48.110001,48.439999,47.529999,48.41,300900,48.41
2016-03-09,47.77,48.27,47.77,48.169998,343100,48.169998
2016-03-08,47.75,48.00,47.490002,47.900002,281200,47.900002
2016-03-07,46.860001,47.740002,46.790001,47.689999,341600,47.689999
2016-03-04,45.720001,47.07,45.720001,46.990002,473900,46.990002
2016-03-03,45.810001,46.00,45.23,45.98,329300,45.98
2016-03-02,44.91,45.759998,44.080002,45.740002,716700,45.740002
2016-03-01,45.75,45.84,44.799999,45.02,484200,45.02
2016-02-29,45.09,45.860001,45.09,45.52,700700,45.52
2016-02-26,46.490002,46.669998,44.939999,45.119999,500300,45.119999
2016-02-25,46.639999,46.990002,46.360001,46.529999,510800,46.529999
2016-02-24,45.880001,46.630001,45.709999,46.59,389000,46.59
2016-02-23,45.869999,46.41,45.650002,46.09,435100,46.09
2016-02-22,45.900002,45.900002,45.389999,45.509998,349600,45.509998
2016-02-19,45.209999,45.689999,45.189999,45.540001,314500,45.540001
2016-02-18,44.709999,45.52,44.459999,45.439999,384600,45.439999
2016-02-17,44.450001,44.849998,44.080002,44.740002,503700,44.740002
2016-02-16,44.389999,44.630001,43.900002,44.389999,262500,44.389999
2016-02-12,44.169998,44.389999,43.459999,44.029999,377600,44.029999
2016-02-11,44.029999,44.540001,43.490002,44.16,499500,44.16
2016-02-10,44.66,44.93,43.889999,44.689999,465700,44.289999
2016-02-09,44.32,44.740002,44.02,44.529999,357900,44.131432
2016-02-08,43.889999,44.57,43.73,44.50,570600,44.101701
2016-02-05,43.889999,44.830002,43.330002,44.029999,1035400,43.635907
2016-02-04,43.919998,44.509998,43.59,43.849998,653300,43.457518
2016-02-03,42.959999,44.490002,42.959999,44.139999,958600,43.744923
2016-02-02,42.549999,42.84,42.240002,42.73,675900,42.347543
2016-02-01,41.720001,42.93,41.720001,42.700001,435100,42.317813
2016-01-29,41.43,42.00,41.32,41.84,1024600,41.46551
2016-01-28,40.669998,41.400002,40.509998,41.169998,466400,40.801505
2016-01-27,40.380001,41.00,40.110001,40.509998,329700,40.147412
2016-01-26,40.450001,41.119999,40.32,40.529999,399400,40.167234
2016-01-25,40.66,40.77,40.150002,40.299999,367000,39.939293
2016-01-22,39.939999,40.759998,39.75,40.73,327200,40.365444
2016-01-21,40.450001,40.759998,39.490002,39.709999,423400,39.354573
2016-01-20,41.18,41.610001,39.43,40.470001,486500,40.107773
2016-01-19,41.580002,41.779999,41.209999,41.459999,397600,41.08891
2016-01-15,41.369999,41.970001,40.450001,41.279999,433400,40.910521
2016-01-14,40.73,42.23,40.610001,41.93,453300,41.554705
2016-01-13,41.48,41.669998,40.59,40.66,510100,40.296071
2016-01-12,42.240002,42.259998,41.290001,41.450001,372600,41.079001
2016-01-11,41.970001,42.34,41.810001,42.099998,201600,41.723181
2016-01-08,42.119999,42.380001,41.77,41.880001,273700,41.505153
2016-01-07,41.950001,42.43,41.889999,42.029999,246200,41.653808
2016-01-06,42.34,42.810001,42.27,42.52,204600,42.139424
2016-01-05,42.02,42.77,41.650002,42.630001,345200,42.24844
2016-01-04,42.279999,42.279999,41.73,42.02,387600,41.643899
2015-12-31,43.439999,43.48,42.419998,42.419998,311100,42.040317
2015-12-30,43.529999,43.799999,43.41,43.459999,198300,43.071009
2015-12-29,43.209999,43.599998,43.209999,43.470001,243500,43.080922
2015-12-28,42.610001,43.060001,42.32,43.009998,269200,42.625036
2015-12-24,42.810001,42.900002,42.52,42.689999,111600,42.3079
2015-12-23,42.200001,42.889999,42.200001,42.830002,227700,42.446651
2015-12-22,41.950001,42.220001,41.48,42.060001,314700,41.683542
2015-12-21,41.73,42.09,41.349998,41.889999,377400,41.515062
2015-12-18,41.75,42.139999,41.130001,41.50,1259100,41.128553
2015-12-17,42.099998,42.290001,41.810001,41.810001,353900,41.43578
2015-12-16,40.84,42.220001,40.84,42.029999,469000,41.653808
2015-12-15,40.560001,40.880001,40.549999,40.68,311400,40.315893
2015-12-14,40.41,40.560001,39.98,40.450001,331700,40.087952
