Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,21.10,21.10,21.10,21.10,000,21.10
2016-03-31,21.10,21.10,21.10,21.10,000,21.10
2016-03-30,21.10,21.10,21.10,21.10,000,21.10
2016-03-29,21.10,21.10,21.10,21.10,500,20.752
2016-03-28,19.66,19.66,19.66,19.66,000,19.336
2016-03-25,19.66,19.66,19.66,19.66,000,19.336
2016-03-24,19.66,19.66,19.66,19.66,000,19.336
2016-03-23,19.66,19.66,19.66,19.66,000,19.336
2016-03-22,19.66,19.66,19.66,19.66,000,19.336
2016-03-21,19.66,19.66,19.66,19.66,000,19.336
2016-03-18,19.66,19.66,19.66,19.66,000,19.336
2016-03-17,19.66,19.66,19.66,19.66,000,19.336
2016-03-16,19.68,19.68,19.68,19.68,000,19.356
2016-03-15,19.68,19.68,19.68,19.68,000,19.356
2016-03-14,19.68,19.68,19.68,19.68,000,19.356
2016-03-11,19.68,19.68,19.68,19.68,000,19.356
2016-03-10,19.68,19.68,19.68,19.68,000,19.356
2016-03-09,19.68,19.68,19.68,19.68,000,19.356
2016-03-08,19.68,19.68,19.68,19.68,000,19.356
2016-03-07,19.68,19.68,19.68,19.68,000,19.356
2016-03-04,19.68,19.68,19.68,19.68,000,19.356
2016-03-03,19.68,19.68,19.68,19.68,000,19.356
2016-03-02,19.68,19.68,19.68,19.68,000,19.356
2016-03-01,19.68,19.68,19.68,19.68,000,19.356
2016-02-29,19.68,19.68,19.68,19.68,000,19.356
2016-02-26,20.06,20.06,20.06,20.06,100,19.729
2016-02-25,17.57,17.57,17.57,17.57,000,17.28
2016-02-24,17.57,17.57,17.57,17.57,000,17.28
2016-02-23,17.57,17.57,17.57,17.57,000,17.28
2016-02-22,17.57,17.57,17.57,17.57,000,17.28
2016-02-19,17.57,17.57,17.57,17.57,000,17.28
2016-02-18,17.57,17.57,17.57,17.57,000,17.28
2016-02-17,17.57,17.57,17.57,17.57,000,17.28
2016-02-16,17.57,17.57,17.57,17.57,000,17.28
2016-02-15,17.57,17.57,17.57,17.57,000,17.28
