Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,0.499,0.499,0.499,0.499,000,0.309
2015-03-31,0.499,0.499,0.499,0.499,000,0.309
2015-03-30,0.499,0.499,0.499,0.499,000,0.309
2015-03-27,0.499,0.499,0.499,0.499,000,0.309
2015-03-26,0.499,0.499,0.499,0.499,000,0.309
2015-03-25,0.499,0.499,0.499,0.499,000,0.309
2015-03-24,0.499,0.499,0.499,0.499,000,0.309
2015-03-23,0.499,0.499,0.499,0.499,000,0.309
2015-03-20,0.499,0.499,0.499,0.499,000,0.309
2015-03-19,0.499,0.499,0.499,0.499,000,0.309
2015-03-18,0.499,0.499,0.499,0.499,000,0.309
2015-03-17,0.499,0.499,0.499,0.499,000,0.309
2015-03-16,0.499,0.499,0.499,0.499,000,0.309
2015-03-13,0.499,0.499,0.499,0.499,000,0.309
2015-03-12,0.499,0.499,0.499,0.499,000,0.309
2015-03-11,0.499,0.499,0.499,0.499,000,0.309
2015-03-10,0.499,0.499,0.499,0.499,000,0.309
2015-03-09,0.499,0.499,0.499,0.499,000,0.309
2015-03-06,0.499,0.499,0.499,0.499,000,0.309
2015-03-05,0.499,0.499,0.499,0.499,000,0.309
2015-03-04,0.499,0.499,0.499,0.499,000,0.309
2015-03-03,0.499,0.499,0.499,0.499,000,0.309
2015-03-02,0.499,0.499,0.499,0.499,000,0.309
2015-02-27,0.499,0.499,0.499,0.499,000,0.309
2015-02-26,0.499,0.499,0.499,0.499,000,0.309
2015-02-25,0.499,0.499,0.499,0.499,000,0.309
2015-02-24,0.499,0.499,0.499,0.499,000,0.309
2015-02-23,0.499,0.499,0.499,0.499,000,0.309
2015-02-20,0.50,0.50,0.499,0.499,3200,0.309
2015-02-19,0.496,0.509,0.496,0.508,18700,0.315
2015-02-18,0.514,0.514,0.502,0.503,32000,0.311
2015-02-17,0.499,0.499,0.499,0.499,000,0.309
2015-02-16,0.499,0.499,0.499,0.499,000,0.309
2015-02-13,0.508,0.508,0.491,0.499,6900,0.309
2015-02-12,0.498,0.503,0.49,0.503,42100,0.311
2015-02-11,0.489,0.489,0.484,0.484,39500,0.30
2015-02-10,0.491,0.491,0.478,0.478,12200,0.296
2015-02-09,0.49,0.49,0.476,0.486,62700,0.301
2015-02-06,0.49,0.49,0.49,0.49,12000,0.303
