Date,Open,High,Low,Close,Volume,Adj_Close
2013-03-29,37.14,37.14,37.14,37.14,000,37.14
2013-03-28,37.14,37.14,37.14,37.14,000,37.14
2013-03-27,36.795,36.795,36.795,36.795,000,36.795
2013-03-26,37.625,37.625,37.625,37.625,000,37.625
2013-03-25,36.245,36.245,36.245,36.245,000,36.245
2013-03-22,36.26,36.26,36.26,36.26,000,36.26
2013-03-21,36.165,36.165,36.165,36.165,000,36.165
2013-03-20,37.25,37.25,37.25,37.25,000,37.25
2013-03-19,36.875,36.875,36.875,36.875,000,36.875
2013-03-18,35.41,35.41,35.41,35.41,000,35.41
2013-03-15,35.55,35.55,35.55,35.55,000,35.55
2013-03-14,34.89,34.89,34.89,34.89,000,34.89
2013-03-13,35.31,35.31,35.31,35.31,000,35.31
2013-03-12,35.92,35.92,35.92,35.92,000,35.92
2013-03-11,35.81,35.81,35.81,35.81,000,35.81
2013-03-08,34.89,34.89,34.89,34.89,000,34.89
2013-03-07,35.38,35.38,35.38,35.38,000,35.38
2013-03-06,35.195,35.195,35.195,35.195,000,35.195
2013-03-05,35.10,35.10,35.10,35.10,000,35.10
2013-03-04,35.11,35.735,35.11,35.735,000,35.735
2013-03-01,34.11,34.11,34.11,34.11,000,34.11
2013-02-28,33.33,33.33,33.33,33.33,000,33.33
2013-02-27,33.205,33.205,33.205,33.205,000,33.205
2013-02-26,33.495,33.495,33.495,33.495,000,33.495
2013-02-25,32.365,32.365,32.365,32.365,000,32.365
2013-02-22,32.50,32.50,32.50,32.50,000,32.50
2013-02-21,31.94,31.94,31.94,31.94,000,31.94
2013-02-20,31.97,31.97,31.97,31.97,000,31.97
2013-02-19,30.755,30.755,30.755,30.755,000,30.755
2013-02-18,30.325,30.325,30.325,30.325,000,30.325
2013-02-15,30.10,30.10,30.10,30.10,000,30.10
2013-02-14,29.83,29.83,29.83,29.83,000,29.83
2013-02-13,30.09,30.09,30.09,30.09,000,30.09
2013-02-12,29.945,29.945,29.945,29.945,000,29.945
2013-02-11,29.85,29.85,29.85,29.85,000,29.85
2013-02-08,29.41,29.41,29.41,29.41,000,29.41
