Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.266,4.266,4.256,4.256,000,4.256
2016-03-31,4.313,4.313,4.313,4.313,000,4.313
2016-03-30,4.235,4.346,4.235,4.346,100,4.346
2016-03-29,4.091,4.282,4.091,4.282,000,4.282
2016-03-28,3.813,3.813,3.813,3.813,000,3.813
2016-03-25,3.813,3.813,3.813,3.813,000,3.813
2016-03-24,3.813,3.813,3.813,3.813,000,3.813
2016-03-23,4.031,4.031,3.884,3.884,100,3.884
2016-03-22,3.949,4.133,3.949,4.133,400,4.133
2016-03-21,3.965,3.965,3.965,3.965,000,3.965
2016-03-18,3.886,3.886,3.886,3.886,000,3.886
2016-03-17,3.823,3.914,3.818,3.914,000,3.914
2016-03-16,3.803,3.90,3.803,3.90,000,3.90
2016-03-15,3.897,3.897,3.897,3.897,000,3.897
2016-03-11,3.26,3.386,3.26,3.386,300,3.386
2016-03-09,3.325,3.455,3.325,3.455,1900,3.455
2016-03-08,3.548,3.548,3.548,3.548,000,3.548
2016-02-12,2.704,2.704,2.704,2.704,000,2.704
2016-01-26,2.74,2.74,2.74,2.74,1300,2.74
2016-01-20,2.733,2.733,2.733,2.733,000,2.733
2016-01-19,2.85,2.85,2.85,2.85,000,2.85
2016-01-18,2.845,2.845,2.845,2.845,000,2.845
2016-01-15,2.761,2.806,2.761,2.806,1100,2.806
2016-01-12,3.036,3.166,3.036,3.166,100,3.166
2016-01-11,3.154,3.154,3.154,3.154,000,3.154
2016-01-07,3.517,3.517,3.332,3.332,600,3.332
2016-01-06,3.769,3.769,3.769,3.769,000,3.769
2016-01-05,3.687,3.687,3.687,3.687,000,3.687
2016-01-04,3.684,3.684,3.684,3.684,000,3.684
2016-01-01,3.668,3.668,3.668,3.668,000,3.668
2015-12-31,3.668,3.668,3.668,3.668,000,3.668
2015-12-30,3.668,3.668,3.668,3.668,000,3.668
2015-12-29,3.583,3.583,3.583,3.583,000,3.583
2015-12-28,3.721,3.721,3.721,3.721,000,3.721
2015-12-25,3.721,3.721,3.721,3.721,000,3.721
2015-12-24,3.721,3.721,3.721,3.721,000,3.721
2015-12-23,3.721,3.721,3.721,3.721,000,3.721
2015-12-22,3.753,3.753,3.753,3.753,000,3.753
2015-12-21,3.653,3.653,3.653,3.653,000,3.653
2015-12-18,3.709,3.709,3.709,3.709,000,3.709
2015-12-17,3.719,3.719,3.719,3.719,000,3.719
2015-12-16,3.52,3.52,3.52,3.52,000,3.52
2015-12-15,3.252,3.252,3.252,3.252,000,3.252
2015-12-14,3.406,3.537,3.406,3.537,500,3.537
2015-12-11,3.576,3.576,3.576,3.576,000,3.576
2015-12-10,3.433,3.433,3.433,3.433,000,3.433
2015-12-09,3.35,3.35,3.35,3.35,000,3.35
2015-12-08,3.61,3.61,3.61,3.61,000,3.61
2015-12-07,3.785,3.785,3.785,3.785,000,3.785
2015-12-04,3.832,3.832,3.832,3.832,000,3.832
2015-12-03,4.03,4.03,3.947,3.947,000,3.947
2015-12-02,4.219,4.219,4.219,4.219,000,4.219
2015-12-01,4.308,4.308,4.308,4.308,000,4.308
2015-11-30,4.298,4.298,4.298,4.298,000,4.298
2015-11-27,4.319,4.319,4.319,4.319,000,4.319
2015-11-26,4.326,4.326,4.326,4.326,000,4.326
2015-11-25,4.215,4.503,4.215,4.503,000,4.503
2015-11-24,4.203,4.203,4.203,4.203,000,4.203
2015-11-23,4.284,4.284,4.266,4.266,500,4.266
2015-11-20,4.192,4.192,4.192,4.192,000,4.192
2015-11-19,4.262,4.296,4.262,4.296,500,4.296
2015-11-18,4.246,4.246,4.246,4.246,000,4.246
2015-11-16,4.268,4.268,4.268,4.268,000,4.268
2015-11-13,4.345,4.345,4.345,4.345,000,4.345
2015-11-12,4.517,4.517,4.517,4.517,000,4.517
2015-11-11,4.543,4.73,4.543,4.73,2000,4.73
2015-11-10,4.593,4.593,4.593,4.593,000,4.593
2015-11-09,4.444,4.444,4.444,4.444,000,4.444
2015-11-06,5.008,5.008,5.008,5.008,000,5.008
2015-11-05,4.569,4.569,4.569,4.569,000,4.569
2015-11-04,4.508,4.508,4.508,4.508,000,4.508
2015-11-03,4.544,4.544,4.544,4.544,000,4.544
2015-11-02,4.437,4.567,4.437,4.567,200,4.567
2015-10-30,4.418,4.418,4.418,4.418,000,4.418
2015-10-29,4.42,4.599,4.42,4.599,100,4.599
2015-10-28,4.112,4.40,4.112,4.40,300,4.40
2015-10-27,4.187,4.187,4.187,4.187,000,4.187
2015-10-26,4.257,4.43,4.25,4.25,1100,4.25
2015-10-23,4.287,4.287,4.287,4.287,000,4.287
2015-10-22,3.832,3.832,3.832,3.832,1500,3.832
2015-10-21,4.37,4.37,4.37,4.37,000,4.37
2015-10-20,3.557,3.557,3.557,3.557,000,3.557
2015-10-19,3.552,3.552,3.552,3.552,000,3.552
2015-10-16,3.635,3.635,3.635,3.635,000,3.635
2015-10-15,3.499,3.499,3.499,3.499,000,3.499
2015-10-14,3.561,3.561,3.561,3.561,000,3.561
2015-10-13,3.741,3.741,3.741,3.741,000,3.741
2015-10-12,3.761,3.761,3.761,3.761,000,3.761
2015-10-09,3.694,3.694,3.694,3.694,000,3.694
2015-10-08,3.718,3.718,3.718,3.718,000,3.718
2015-10-07,3.938,3.938,3.938,3.938,000,3.938
2015-10-06,3.874,3.874,3.874,3.874,000,3.874
2015-10-05,3.597,3.597,3.597,3.597,000,3.597
2015-10-02,3.552,3.552,3.389,3.389,100,3.389
2015-10-01,3.714,3.714,3.714,3.714,000,3.714
2015-09-30,3.696,3.696,3.696,3.696,000,3.696
2015-09-29,3.831,3.831,3.831,3.831,000,3.831
2015-09-28,3.924,3.924,3.924,3.924,000,3.924
2015-09-25,3.809,3.88,3.809,3.88,000,3.88
2015-09-24,3.624,3.624,3.624,3.624,000,3.624
2015-09-23,3.608,3.608,3.608,3.608,000,3.608
2015-09-21,3.635,3.635,3.635,3.635,000,3.635
2015-09-18,3.794,3.83,3.794,3.83,100,3.83
2015-09-17,3.843,3.843,3.843,3.843,000,3.843
2015-09-16,3.729,3.729,3.729,3.729,000,3.729
2015-09-15,3.674,3.674,3.674,3.674,000,3.674
2015-09-14,3.849,3.849,3.849,3.849,000,3.849
2015-09-11,3.962,3.962,3.962,3.962,000,3.962
2015-09-10,4.016,4.016,4.016,4.016,000,4.016
2015-09-09,4.146,4.146,4.146,4.146,000,4.146
2015-09-08,3.912,3.912,3.912,3.912,000,3.912
2015-09-07,3.932,3.932,3.932,3.932,000,3.932
2015-09-04,4.026,4.026,4.026,4.026,000,4.026
2015-09-03,4.067,4.067,4.067,4.067,000,4.067
2015-09-02,3.87,3.87,3.87,3.87,000,3.87
2015-09-01,3.972,3.972,3.972,3.972,000,3.972
2015-08-31,4.23,4.23,4.084,4.084,500,4.084
2015-08-28,3.769,4.225,3.769,4.225,2200,4.225
2015-08-27,3.479,3.479,3.479,3.479,000,3.479
2015-08-26,3.324,3.324,3.324,3.324,000,3.324
2015-08-25,3.467,3.467,3.467,3.467,000,3.467
2015-08-24,3.678,3.678,3.678,3.678,000,3.678
2015-08-21,3.746,3.746,3.746,3.746,000,3.746
2015-08-20,4.033,4.033,4.033,4.033,000,4.033
2015-08-19,4.167,4.167,4.167,4.167,000,4.167
2015-08-18,4.236,4.236,4.236,4.236,000,4.236
2015-08-17,4.275,4.275,4.275,4.275,000,4.275
2015-08-14,4.231,4.231,4.231,4.231,000,4.231
2015-08-13,4.373,4.373,4.373,4.373,000,4.373
2015-08-12,4.276,4.316,4.276,4.316,300,4.316
2015-08-11,4.498,4.498,4.498,4.498,000,4.498
2015-08-10,4.561,4.561,4.561,4.561,000,4.561
2015-08-07,5.065,5.065,5.065,5.065,000,5.065
2015-08-06,4.889,4.889,4.889,4.889,000,4.889
2015-08-05,4.898,5.099,4.898,5.099,000,5.099
2015-08-04,4.85,4.85,4.85,4.85,000,4.85
2015-08-03,4.875,4.875,4.875,4.875,000,4.875
2015-07-31,4.905,4.905,4.905,4.905,000,4.905
2015-07-30,4.971,4.971,4.971,4.971,000,4.971
2015-07-29,4.873,4.873,4.873,4.873,000,4.873
2015-07-28,4.799,4.799,4.799,4.799,000,4.799
2015-07-27,4.999,4.999,4.999,4.999,000,4.999
2015-07-24,5.157,5.157,5.157,5.157,000,5.157
2015-07-23,5.151,5.151,5.151,5.151,600,5.151
2015-07-22,5.281,5.281,5.281,5.281,000,5.281
2015-07-21,5.495,5.495,5.495,5.495,000,5.495
2015-07-20,5.632,5.632,5.632,5.632,000,5.632
2015-07-17,5.514,5.514,5.514,5.514,000,5.514
2015-07-16,5.441,5.441,5.441,5.441,000,5.441
2015-07-15,5.554,5.554,5.554,5.554,000,5.554
2015-07-14,5.765,5.765,5.765,5.765,100,5.765
2015-07-13,5.516,5.516,5.516,5.516,000,5.516
2015-07-10,5.528,5.528,5.528,5.528,000,5.528
2015-07-09,5.277,5.277,5.277,5.277,000,5.277
2015-07-08,5.34,5.382,5.34,5.382,1000,5.382
2015-07-07,5.433,5.433,5.433,5.433,000,5.433
2015-07-06,5.555,5.555,5.555,5.555,000,5.555
2015-07-03,5.533,5.533,5.533,5.533,000,5.533
2015-07-02,5.647,5.647,5.647,5.647,000,5.647
2015-07-01,5.55,5.765,5.55,5.765,500,5.765
2015-06-30,5.603,5.603,5.603,5.603,000,5.603
2015-06-29,5.952,5.952,5.919,5.919,100,5.919
2015-06-26,6.225,6.225,6.225,6.225,000,6.225
2015-06-25,5.957,5.957,5.957,5.957,000,5.957
2015-06-24,5.919,5.999,5.919,5.999,400,5.999
2015-06-23,5.822,5.822,5.822,5.822,000,5.822
2015-06-22,5.706,5.925,5.706,5.90,400,5.90
2015-06-19,5.764,5.764,5.764,5.764,000,5.764
2015-06-18,5.716,5.716,5.716,5.716,000,5.716
2015-06-17,5.788,5.788,5.788,5.788,000,5.788
2015-06-16,5.877,5.877,5.877,5.877,000,5.877
2015-06-15,5.756,5.756,5.756,5.756,000,5.756
2015-06-12,5.794,5.794,5.794,5.794,000,5.794
2015-06-11,5.77,5.77,5.77,5.77,000,5.77
2015-06-10,5.433,5.819,5.433,5.819,500,5.819
2015-06-09,5.208,5.208,5.208,5.208,000,5.208
2015-06-08,5.403,5.403,5.403,5.403,000,5.403
