Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,97.949997,97.949997,97.949997,97.949997,000,96.886999
2016-03-31,97.949997,97.949997,97.949997,97.949997,000,96.886999
2016-03-30,97.949997,97.949997,97.949997,97.949997,100,96.886999
2016-03-29,96.099998,96.099998,96.099998,96.099998,200,95.057077
2016-03-28,96.00,96.00,96.00,96.00,000,94.958164
2016-03-24,96.00,96.00,96.00,96.00,000,94.958164
2016-03-23,96.00,96.00,96.00,96.00,000,94.958164
2016-03-22,96.00,96.00,96.00,96.00,000,94.958164
2016-03-21,96.00,96.00,96.00,96.00,000,94.958164
2016-03-18,96.00,96.00,96.00,96.00,000,94.958164
2016-03-17,96.00,96.00,96.00,96.00,000,94.958164
2016-03-16,96.00,96.00,96.00,96.00,000,94.958164
2016-03-15,96.00,96.00,96.00,96.00,000,94.958164
2016-03-14,96.00,96.00,96.00,96.00,000,94.958164
2016-03-11,96.00,96.00,96.00,96.00,000,94.958164
2016-03-10,96.00,96.00,96.00,96.00,000,94.958164
2016-03-09,96.00,96.00,96.00,96.00,000,94.958164
2016-03-08,96.00,96.00,96.00,96.00,000,94.958164
2016-03-07,96.00,96.00,96.00,96.00,000,94.958164
2016-03-04,96.00,96.00,96.00,96.00,000,94.958164
2016-03-03,96.00,96.00,96.00,96.00,000,94.958164
2016-03-02,96.00,96.00,96.00,96.00,000,94.958164
2016-03-01,96.00,96.00,96.00,96.00,000,94.958164
2016-02-29,96.00,96.00,96.00,96.00,000,94.958164
2016-02-26,96.00,96.00,96.00,96.00,000,94.958164
2016-02-25,96.00,96.00,96.00,96.00,200,94.958164
2016-02-24,95.00,95.00,95.00,95.00,000,93.969017
2016-02-23,95.00,95.00,95.00,95.00,300,93.969017
2016-02-22,100.00,100.00,100.00,100.00,000,98.914754
2016-02-19,100.00,100.00,100.00,100.00,000,98.914754
2016-02-18,100.00,100.00,100.00,100.00,000,98.914754
2016-02-17,100.00,100.00,100.00,100.00,000,98.914754
2016-02-16,100.00,100.00,100.00,100.00,000,98.914754
2016-02-12,100.00,100.00,100.00,100.00,000,98.914754
2016-02-11,100.00,100.00,100.00,100.00,000,98.914754
2016-02-10,100.00,100.00,100.00,100.00,000,98.914754
2016-02-09,100.00,100.00,100.00,100.00,000,98.914754
2016-02-08,100.00,100.00,100.00,100.00,000,98.914754
2016-02-05,100.00,100.00,100.00,100.00,000,98.914754
2016-02-04,100.00,100.00,100.00,100.00,000,98.914754
2016-02-03,100.00,100.00,100.00,100.00,000,98.914754
2016-02-02,100.00,100.00,100.00,100.00,000,98.914754
2016-02-01,100.00,100.00,100.00,100.00,100,98.914754
2016-01-29,95.93,95.93,95.93,95.93,000,94.888924
2016-01-28,95.93,95.93,95.93,95.93,000,94.888924
2016-01-27,95.93,95.93,95.93,95.93,000,94.888924
2016-01-26,95.93,95.93,95.93,95.93,000,94.888924
2016-01-25,95.93,95.93,95.93,95.93,000,94.888924
2016-01-22,95.93,95.93,95.93,95.93,000,94.888924
2016-01-21,95.93,95.93,95.93,95.93,000,94.888924
2016-01-20,95.93,95.93,95.93,95.93,000,94.888924
2016-01-19,95.93,95.93,95.93,95.93,000,94.888924
2016-01-15,95.93,95.93,95.93,95.93,100,94.888924
2016-01-14,98.00,98.00,98.00,98.00,000,96.936459
2016-01-13,98.00,98.00,98.00,98.00,000,96.936459
2016-01-12,98.00,98.00,98.00,98.00,000,96.936459
2016-01-11,98.00,98.00,98.00,98.00,000,96.936459
2016-01-08,98.00,98.00,98.00,98.00,000,96.936459
2016-01-07,98.00,98.00,98.00,98.00,000,96.936459
2016-01-06,98.00,98.00,98.00,98.00,000,96.936459
2016-01-05,98.00,98.00,98.00,98.00,000,95.884992
2016-01-04,98.00,98.00,98.00,98.00,000,95.884992
2015-12-31,98.00,98.00,98.00,98.00,000,95.884992
2015-12-30,98.00,98.00,98.00,98.00,000,95.884992
2015-12-29,98.00,98.00,98.00,98.00,000,95.884992
2015-12-28,98.00,98.00,98.00,98.00,000,95.884992
2015-12-24,98.00,98.00,98.00,98.00,000,95.884992
2015-12-23,98.00,98.00,98.00,98.00,000,95.884992
2015-12-22,98.00,98.00,98.00,98.00,000,95.884992
2015-12-21,98.00,98.00,98.00,98.00,000,95.884992
2015-12-18,98.00,98.00,98.00,98.00,000,95.884992
2015-12-17,98.00,98.00,98.00,98.00,100,95.884992
2015-12-16,99.00,99.00,99.00,99.00,000,96.863411
2015-12-15,99.00,99.00,99.00,99.00,000,96.863411
2015-12-14,99.00,99.00,99.00,99.00,000,96.863411
2015-12-11,99.00,99.00,99.00,99.00,000,96.863411
2015-12-10,99.00,99.00,99.00,99.00,000,96.863411
2015-12-09,99.00,99.00,99.00,99.00,000,96.863411
2015-12-08,99.00,99.00,99.00,99.00,000,96.863411
2015-12-07,99.00,99.00,99.00,99.00,000,96.863411
2015-12-04,99.00,99.00,99.00,99.00,000,96.863411
2015-12-03,99.00,99.00,99.00,99.00,000,96.863411
2015-12-02,99.00,99.00,99.00,99.00,000,96.863411
2015-12-01,99.00,99.00,99.00,99.00,000,96.863411
2015-11-30,99.00,99.00,99.00,99.00,000,96.863411
2015-11-27,99.00,99.00,99.00,99.00,000,96.863411
2015-11-25,99.00,99.00,99.00,99.00,000,96.863411
2015-11-24,99.00,99.00,99.00,99.00,000,96.863411
2015-11-23,99.00,99.00,99.00,99.00,000,96.863411
2015-11-20,99.00,99.00,99.00,99.00,000,96.863411
2015-11-19,99.00,99.00,99.00,99.00,000,96.863411
2015-11-18,99.00,99.00,99.00,99.00,000,96.863411
2015-11-17,99.00,99.00,99.00,99.00,000,96.863411
2015-11-16,99.00,99.00,99.00,99.00,000,96.863411
2015-11-13,99.00,99.00,99.00,99.00,000,96.863411
2015-11-12,99.00,99.00,99.00,99.00,000,96.863411
2015-11-11,99.00,99.00,99.00,99.00,000,96.863411
2015-11-10,99.00,99.00,99.00,99.00,000,96.863411
2015-11-09,98.00,99.00,98.00,99.00,1300,96.863411
2015-11-06,97.50,97.50,97.50,97.50,000,95.395783
2015-11-05,97.50,97.50,97.50,97.50,000,95.395783
2015-11-04,97.50,97.50,97.50,97.50,000,95.395783
2015-11-03,97.50,97.50,97.50,97.50,400,95.395783
2015-11-02,97.25,97.25,97.25,97.25,000,95.151179
2015-10-30,97.25,97.25,97.25,97.25,000,95.151179
2015-10-29,97.25,97.25,97.25,97.25,000,95.151179
2015-10-28,97.25,97.25,97.25,97.25,000,95.151179
2015-10-27,97.25,97.25,97.25,97.25,000,95.151179
2015-10-26,97.25,97.25,97.25,97.25,000,95.151179
2015-10-23,97.25,97.25,97.25,97.25,000,95.151179
2015-10-22,97.25,97.25,97.25,97.25,000,95.151179
2015-10-21,97.25,97.25,97.25,97.25,000,95.151179
2015-10-20,97.25,97.25,97.25,97.25,000,95.151179
2015-10-19,97.25,97.25,97.25,97.25,000,95.151179
2015-10-16,97.25,97.25,97.25,97.25,000,95.151179
2015-10-15,97.25,97.25,97.25,97.25,000,95.151179
2015-10-14,97.25,97.25,97.25,97.25,000,95.151179
2015-10-13,97.25,97.25,97.25,97.25,000,95.151179
2015-10-12,97.25,97.25,97.25,97.25,000,95.151179
2015-10-09,97.25,97.25,97.25,97.25,000,95.151179
2015-10-08,97.25,97.25,97.25,97.25,000,95.151179
2015-10-07,97.25,97.25,97.25,97.25,000,95.151179
2015-10-06,97.25,97.25,97.25,97.25,000,94.111121
2015-10-05,97.25,97.25,97.25,97.25,000,94.111121
2015-10-02,97.25,97.25,97.25,97.25,000,94.111121
2015-10-01,97.25,97.25,97.25,97.25,000,94.111121
2015-09-30,97.25,97.25,97.25,97.25,000,94.111121
2015-09-29,97.25,97.25,97.25,97.25,000,94.111121
2015-09-28,97.25,97.25,97.25,97.25,000,94.111121
2015-09-25,97.25,97.25,97.25,97.25,100,94.111121
2015-09-24,97.25,97.25,97.25,97.25,000,94.111121
2015-09-23,97.25,97.25,97.25,97.25,000,94.111121
2015-09-22,97.25,97.25,97.25,97.25,300,94.111121
2015-09-21,96.75,97.25,96.75,97.00,700,93.86919
2015-09-18,96.150002,96.150002,96.150002,96.150002,000,93.046626
2015-09-17,96.150002,96.150002,96.150002,96.150002,000,93.046626
2015-09-16,96.150002,96.150002,96.150002,96.150002,000,93.046626
2015-09-15,96.150002,96.150002,96.150002,96.150002,000,93.046626
2015-09-14,96.150002,96.150002,96.150002,96.150002,000,93.046626
2015-09-11,96.150002,96.150002,96.150002,96.150002,000,93.046626
2015-09-10,96.150002,96.150002,96.150002,96.150002,000,93.046626
2015-09-09,96.50,96.50,96.150002,96.150002,600,93.046626
2015-09-08,97.00,97.00,97.00,97.00,000,93.86919
2015-09-04,97.00,97.00,97.00,97.00,000,93.86919
2015-09-03,97.00,97.00,97.00,97.00,000,93.86919
2015-09-02,97.00,97.00,97.00,97.00,000,93.86919
2015-09-01,97.00,97.00,97.00,97.00,000,93.86919
2015-08-31,97.00,97.00,97.00,97.00,000,93.86919
2015-08-28,97.00,97.00,97.00,97.00,000,93.86919
2015-08-27,97.00,97.00,97.00,97.00,000,93.86919
2015-08-26,97.00,97.00,97.00,97.00,000,93.86919
2015-08-25,97.00,97.00,97.00,97.00,000,93.86919
2015-08-24,97.00,97.00,97.00,97.00,000,93.86919
2015-08-21,97.00,97.00,97.00,97.00,000,93.86919
2015-08-20,97.00,97.00,97.00,97.00,000,93.86919
2015-08-19,97.00,97.00,97.00,97.00,000,93.86919
2015-08-18,97.00,97.00,97.00,97.00,000,93.86919
2015-08-17,97.00,97.00,97.00,97.00,000,93.86919
2015-08-14,97.00,97.00,97.00,97.00,000,93.86919
2015-08-13,97.00,97.00,97.00,97.00,000,93.86919
2015-08-12,97.00,97.00,97.00,97.00,000,93.86919
2015-08-11,96.50,97.00,96.50,97.00,200,93.86919
2015-08-10,95.00,95.00,95.00,95.00,000,91.933743
2015-08-07,95.00,95.00,95.00,95.00,000,91.933743
2015-08-06,95.00,95.00,95.00,95.00,000,91.933743
2015-08-05,95.00,95.00,95.00,95.00,000,91.933743
2015-08-04,95.00,95.00,95.00,95.00,000,91.933743
2015-08-03,95.00,95.00,95.00,95.00,000,91.933743
2015-07-31,95.00,95.00,95.00,95.00,000,91.933743
2015-07-30,95.00,95.00,95.00,95.00,000,91.933743
2015-07-29,95.00,95.00,95.00,95.00,000,91.933743
2015-07-28,95.00,95.00,95.00,95.00,000,91.933743
2015-07-27,95.00,95.00,95.00,95.00,000,91.933743
2015-07-24,95.00,95.00,95.00,95.00,000,91.933743
2015-07-23,95.00,95.00,95.00,95.00,000,91.933743
2015-07-22,95.650002,95.650002,95.00,95.00,300,91.933743
2015-07-21,97.00,97.00,97.00,97.00,000,93.86919
2015-07-20,97.00,97.00,97.00,97.00,000,93.86919
2015-07-17,97.00,97.00,97.00,97.00,000,93.86919
2015-07-16,97.00,97.00,97.00,97.00,000,93.86919
2015-07-15,97.00,97.00,97.00,97.00,000,93.86919
2015-07-14,97.00,97.00,97.00,97.00,000,93.86919
2015-07-13,97.00,97.00,97.00,97.00,000,93.86919
2015-07-10,97.00,97.00,97.00,97.00,000,93.86919
2015-07-09,97.00,97.00,97.00,97.00,000,93.86919
2015-07-08,97.00,97.00,97.00,97.00,000,93.86919
2015-07-07,97.00,97.00,97.00,97.00,000,92.840501
2015-07-06,97.00,97.00,97.00,97.00,000,92.840501
2015-07-02,97.00,97.00,97.00,97.00,000,92.840501
2015-07-01,97.00,97.00,97.00,97.00,000,92.840501
2015-06-30,97.00,97.00,97.00,97.00,000,92.840501
2015-06-29,97.00,97.00,97.00,97.00,000,92.840501
2015-06-26,97.00,97.00,97.00,97.00,000,92.840501
2015-06-25,97.00,97.00,97.00,97.00,000,92.840501
2015-06-24,97.00,97.00,97.00,97.00,000,92.840501
2015-06-23,97.50,97.50,97.00,97.00,200,92.840501
2015-06-22,99.00,99.00,99.00,99.00,000,94.754739
2015-06-19,99.00,99.00,99.00,99.00,000,94.754739
2015-06-18,99.00,99.00,99.00,99.00,000,94.754739
2015-06-17,99.00,99.00,99.00,99.00,000,94.754739
2015-06-16,99.00,99.00,99.00,99.00,000,94.754739
2015-06-15,99.00,99.00,99.00,99.00,000,94.754739
2015-06-12,99.00,99.00,99.00,99.00,000,94.754739
2015-06-11,99.00,99.00,99.00,99.00,000,94.754739
2015-06-10,99.00,99.00,99.00,99.00,000,94.754739
2015-06-09,99.00,99.00,99.00,99.00,000,94.754739
2015-06-08,99.00,99.00,99.00,99.00,000,94.754739
2015-06-05,99.00,99.00,99.00,99.00,000,94.754739
2015-06-04,99.00,99.00,99.00,99.00,000,94.754739
2015-06-03,99.00,99.00,99.00,99.00,000,94.754739
2015-06-02,99.00,99.00,99.00,99.00,000,94.754739
2015-06-01,99.00,99.00,99.00,99.00,000,94.754739
2015-05-29,99.00,99.00,99.00,99.00,000,94.754739
2015-05-28,99.00,99.00,99.00,99.00,000,94.754739
2015-05-27,99.00,99.00,99.00,99.00,000,94.754739
2015-05-26,99.00,99.00,99.00,99.00,000,94.754739
2015-05-22,98.25,99.00,98.059998,99.00,3000,94.754739
2015-05-21,97.25,97.25,97.25,97.25,000,93.079781
2015-05-20,97.25,97.25,97.25,97.25,100,93.079781
2015-05-19,97.00,97.00,97.00,97.00,000,92.840501
2015-05-18,97.00,97.00,97.00,97.00,000,92.840501
2015-05-15,97.00,97.00,97.00,97.00,000,92.840501
2015-05-14,97.00,97.00,97.00,97.00,000,92.840501
2015-05-13,97.00,97.00,97.00,97.00,000,92.840501
2015-05-12,97.00,97.00,97.00,97.00,000,92.840501
2015-05-11,97.00,97.00,97.00,97.00,000,92.840501
2015-05-08,97.00,97.00,97.00,97.00,1100,92.840501
2015-05-07,98.50,98.50,98.50,98.50,000,94.276179
2015-05-06,98.50,98.50,98.50,98.50,000,94.276179
2015-05-05,98.50,98.50,98.50,98.50,000,94.276179
2015-05-04,97.00,98.50,97.00,98.50,400,94.276179
2015-05-01,99.699997,99.699997,99.699997,99.699997,000,95.424719
2015-04-30,99.699997,99.699997,99.699997,99.699997,000,95.424719
2015-04-29,99.699997,99.699997,99.699997,99.699997,000,95.424719
2015-04-28,99.699997,99.699997,99.699997,99.699997,000,95.424719
2015-04-27,99.699997,99.699997,99.699997,99.699997,000,95.424719
2015-04-24,97.50,99.699997,97.50,99.699997,5000,95.424719
2015-04-23,98.00,98.00,98.00,98.00,000,93.79762
2015-04-22,98.00,98.00,98.00,98.00,000,93.79762
2015-04-21,98.00,98.00,98.00,98.00,000,93.79762
2015-04-20,98.00,98.00,98.00,98.00,000,93.79762
2015-04-17,98.00,98.00,98.00,98.00,000,93.79762
2015-04-16,98.00,98.00,98.00,98.00,000,93.79762
2015-04-15,98.00,98.00,98.00,98.00,000,93.79762
2015-04-14,98.00,98.00,98.00,98.00,000,93.79762
2015-04-13,98.00,98.00,98.00,98.00,000,93.79762
2015-04-10,98.00,98.00,98.00,98.00,000,93.79762
2015-04-09,98.00,98.00,98.00,98.00,000,93.79762
2015-04-08,98.00,98.00,98.00,98.00,000,93.79762
2015-04-07,98.00,98.00,98.00,98.00,000,92.780202
2015-04-06,98.00,98.00,98.00,98.00,000,92.780202
2015-04-02,98.00,98.00,98.00,98.00,000,92.780202
2015-04-01,98.00,98.00,98.00,98.00,000,92.780202
2015-03-31,98.00,98.00,98.00,98.00,000,92.780202
2015-03-30,98.00,98.00,98.00,98.00,100,92.780202
2015-03-27,98.599998,98.599998,98.599998,98.599998,000,93.348242
2015-03-26,98.599998,98.599998,98.599998,98.599998,000,93.348242
2015-03-25,98.599998,98.599998,98.599998,98.599998,000,93.348242
2015-03-24,98.599998,98.599998,98.599998,98.599998,000,93.348242
2015-03-23,98.599998,98.599998,98.599998,98.599998,000,93.348242
2015-03-20,97.550003,98.599998,97.550003,98.599998,600,93.348242
2015-03-19,97.00,97.550003,97.00,97.050003,1300,91.880805
2015-03-18,96.050003,96.050003,96.050003,96.050003,000,90.934068
2015-03-17,96.050003,96.050003,96.050003,96.050003,000,90.934068
