Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.05,0.05,0.05,0.05,000,0.05
2016-03-31,0.05,0.05,0.05,0.05,000,0.05
2016-03-30,0.06,0.06,0.05,0.05,33000,0.05
2016-03-29,0.05,0.05,0.05,0.05,60900,0.05
2016-03-28,0.05,0.05,0.05,0.05,99000,0.05
2016-03-24,0.05,0.06,0.05,0.06,123000,0.06
2016-03-23,0.06,0.06,0.06,0.06,000,0.06
2016-03-22,0.06,0.06,0.06,0.06,5000,0.06
2016-03-21,0.05,0.06,0.05,0.06,6000,0.06
2016-03-18,0.07,0.07,0.07,0.07,21000,0.07
2016-03-17,0.06,0.06,0.05,0.06,7300,0.06
2016-03-16,0.05,0.05,0.05,0.05,45000,0.05
2016-03-15,0.05,0.06,0.05,0.06,900,0.06
2016-03-14,0.06,0.06,0.06,0.06,000,0.06
2016-03-11,0.06,0.06,0.06,0.06,000,0.06
2016-03-10,0.06,0.06,0.06,0.06,10400,0.06
2016-03-09,0.05,0.05,0.05,0.05,200,0.05
2016-03-08,0.07,0.07,0.07,0.07,000,0.07
2016-03-07,0.05,0.07,0.05,0.07,24400,0.07
2016-03-04,0.06,0.06,0.05,0.05,120500,0.05
2016-03-03,0.06,0.07,0.06,0.07,85000,0.07
2016-03-02,0.07,0.07,0.07,0.07,000,0.07
2016-03-01,0.07,0.07,0.07,0.07,000,0.07
2016-02-29,0.05,0.07,0.05,0.07,2500,0.07
2016-02-26,0.06,0.07,0.06,0.06,59900,0.06
2016-02-25,0.06,0.06,0.06,0.06,100,0.06
2016-02-24,0.07,0.07,0.06,0.06,48500,0.06
2016-02-23,0.06,0.06,0.06,0.06,44000,0.06
2016-02-22,0.06,0.07,0.06,0.07,170000,0.07
2016-02-19,0.05,0.05,0.05,0.05,110000,0.05
2016-02-18,0.04,0.06,0.04,0.05,309700,0.05
2016-02-17,0.04,0.04,0.04,0.04,81000,0.04
2016-02-16,0.04,0.04,0.04,0.04,467000,0.04
2016-02-12,0.04,0.04,0.04,0.04,35200,0.04
2016-02-11,0.04,0.04,0.04,0.04,129400,0.04
2016-02-10,0.03,0.04,0.03,0.04,767500,0.04
2016-02-09,0.03,0.03,0.03,0.03,140100,0.03
2016-02-08,0.03,0.03,0.03,0.03,400,0.03
2016-02-05,0.03,0.03,0.03,0.03,110000,0.03
2016-02-04,0.03,0.04,0.02,0.04,387000,0.04
2016-02-03,0.03,0.03,0.03,0.03,190000,0.03
2016-02-02,0.03,0.04,0.03,0.04,200100,0.04
2016-02-01,0.03,0.03,0.03,0.03,15000,0.03
2016-01-29,0.04,0.04,0.04,0.04,22500,0.04
2016-01-28,0.03,0.04,0.03,0.04,9000,0.04
2016-01-27,0.04,0.04,0.04,0.04,000,0.04
2016-01-26,0.03,0.04,0.03,0.04,1200,0.04
2016-01-25,0.04,0.04,0.04,0.04,000,0.04
2016-01-22,0.04,0.04,0.04,0.04,000,0.04
2016-01-21,0.03,0.04,0.03,0.04,700,0.04
2016-01-20,0.04,0.04,0.04,0.04,83600,0.04
2016-01-19,0.04,0.04,0.04,0.04,000,0.04
2016-01-15,0.04,0.04,0.04,0.04,000,0.04
2016-01-14,0.03,0.04,0.03,0.04,5000,0.04
2016-01-13,0.04,0.04,0.04,0.04,10000,0.04
2016-01-12,0.04,0.04,0.04,0.04,15000,0.04
2016-01-11,0.04,0.04,0.04,0.04,000,0.04
2016-01-08,0.04,0.04,0.04,0.04,104000,0.04
2016-01-07,0.04,0.04,0.04,0.04,122100,0.04
2016-01-06,0.04,0.04,0.04,0.04,8900,0.04
2016-01-05,0.04,0.04,0.04,0.04,145200,0.04
2016-01-04,0.04,0.04,0.04,0.04,13600,0.04
2015-12-31,0.04,0.04,0.04,0.04,50800,0.04
2015-12-30,0.05,0.05,0.04,0.05,76500,0.05
2015-12-29,0.05,0.05,0.05,0.05,60000,0.05
2015-12-28,0.04,0.04,0.04,0.04,15000,0.04
2015-12-24,0.04,0.05,0.04,0.05,40000,0.05
2015-12-23,0.04,0.04,0.04,0.04,83500,0.04
2015-12-22,0.04,0.04,0.04,0.04,52500,0.04
2015-12-21,0.04,0.04,0.04,0.04,000,0.04
2015-12-18,0.03,0.04,0.03,0.04,53600,0.04
2015-12-17,0.04,0.04,0.04,0.04,000,0.04
2015-12-16,0.03,0.04,0.03,0.04,97500,0.04
2015-12-15,0.04,0.04,0.04,0.04,000,0.04
2015-12-14,0.04,0.04,0.04,0.04,2500,0.04
2015-12-11,0.03,0.03,0.03,0.03,12300,0.03
2015-12-10,0.04,0.04,0.03,0.03,50700,0.03
2015-12-09,0.03,0.03,0.03,0.03,3000,0.03
2015-12-08,0.04,0.05,0.04,0.05,23100,0.05
2015-12-07,0.03,0.04,0.03,0.04,43300,0.04
2015-12-04,0.04,0.04,0.04,0.04,5000,0.04
2015-12-03,0.03,0.03,0.03,0.03,000,0.03
2015-12-02,0.03,0.03,0.03,0.03,7800,0.03
2015-12-01,0.03,0.04,0.03,0.04,5000,0.04
2015-11-30,0.04,0.04,0.04,0.04,62600,0.04
2015-11-27,0.05,0.05,0.05,0.05,000,0.05
2015-11-25,0.04,0.05,0.04,0.05,53000,0.05
2015-11-24,0.04,0.04,0.04,0.04,000,0.04
