Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,23.35,24.15,23.32,24.059999,87400,24.059999
2016-03-31,24.25,24.379999,23.469999,23.639999,37400,23.639999
2016-03-30,23.76,24.370001,23.76,24.219999,28000,24.219999
2016-03-29,22.870001,23.969999,22.85,23.639999,37200,23.639999
2016-03-28,22.82,23.030001,22.719999,23.00,26900,23.00
2016-03-24,22.66,22.77,22.379999,22.77,27300,22.77
2016-03-23,23.309999,23.40,22.75,22.799999,52300,22.799999
2016-03-22,23.93,23.93,23.309999,23.450001,71000,23.450001
2016-03-21,24.059999,24.200001,23.870001,24.00,43700,24.00
2016-03-18,24.27,24.379999,23.93,24.00,28500,24.00
2016-03-17,23.799999,24.290001,23.790001,24.24,30200,24.24
2016-03-16,23.00,23.66,22.950001,23.66,22200,23.66
2016-03-15,23.190001,23.200001,22.870001,22.969999,23600,22.969999
2016-03-14,23.450001,23.459999,22.870001,23.370001,32500,23.370001
2016-03-11,23.549999,23.700001,23.50,23.59,22100,23.59
2016-03-10,24.24,24.24,23.24,23.41,21800,23.41
2016-03-09,23.35,23.90,23.35,23.83,47700,23.83
2016-03-08,23.90,24.059999,23.08,23.139999,170500,23.139999
2016-03-07,24.299999,24.559999,24.26,24.35,37200,24.35
2016-03-04,24.15,24.77,24.15,24.57,57100,24.57
2016-03-03,23.77,24.27,23.77,24.040001,28600,24.040001
2016-03-02,23.459999,24.15,23.459999,24.09,83500,24.09
2016-03-01,23.709999,23.90,23.66,23.76,39500,23.76
2016-02-29,22.92,23.68,22.92,23.629999,38600,23.629999
2016-02-26,23.030001,23.26,22.799999,22.950001,17300,22.950001
2016-02-25,22.700001,23.299999,22.57,23.10,36400,23.10
2016-02-24,22.530001,22.73,22.129999,22.639999,44000,22.639999
2016-02-23,23.02,23.120001,22.610001,22.73,103900,22.73
2016-02-22,23.540001,23.65,23.040001,23.120001,164600,23.120001
2016-02-19,23.25,23.459999,23.10,23.440001,104300,23.440001
2016-02-18,23.27,23.559999,23.049999,23.33,29400,23.33
2016-02-17,23.66,23.790001,22.969999,23.139999,254200,23.064
2016-02-16,23.92,24.360001,23.66,23.67,47000,23.59226
2016-02-12,23.82,24.049999,23.60,23.76,41300,23.681964
2016-02-11,23.59,23.98,23.33,23.629999,125800,23.55239
2016-02-10,24.049999,24.41,23.879999,24.129999,35900,24.050748
2016-02-09,24.709999,24.780001,24.040001,24.040001,69800,23.961045
2016-02-08,24.950001,25.280001,24.389999,24.870001,35300,24.788319
2016-02-05,25.57,25.74,25.370001,25.620001,33300,25.535856
2016-02-04,25.139999,25.91,25.040001,25.27,53300,25.187005
2016-02-03,24.959999,25.200001,24.35,25.129999,91700,25.047464
2016-02-02,24.92,25.02,24.459999,24.57,68900,24.489304
2016-02-01,24.75,25.27,24.719999,25.23,33300,25.147136
2016-01-29,24.389999,25.309999,24.389999,25.309999,43000,25.226873
2016-01-28,24.549999,24.870001,24.33,24.43,82700,24.349764
2016-01-27,24.110001,24.459999,23.82,24.440001,26100,24.359731
2016-01-26,23.58,24.200001,23.58,24.09,46800,24.010881
2016-01-25,23.870001,23.870001,23.40,23.60,51300,23.52249
2016-01-22,24.73,24.870001,23.83,23.969999,32300,23.891274
2016-01-21,24.440001,24.85,24.120001,24.27,68400,24.19029
2016-01-20,24.209999,24.57,23.799999,24.57,72000,24.489304
2016-01-19,24.120001,24.450001,24.09,24.450001,61500,24.369699
2016-01-15,24.07,24.299999,23.459999,24.139999,117300,24.060716
2016-01-14,23.77,24.620001,23.77,24.620001,37600,24.539141
2016-01-13,24.18,24.309999,23.450001,24.10,27000,24.020848
2016-01-12,24.059999,24.33,23.85,24.030001,23900,23.951078
2016-01-11,23.120001,23.940001,23.120001,23.76,34500,23.681964
2016-01-08,22.98,23.190001,22.73,22.85,36100,22.774953
2016-01-07,23.950001,23.950001,22.16,22.18,43900,22.107154
2016-01-06,24.360001,24.549999,24.00,24.049999,36700,23.971011
2016-01-05,24.450001,25.200001,24.450001,24.51,84900,24.429501
2016-01-04,24.82,24.950001,24.33,24.700001,97900,24.618878
2015-12-31,24.90,25.40,24.90,25.15,20100,25.067399
2015-12-30,25.459999,25.799999,24.77,25.00,32200,24.917892
2015-12-29,26.02,26.219999,25.27,25.59,35500,25.505954
2015-12-28,25.299999,26.01,25.299999,25.93,14200,25.844837
2015-12-24,25.299999,25.459999,25.27,25.27,14300,25.187005
2015-12-23,25.790001,26.17,25.23,25.32,44600,25.23684
2015-12-22,25.610001,26.02,25.610001,25.940001,60100,25.854805
2015-12-21,25.459999,25.74,25.27,25.67,70800,25.585691
2015-12-18,25.530001,25.530001,25.040001,25.469999,30100,25.386347
2015-12-17,25.799999,25.879999,25.59,25.610001,31600,25.525889
2015-12-16,25.60,25.75,25.33,25.719999,26200,25.635526
2015-12-15,24.99,25.469999,24.99,25.389999,79200,25.30661
2015-12-14,24.290001,24.780001,24.200001,24.700001,61100,24.618878
2015-12-11,24.440001,24.52,24.200001,24.41,35700,24.329829
2015-12-10,24.360001,24.719999,24.360001,24.709999,263300,24.628843
2015-12-09,24.860001,25.01,24.389999,24.58,209100,24.499271
2015-12-08,25.41,25.50,24.73,24.84,178400,24.758417
2015-12-07,25.620001,25.76,24.93,25.389999,358200,25.30661
2015-12-04,26.299999,26.299999,25.73,25.83,118000,25.745166
2015-12-03,26.57,26.57,26.00,26.10,17300,26.014279
2015-12-02,26.59,26.59,26.24,26.42,30100,26.333228
2015-12-01,26.389999,26.65,26.139999,26.549999,52800,26.4628
2015-11-30,27.00,27.030001,26.10,26.540001,34600,26.452835
2015-11-27,27.049999,27.049999,26.85,26.879999,6100,26.791716
2015-11-25,27.440001,27.540001,27.059999,27.540001,41400,27.44955
2015-11-24,27.360001,27.68,27.360001,27.51,26900,27.419648
2015-11-23,27.639999,27.76,27.290001,27.459999,93200,27.369811
2015-11-20,27.58,27.91,27.58,27.780001,53000,27.688762
2015-11-19,27.790001,28.00,27.389999,27.459999,49800,27.369811
2015-11-18,28.110001,28.110001,25.82,27.809999,55800,27.444565
2015-11-17,27.52,28.00,27.469999,28.00,34200,27.632069
2015-11-16,27.219999,27.709999,27.110001,27.709999,17300,27.345879
2015-11-13,27.440001,27.879999,27.32,27.549999,20300,27.187982
2015-11-12,27.27,27.67,27.24,27.50,20500,27.13864
2015-11-11,27.879999,27.879999,27.51,27.75,29500,27.385354
2015-11-10,27.27,27.65,27.18,27.610001,34400,27.247195
2015-11-09,27.25,27.360001,26.700001,27.360001,32700,27.00048
2015-11-06,26.889999,27.42,26.889999,27.27,32000,26.911662
2015-11-05,27.219999,27.219999,26.32,26.389999,41700,26.043225
2015-11-04,27.450001,27.50,27.24,27.42,57200,27.059691
2015-11-03,26.389999,27.790001,26.389999,27.52,46300,27.158377
2015-11-02,26.469999,26.700001,26.40,26.690001,12800,26.339284
2015-10-30,26.18,26.459999,26.059999,26.459999,27400,26.112305
2015-10-29,26.34,26.50,25.940001,26.049999,47400,25.707692
2015-10-28,26.48,27.030001,26.25,26.360001,43600,26.01362
2015-10-27,26.709999,26.709999,26.139999,26.219999,19500,25.875459
2015-10-26,26.58,26.90,26.540001,26.84,79700,26.487312
2015-10-23,26.77,26.77,26.370001,26.52,212200,26.171518
2015-10-22,25.799999,26.68,25.77,26.620001,275200,26.270204
2015-10-21,25.40,25.700001,25.18,25.549999,28400,25.214263
2015-10-20,25.280001,25.469999,25.129999,25.440001,46300,25.105709
2015-10-19,25.719999,25.780001,25.290001,25.559999,38500,25.224131
2015-10-16,25.42,26.030001,25.379999,25.98,59700,25.638612
2015-10-15,24.950001,25.450001,24.92,25.450001,20100,25.115578
2015-10-14,25.09,25.25,24.549999,25.01,59800,24.681359
2015-10-13,24.969999,25.139999,24.92,24.92,38500,24.592542
2015-10-12,25.139999,25.23,24.90,25.129999,29900,24.799781
2015-10-09,25.309999,25.469999,25.16,25.17,30700,24.839257
2015-10-08,24.209999,25.33,24.209999,25.33,40300,24.997154
2015-10-07,25.040001,25.290001,24.76,25.27,29700,24.937943
2015-10-06,24.75,25.08,24.719999,24.959999,28000,24.632015
2015-10-05,24.719999,25.09,24.719999,24.860001,47700,24.533331
2015-10-02,24.33,24.690001,24.25,24.58,24500,24.257009
2015-10-01,24.700001,24.73,24.280001,24.450001,29000,24.128718
2015-09-30,23.879999,24.639999,23.879999,24.639999,18900,24.31622
2015-09-29,23.219999,23.799999,23.200001,23.780001,38600,23.467522
2015-09-28,23.75,23.75,23.120001,23.139999,49500,22.835931
2015-09-25,23.66,23.950001,23.57,23.709999,38500,23.398441
2015-09-24,23.530001,23.969999,23.32,23.959999,24400,23.645156
2015-09-23,23.90,24.200001,23.629999,23.68,22300,23.368836
2015-09-22,24.27,24.379999,23.950001,24.190001,14900,23.872135
2015-09-21,24.84,24.85,24.58,24.790001,33000,24.464251
2015-09-18,24.93,24.93,24.379999,24.700001,8300,24.375433
2015-09-17,24.50,25.469999,24.50,24.940001,66900,24.612279
2015-09-16,24.43,24.809999,24.35,24.799999,40900,24.474118
2015-09-15,23.57,24.290001,23.540001,24.280001,17000,23.960952
2015-09-14,23.16,23.59,23.16,23.549999,13500,23.240543
2015-09-11,23.43,23.629999,23.33,23.370001,22600,23.06291
2015-09-10,23.50,23.809999,23.309999,23.540001,24700,23.230676
2015-09-09,24.540001,24.540001,23.60,23.67,43500,23.358967
2015-09-08,23.950001,24.32,23.950001,24.309999,50100,23.990557
2015-09-04,24.24,24.33,23.98,24.10,97000,23.783317
2015-09-03,23.799999,24.309999,23.799999,24.290001,50100,23.970821
2015-09-02,23.950001,24.02,23.290001,23.74,36900,23.428047
2015-09-01,23.27,23.83,23.27,23.709999,15700,23.398441
2015-08-31,23.57,24.08,23.379999,24.08,39200,23.76358
2015-08-28,23.540001,23.950001,23.50,23.76,44200,23.447785
2015-08-27,22.879999,23.91,22.809999,23.91,43700,23.595813
2015-08-26,21.959999,22.75,21.780001,22.74,72500,22.441188
2015-08-25,22.25,22.73,21.83,21.870001,39000,21.582621
2015-08-24,22.049999,22.27,20.92,22.129999,56600,21.839203
2015-08-21,22.59,22.700001,22.280001,22.280001,57800,21.987233
2015-08-20,23.139999,23.17,22.75,22.809999,84500,22.510267
2015-08-19,23.66,23.790001,23.42,23.49,32300,23.018499
2015-08-18,23.74,23.92,23.60,23.690001,22900,23.214485
2015-08-17,23.709999,23.889999,23.450001,23.76,46100,23.28308
2015-08-14,23.870001,24.26,23.65,23.65,52000,23.175287
2015-08-13,23.82,24.209999,23.790001,24.040001,19900,23.55746
2015-08-12,24.469999,24.59,23.790001,24.049999,16500,23.567258
2015-08-11,24.91,24.91,24.35,24.379999,19600,23.890634
2015-08-10,24.940001,25.299999,24.75,25.299999,18200,24.792168
2015-08-07,24.799999,25.120001,24.799999,24.860001,24400,24.361001
2015-08-06,24.26,24.959999,24.26,24.959999,82600,24.458992
2015-08-05,24.01,24.209999,23.85,24.17,9300,23.68485
2015-08-04,24.16,24.26,24.01,24.129999,29800,23.645652
2015-08-03,24.25,24.43,24.129999,24.129999,23000,23.645652
2015-07-31,24.02,24.49,23.940001,24.190001,23300,23.704449
2015-07-30,23.389999,23.719999,23.25,23.709999,16400,23.234082
2015-07-29,23.76,23.969999,23.73,23.77,73400,23.292879
2015-07-28,23.639999,23.969999,23.639999,23.83,17800,23.351675
2015-07-27,23.41,23.65,23.41,23.51,27700,23.038098
2015-07-24,23.809999,23.809999,23.40,23.60,45700,23.126292
2015-07-23,23.59,23.809999,23.42,23.809999,34200,23.332076
2015-07-22,24.530001,24.530001,23.43,23.610001,65900,23.136091
2015-07-21,25.02,25.02,24.73,24.82,70900,24.321803
2015-07-20,24.67,25.00,24.67,24.90,25200,24.400197
2015-07-17,24.799999,25.02,24.77,25.02,51600,24.517789
2015-07-16,24.959999,25.23,24.91,25.00,46100,24.49819
2015-07-15,25.139999,25.290001,25.01,25.030001,73000,24.527588
2015-07-14,24.48,25.34,24.48,25.34,464900,24.831366
2015-07-13,24.66,24.75,24.42,24.42,17200,23.929832
2015-07-10,24.92,24.969999,24.48,24.68,31400,24.184613
2015-07-09,24.959999,24.959999,24.74,24.76,27000,24.263008
2015-07-08,24.60,24.99,24.60,24.889999,21800,24.390397
2015-07-07,24.639999,24.959999,24.530001,24.870001,19800,24.3708
2015-07-06,23.99,24.84,23.99,24.76,15100,24.263008
2015-07-02,24.60,24.76,24.60,24.67,25000,24.174814
2015-07-01,24.15,24.559999,24.15,24.450001,27800,23.959231
2015-06-30,24.379999,24.49,24.190001,24.370001,27400,23.880836
2015-06-29,24.450001,24.549999,24.209999,24.209999,17900,23.724046
2015-06-26,24.65,24.93,24.540001,24.799999,30700,24.302204
2015-06-25,24.969999,25.07,24.65,24.77,31100,24.272807
2015-06-24,25.08,25.290001,24.91,24.91,43400,24.409996
2015-06-23,25.27,25.360001,25.139999,25.280001,46800,24.77257
2015-06-22,25.57,25.620001,25.23,25.24,24100,24.733372
2015-06-19,25.66,25.719999,25.530001,25.559999,19000,25.046949
2015-06-18,25.940001,26.110001,25.610001,25.66,13000,25.144942
2015-06-17,25.719999,26.09,25.469999,26.07,48500,25.546712
2015-06-16,25.290001,25.790001,25.290001,25.780001,50700,25.262534
2015-06-15,25.40,25.690001,25.290001,25.540001,21300,25.027352
2015-06-12,25.450001,25.60,25.450001,25.59,14600,25.076347
2015-06-11,25.27,25.530001,25.27,25.52,22100,25.007753
2015-06-10,25.190001,25.629999,25.190001,25.42,35200,24.90976
2015-06-09,24.43,25.08,24.43,25.059999,54000,24.556985
2015-06-08,24.84,25.00,24.75,25.00,14700,24.49819
2015-06-05,24.799999,25.059999,24.68,24.780001,31100,24.282607
2015-06-04,24.51,25.27,24.51,25.17,43300,24.664778
2015-06-03,24.559999,24.559999,23.92,24.030001,30400,23.547661
2015-06-02,24.48,24.870001,24.42,24.700001,32900,24.204212
2015-06-01,24.559999,24.59,24.299999,24.43,38600,23.939632
2015-05-29,24.27,24.709999,24.27,24.709999,25700,24.21401
2015-05-28,24.10,24.379999,24.00,24.360001,20700,23.871037
2015-05-27,23.99,24.290001,23.940001,24.280001,14600,23.792643
2015-05-26,24.129999,24.299999,24.02,24.209999,44400,23.724046
2015-05-22,24.66,24.82,24.33,24.459999,16100,23.969028
2015-05-21,24.799999,25.030001,24.76,25.00,22500,24.49819
2015-05-20,24.969999,25.07,24.91,25.07,17500,24.566785
2015-05-19,25.09,25.200001,24.879999,25.059999,29900,24.556985
2015-05-18,25.059999,25.129999,24.93,25.09,8700,24.586384
2015-05-15,24.799999,25.33,24.799999,25.17,13200,24.664778
2015-05-14,24.799999,25.09,24.74,25.09,21900,24.586384
2015-05-13,24.65,24.879999,24.620001,24.65,12000,24.155215
2015-05-12,24.57,24.57,24.139999,24.459999,19800,23.969028
2015-05-11,24.620001,24.719999,24.200001,24.440001,46200,23.949431
2015-05-08,24.16,24.780001,24.16,24.709999,36000,24.21401
2015-05-07,24.219999,24.450001,23.84,23.84,32400,23.361474
2015-05-06,23.77,24.10,23.76,24.00,23700,23.518262
2015-05-05,23.74,24.129999,23.709999,23.83,20900,23.351675
2015-05-04,23.18,23.99,23.15,23.780001,93400,23.302679
2015-05-01,23.360001,23.959999,23.139999,23.540001,19000,23.067497
2015-04-30,23.379999,23.700001,23.07,23.459999,24800,22.989101
