Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,19.33,19.690001,19.33,19.57,8400,19.57
2016-03-31,19.690001,20.120001,19.690001,20.01,12800,20.01
2016-03-30,20.299999,20.299999,19.98,20.02,5900,20.02
2016-03-29,20.00,20.40,19.91,20.33,11200,20.33
2016-03-28,20.290001,20.440001,20.25,20.32,15800,20.32
2016-03-24,20.16,20.40,20.059999,20.40,7300,20.40
2016-03-23,20.33,20.360001,20.139999,20.16,8300,20.16
2016-03-22,20.450001,20.83,20.450001,20.77,3800,20.77
2016-03-21,20.57,20.76,20.57,20.639999,29900,20.639999
2016-03-18,20.389999,20.799999,20.389999,20.690001,21300,20.690001
2016-03-17,20.379999,20.65,20.280001,20.65,12100,20.65
2016-03-16,19.549999,20.09,19.43,20.040001,15900,20.040001
2016-03-15,19.280001,19.280001,19.049999,19.139999,15700,19.139999
2016-03-14,19.83,20.07,19.83,20.049999,21800,20.049999
2016-03-11,20.290001,20.40,20.27,20.34,6600,20.34
2016-03-10,20.01,20.01,19.629999,19.870001,7900,19.870001
2016-03-09,20.10,20.40,20.10,20.25,7200,20.25
2016-03-08,20.42,20.49,20.23,20.24,22500,20.24
2016-03-07,20.60,21.02,20.60,20.889999,13900,20.889999
2016-03-04,20.08,20.639999,19.98,20.389999,30800,20.389999
2016-03-03,19.76,20.08,19.76,20.02,25500,20.02
2016-03-02,19.549999,19.969999,19.549999,19.969999,17900,19.969999
2016-03-01,18.530001,18.860001,18.530001,18.860001,36500,18.860001
2016-02-29,18.33,18.469999,18.290001,18.40,82300,18.40
2016-02-26,19.02,19.02,18.540001,18.57,26700,18.57
2016-02-25,19.389999,19.65,19.02,19.65,26700,19.65
2016-02-24,18.780001,20.40,18.780001,20.360001,37700,19.930001
2016-02-23,20.18,20.58,20.09,20.09,42900,19.665703
2016-02-22,20.379999,20.92,20.370001,20.90,18900,20.458595
2016-02-19,19.780001,20.02,19.780001,20.01,11600,19.587392
2016-02-18,20.389999,20.639999,20.27,20.27,16300,19.841901
2016-02-17,19.860001,20.58,19.809999,20.360001,23200,19.930001
2016-02-16,20.77,20.85,20.40,20.549999,17800,20.115987
2016-02-12,18.90,19.530001,18.90,19.26,35500,18.853232
2016-02-11,18.629999,18.969999,18.60,18.74,18900,18.344214
2016-02-10,18.60,19.08,18.60,18.90,17300,18.500835
2016-02-09,18.83,18.93,18.43,18.51,30600,18.119072
2016-02-08,19.110001,19.139999,18.85,19.129999,30000,18.725977
2016-02-05,19.200001,19.360001,18.940001,19.129999,15300,18.725977
2016-02-04,19.58,19.75,19.280001,19.469999,32000,19.058796
2016-02-03,18.450001,19.10,18.15,19.08,41800,18.677034
2016-02-02,18.83,18.93,18.60,18.700001,34300,18.30506
2016-02-01,19.799999,19.799999,19.549999,19.690001,32100,19.274151
2016-01-29,19.58,20.08,19.57,20.02,29900,19.597181
2016-01-28,18.99,19.280001,18.75,19.00,51400,18.598723
2016-01-27,18.309999,18.90,18.309999,18.530001,36300,18.13865
2016-01-26,18.299999,18.540001,17.940001,18.450001,82100,18.06034
2016-01-25,18.23,18.370001,17.84,17.84,85000,17.463222
2016-01-22,18.43,18.57,18.299999,18.48,57900,18.089705
2016-01-21,17.379999,18.040001,17.27,17.950001,57600,17.5709
2016-01-20,17.41,17.67,17.059999,17.559999,168700,17.189135
2016-01-19,18.25,18.25,17.83,17.90,96300,17.521955
2016-01-15,18.389999,18.469999,17.85,18.139999,40700,17.756886
2016-01-14,18.780001,19.34,18.68,19.219999,60600,18.814076
2016-01-13,19.290001,19.389999,18.700001,18.92,80900,18.520413
