Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.08,0.08,0.08,0.08,000,0.08
2016-03-31,0.08,0.08,0.08,0.08,000,0.08
2016-03-30,0.08,0.08,0.08,0.08,000,0.08
2016-03-29,0.05,0.08,0.05,0.08,2100,0.08
2016-03-28,0.06,0.06,0.06,0.06,1800,0.06
2016-03-24,0.06,0.08,0.06,0.08,800,0.08
2016-03-23,0.08,0.08,0.08,0.08,100,0.08
2016-03-22,0.06,0.06,0.06,0.06,100,0.06
2016-03-21,0.02,0.05,0.02,0.05,6100,0.05
2016-03-18,0.03,0.08,0.02,0.08,29700,0.08
2016-03-17,0.10,0.10,0.10,0.10,000,0.10
2016-03-16,0.10,0.10,0.10,0.10,000,0.10
2016-03-15,0.10,0.10,0.10,0.10,000,0.10
2016-03-14,0.10,0.10,0.10,0.10,000,0.10
2016-03-11,0.10,0.10,0.10,0.10,000,0.10
2016-03-10,0.10,0.10,0.10,0.10,000,0.10
2016-03-09,0.10,0.10,0.10,0.10,000,0.10
2016-03-08,0.10,0.10,0.10,0.10,000,0.10
2016-03-07,0.10,0.10,0.10,0.10,100,0.10
2016-03-04,0.05,0.05,0.05,0.05,30000,0.05
2016-03-03,0.05,0.05,0.05,0.05,000,0.05
2016-03-02,0.05,0.05,0.05,0.05,000,0.05
2016-03-01,0.05,0.05,0.05,0.05,000,0.05
2016-02-29,0.05,0.05,0.04,0.05,31000,0.05
2016-02-26,0.09,0.09,0.09,0.09,000,0.09
2016-02-25,0.09,0.09,0.09,0.09,000,0.09
2016-02-24,0.09,0.09,0.09,0.09,000,0.09
2016-02-23,0.09,0.09,0.09,0.09,000,0.09
2016-02-22,0.09,0.09,0.09,0.09,100,0.09
2016-02-19,0.08,0.08,0.08,0.08,200,0.08
2016-02-18,0.04,0.04,0.04,0.04,130100,0.04
2016-02-17,0.06,0.06,0.06,0.06,000,0.06
2016-02-16,0.07,0.07,0.04,0.06,77100,0.06
2016-02-12,0.08,0.08,0.08,0.08,200,0.08
2016-02-11,0.08,0.08,0.04,0.04,19700,0.04
2016-02-10,0.05,0.05,0.05,0.05,25400,0.05
2016-02-09,0.05,0.08,0.05,0.08,3000,0.08
2016-02-08,0.08,0.08,0.08,0.08,000,0.08
2016-02-05,0.08,0.08,0.08,0.08,000,0.08
2016-02-04,0.08,0.08,0.08,0.08,000,0.08
2016-02-03,0.05,0.08,0.04,0.08,27400,0.08
2016-02-02,0.08,0.08,0.08,0.08,000,0.08
2016-02-01,0.08,0.08,0.08,0.08,000,0.08
2016-01-29,0.08,0.08,0.08,0.08,000,0.08
2016-01-28,0.08,0.08,0.08,0.08,000,0.08
2016-01-27,0.08,0.08,0.08,0.08,000,0.08
2016-01-26,0.07,0.08,0.07,0.08,1200,0.08
2016-01-25,0.08,0.08,0.08,0.08,000,0.08
2016-01-22,0.08,0.08,0.08,0.08,000,0.08
2016-01-21,0.08,0.08,0.05,0.08,4000,0.08
2016-01-20,0.05,0.05,0.05,0.05,400,0.05
2016-01-19,0.08,0.08,0.08,0.08,000,0.08
2016-01-15,0.08,0.08,0.08,0.08,1600,0.08
2016-01-14,0.10,0.10,0.10,0.10,000,0.10
