Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-30,0.593,0.593,0.593,0.593,000,0.593
2015-12-29,0.601,0.601,0.601,0.601,000,0.601
2015-12-28,0.617,0.617,0.617,0.617,000,0.617
2015-12-25,0.591,0.591,0.591,0.591,000,0.591
2015-12-24,0.591,0.591,0.591,0.591,000,0.591
2015-12-23,0.591,0.591,0.591,0.591,000,0.591
2015-12-22,0.601,0.601,0.601,0.601,000,0.601
2015-12-21,0.602,0.602,0.602,0.602,000,0.602
2015-12-18,0.596,0.596,0.596,0.596,000,0.596
2015-12-17,0.599,0.599,0.599,0.599,000,0.599
2015-12-16,0.583,0.583,0.583,0.583,000,0.583
2015-12-15,0.586,0.586,0.586,0.586,000,0.586
2015-12-14,0.586,0.586,0.586,0.586,000,0.586
2015-12-11,0.599,0.599,0.599,0.599,000,0.599
2015-12-10,0.599,0.599,0.599,0.599,000,0.599
2015-12-09,0.616,0.616,0.616,0.616,000,0.616
2015-12-08,0.625,0.625,0.625,0.625,000,0.625
2015-12-07,0.617,0.617,0.617,0.617,000,0.617
2015-12-04,0.64,0.64,0.64,0.64,000,0.64
2015-12-03,0.64,0.64,0.64,0.64,000,0.64
2015-12-02,0.643,0.643,0.643,0.643,000,0.643
2015-12-01,0.661,0.661,0.661,0.661,000,0.661
2015-11-30,0.648,0.648,0.648,0.648,000,0.648
2015-11-27,0.634,0.634,0.634,0.634,000,0.634
2015-11-26,0.642,0.642,0.642,0.642,000,0.642
2015-11-25,0.642,0.642,0.642,0.642,000,0.642
2015-11-24,0.642,0.642,0.642,0.642,000,0.642
2015-11-23,0.64,0.64,0.64,0.64,000,0.64
2015-11-20,0.631,0.631,0.631,0.631,000,0.631
2015-11-19,0.631,0.631,0.631,0.631,000,0.631
2015-11-18,0.661,0.661,0.661,0.661,000,0.661
2015-11-17,0.658,0.658,0.658,0.658,000,0.658
2015-11-16,0.657,0.657,0.657,0.657,000,0.657
2015-11-13,0.658,0.658,0.658,0.658,000,0.658
2015-11-12,0.666,0.666,0.666,0.666,000,0.666
2015-11-11,0.677,0.677,0.677,0.677,000,0.677
2015-11-10,0.678,0.678,0.678,0.678,000,0.678
2015-11-09,0.681,0.681,0.681,0.681,000,0.681
2015-11-06,0.676,0.676,0.676,0.676,000,0.676
2015-11-05,0.674,0.674,0.674,0.674,000,0.674
2015-11-04,0.674,0.674,0.674,0.674,000,0.674
2015-11-03,0.664,0.664,0.664,0.664,000,0.664
2015-11-02,0.687,0.687,0.687,0.687,000,0.687
2015-10-30,0.686,0.686,0.686,0.686,000,0.686
2015-10-29,0.693,0.693,0.693,0.693,000,0.693
2015-10-28,0.69,0.69,0.69,0.69,000,0.69
2015-10-27,0.69,0.69,0.69,0.69,000,0.69
2015-10-26,0.689,0.689,0.689,0.689,000,0.689
2015-10-23,0.679,0.679,0.679,0.679,000,0.679
2015-10-22,0.668,0.668,0.668,0.668,000,0.668
2015-10-21,0.667,0.667,0.667,0.667,000,0.667
2015-10-20,0.675,0.675,0.675,0.675,000,0.675
2015-10-19,0.649,0.649,0.649,0.649,000,0.649
2015-10-16,0.674,0.674,0.674,0.674,000,0.674
2015-10-15,0.667,0.667,0.667,0.667,000,0.667
2015-10-14,0.678,0.678,0.678,0.678,000,0.678
2015-10-13,0.693,0.693,0.693,0.693,000,0.693
2015-10-12,0.68,0.68,0.68,0.68,000,0.68
2015-10-09,0.696,0.696,0.696,0.696,000,0.696
2015-10-08,0.708,0.708,0.708,0.708,000,0.708
2015-10-07,0.707,0.707,0.707,0.707,000,0.707
2015-10-06,0.702,0.702,0.702,0.702,000,0.702
2015-10-05,0.708,0.708,0.708,0.708,000,0.708
2015-10-02,0.671,0.671,0.671,0.671,000,0.671
2015-10-01,0.673,0.673,0.673,0.673,000,0.673
2015-09-30,0.66,0.66,0.66,0.66,000,0.66
2015-09-29,0.61,0.61,0.61,0.61,000,0.61
2015-09-28,0.62,0.62,0.62,0.62,000,0.62
2015-09-25,0.629,0.629,0.629,0.629,000,0.629
2015-09-24,0.629,0.629,0.629,0.629,000,0.629
2015-09-23,0.649,0.649,0.649,0.649,000,0.649
2015-09-22,0.633,0.633,0.633,0.633,000,0.633
2015-09-21,0.62,0.62,0.62,0.62,000,0.62
2015-09-18,0.626,0.626,0.626,0.626,000,0.626
2015-09-17,0.63,0.63,0.63,0.63,000,0.63
2015-09-16,0.63,0.63,0.63,0.63,000,0.63
2015-09-15,0.622,0.622,0.622,0.622,000,0.622
2015-09-14,0.625,0.625,0.625,0.625,000,0.625
2015-09-11,0.627,0.627,0.627,0.627,000,0.627
2015-09-10,0.644,0.644,0.644,0.644,000,0.644
2015-09-09,0.645,0.645,0.645,0.645,000,0.645
2015-09-08,0.646,0.646,0.646,0.646,000,0.646
2015-09-07,0.639,0.639,0.639,0.639,000,0.639
2015-09-04,0.599,0.599,0.599,0.599,000,0.599
2015-09-03,0.593,0.593,0.593,0.593,000,0.593
2015-09-02,0.587,0.587,0.587,0.587,000,0.587
2015-09-01,0.617,0.617,0.617,0.617,000,0.617
2015-08-31,0.602,0.602,0.602,0.602,000,0.602
2015-08-28,0.605,0.605,0.605,0.605,000,0.605
2015-08-27,0.541,0.541,0.541,0.541,000,0.541
2015-08-26,0.529,0.529,0.529,0.529,000,0.529
2015-08-25,0.533,0.533,0.53,0.53,000,0.53
2015-08-24,0.586,0.586,0.586,0.586,000,0.586
2015-08-21,0.594,0.594,0.594,0.594,000,0.594
2015-08-20,0.633,0.633,0.633,0.633,000,0.633
2015-08-19,0.64,0.64,0.64,0.64,000,0.64
2015-08-18,0.64,0.64,0.64,0.64,000,0.64
2015-08-17,0.64,0.64,0.64,0.64,000,0.64
2015-08-14,0.64,0.64,0.64,0.64,000,0.64
2015-08-13,0.648,0.648,0.64,0.64,000,0.64
2015-08-12,0.67,0.67,0.67,0.67,000,0.67
2015-08-11,0.674,0.674,0.674,0.674,000,0.674
2015-08-10,0.678,0.678,0.678,0.678,000,0.678
2015-08-07,0.69,0.69,0.69,0.69,000,0.69
2015-08-06,0.693,0.693,0.693,0.693,000,0.693
2015-08-05,0.696,0.696,0.696,0.696,000,0.696
2015-08-04,0.691,0.691,0.691,0.691,000,0.691
2015-08-03,0.684,0.684,0.684,0.684,000,0.684
2015-07-31,0.687,0.687,0.687,0.687,000,0.687
2015-07-30,0.681,0.681,0.681,0.681,000,0.681
2015-07-29,0.679,0.679,0.679,0.679,000,0.679
2015-07-28,0.67,0.67,0.67,0.67,000,0.67
2015-07-27,0.699,0.699,0.699,0.699,000,0.699
2015-07-24,0.722,0.722,0.722,0.722,000,0.722
2015-07-23,0.729,0.729,0.729,0.729,000,0.729
2015-07-22,0.727,0.727,0.727,0.727,000,0.727
2015-07-21,0.714,0.714,0.65,0.68,10300,0.68
2015-07-20,0.725,0.725,0.725,0.725,000,0.725
2015-07-17,0.691,0.691,0.691,0.691,000,0.691
2015-07-16,0.677,0.677,0.677,0.677,000,0.677
2015-07-15,0.675,0.675,0.675,0.675,000,0.675
2015-07-14,0.664,0.664,0.664,0.664,000,0.664
2015-07-13,0.659,0.659,0.659,0.659,000,0.659
2015-07-10,0.638,0.638,0.638,0.638,000,0.638
2015-07-09,0.546,0.546,0.546,0.546,000,0.546
2015-07-08,0.598,0.598,0.598,0.598,000,0.598
2015-07-07,0.656,0.656,0.656,0.656,000,0.656
2015-07-06,0.679,0.679,0.679,0.679,000,0.679
2015-07-03,0.701,0.701,0.701,0.701,000,0.701
2015-07-02,0.734,0.734,0.734,0.734,000,0.734
2015-07-01,0.73,0.73,0.73,0.73,000,0.73
2015-06-30,0.699,0.699,0.699,0.699,000,0.699
2015-06-29,0.73,0.73,0.73,0.73,000,0.73
2015-06-26,0.743,0.743,0.743,0.743,000,0.743
2015-06-25,0.743,0.743,0.743,0.743,000,0.743
2015-06-24,0.757,0.757,0.757,0.757,000,0.757
2015-06-23,0.743,0.743,0.743,0.743,000,0.743
2015-06-22,0.749,0.749,0.749,0.749,000,0.749
2015-06-19,0.758,0.758,0.758,0.758,000,0.758
2015-06-18,0.739,0.739,0.739,0.739,000,0.739
2015-06-17,0.745,0.745,0.745,0.745,000,0.745
