Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.00,4.10,3.90,4.10,167100,4.10
2016-03-31,4.20,4.20,3.91,3.94,188400,3.94
2016-03-30,4.20,4.25,4.11,4.20,45600,4.20
2016-03-29,4.31,4.35,4.15,4.25,51600,4.25
2016-03-28,4.50,4.50,4.26,4.27,38800,4.27
2016-03-24,4.39,4.45,4.36,4.44,11900,4.44
2016-03-23,4.79,4.79,4.39,4.39,52900,4.39
2016-03-22,5.00,5.01,4.70,4.75,79600,4.75
2016-03-21,4.95,5.20,4.90,4.95,124100,4.95
2016-03-18,4.79,4.95,4.56,4.90,57200,4.90
2016-03-17,4.58,4.80,4.58,4.80,247800,4.80
2016-03-16,4.40,4.62,4.39,4.48,42000,4.48
2016-03-15,4.41,4.545,4.35,4.37,32300,4.37
2016-03-14,4.71,4.73,4.45,4.63,40000,4.63
2016-03-11,4.75,4.85,4.69,4.73,53100,4.73
2016-03-10,4.77,4.80,4.69,4.74,62200,4.74
2016-03-09,4.37,4.80,4.33,4.77,358700,4.77
2016-03-08,4.50,4.50,4.17,4.365,295400,4.365
2016-03-07,4.80,4.81,4.43,4.50,115700,4.50
2016-03-04,4.83,4.85,4.65,4.75,192000,4.75
2016-03-03,4.80,4.85,4.70,4.85,123600,4.85
2016-03-02,4.80,4.97,4.76,4.88,193600,4.88
2016-03-01,4.90,5.00,4.75,4.80,65600,4.80
2016-02-29,4.90,4.90,4.78,4.90,76000,4.90
2016-02-26,4.87,5.00,4.78,4.98,59800,4.98
2016-02-25,5.10,5.10,4.83,4.90,47700,4.90
2016-02-24,5.20,5.30,4.95,5.10,291700,5.10
2016-02-23,5.20,5.39,5.12,5.16,75300,5.16
2016-02-22,4.77,5.25,4.77,5.25,181400,5.25
2016-02-19,4.40,4.84,4.39,4.84,103600,4.84
2016-02-18,4.39,4.50,4.25,4.50,48900,4.50
2016-02-17,4.20,4.50,4.20,4.40,34100,4.40
2016-02-16,4.45,4.49,4.13,4.21,58700,4.21
2016-02-12,4.12,4.55,4.10,4.44,119700,4.44
2016-02-11,4.00,4.10,4.00,4.10,161600,4.10
2016-02-10,3.92,3.95,3.86,3.90,28700,3.90
2016-02-09,3.98,4.03,3.90,3.90,45500,3.90
2016-02-08,4.10,4.14,3.93,3.97,111500,3.97
2016-02-05,3.92,4.05,3.88,4.02,129800,4.02
2016-02-04,3.98,4.10,3.94,3.95,286700,3.95
2016-02-03,4.25,4.49,4.20,4.40,90300,4.40
2016-02-02,4.15,4.30,4.05,4.25,64100,4.25
2016-02-01,3.99,4.20,3.87,4.20,258200,4.20
2016-01-29,3.82,4.00,3.71,3.90,61600,3.90
2016-01-28,3.99,3.99,3.51,3.70,143200,3.70
2016-01-27,3.47,3.85,3.38,3.85,63800,3.85
2016-01-26,3.45,3.50,3.41,3.50,42200,3.50
2016-01-25,3.30,3.40,3.24,3.37,36600,3.37
2016-01-22,3.21,3.33,3.17,3.20,144100,3.20
2016-01-21,3.09,3.25,3.00,3.02,146600,3.02
2016-01-20,3.06,3.14,2.98,3.01,34600,3.01
2016-01-19,3.40,3.50,3.05,3.20,130000,3.20
2016-01-18,3.07,3.30,3.07,3.15,4900,3.15
2016-01-15,3.18,3.38,3.00,3.04,65300,3.04
2016-01-14,3.20,3.31,2.90,3.17,52600,3.17
2016-01-13,3.59,3.60,2.86,3.00,139800,3.00
2016-01-12,3.65,3.75,3.38,3.54,27700,3.54
2016-01-11,3.79,3.90,3.42,3.50,28300,3.50
2016-01-08,3.70,3.81,3.56,3.65,39200,3.65
2016-01-07,3.95,4.05,3.61,3.62,88300,3.62
2016-01-06,4.00,4.15,3.97,4.01,92400,4.01
2016-01-05,4.13,4.14,3.99,4.00,109600,4.00
2016-01-04,4.12,4.14,3.97,4.00,12500,4.00
2015-12-31,3.92,4.11,3.92,3.97,11500,3.97
2015-12-30,4.10,4.10,3.92,3.93,67900,3.93
2015-12-29,4.00,4.10,3.91,4.01,74800,4.01
2015-12-24,3.92,3.99,3.84,3.90,13200,3.90
2015-12-23,3.95,4.10,3.80,3.83,69900,3.83
2015-12-22,4.19,4.20,3.92,3.95,82900,3.95
2015-12-21,4.16,4.20,3.97,4.20,17000,4.20
2015-12-18,4.11,4.11,3.81,4.00,129400,4.00
2015-12-17,4.58,4.58,4.07,4.15,66000,4.15
2015-12-16,4.25,4.45,4.25,4.45,24000,4.45
2015-12-15,4.25,4.35,4.10,4.30,16600,4.30
2015-12-14,4.59,4.59,4.20,4.31,54700,4.31
2015-12-11,4.46,4.59,4.42,4.59,14100,4.59
2015-12-10,4.58,4.61,4.41,4.59,17100,4.59
2015-12-09,4.70,4.80,4.55,4.59,24800,4.59
2015-12-08,4.60,4.79,4.55,4.70,63400,4.70
2015-12-07,4.84,4.84,4.45,4.53,40400,4.53
2015-12-04,4.37,4.82,4.37,4.70,85600,4.70
2015-12-03,4.70,4.70,4.16,4.49,137800,4.49
2015-12-02,4.90,4.94,4.50,4.75,63000,4.75
2015-12-01,5.00,5.02,4.85,4.88,54600,4.88
2015-11-30,4.99,5.00,4.82,4.93,654800,4.93
2015-11-27,4.95,5.15,4.91,4.95,412600,4.95
2015-11-26,5.05,5.05,4.85,5.00,70000,5.00
2015-11-25,4.81,5.05,4.65,4.90,60300,4.90
2015-11-24,5.00,5.00,4.72,4.77,45400,4.77
2015-11-23,5.10,5.13,4.93,5.00,123500,5.00
2015-11-20,4.95,5.12,4.90,5.00,272900,5.00
2015-11-19,4.70,5.10,4.70,4.95,135900,4.95
2015-11-18,4.64,4.86,4.60,4.70,181900,4.70
2015-11-17,4.50,4.55,4.45,4.50,485600,4.50
2015-11-16,4.37,4.65,4.37,4.44,70200,4.44
2015-11-13,4.30,4.40,4.25,4.36,90900,4.36
2015-11-12,4.34,4.40,4.05,4.28,198300,4.28
2015-11-11,4.15,4.50,4.15,4.35,282100,4.35
2015-11-10,3.95,4.10,3.91,4.10,44500,4.10
2015-11-09,4.01,4.06,3.87,4.00,20500,4.00
2015-11-06,3.86,4.06,3.62,4.05,315000,4.05
2015-11-05,4.02,4.20,3.75,3.90,302200,3.90
2015-11-04,3.74,4.02,3.68,4.00,192200,4.00
2015-11-03,3.71,3.815,3.52,3.70,96200,3.70
2015-11-02,3.73,3.80,3.65,3.66,32000,3.66
2015-10-30,3.55,3.68,3.45,3.60,120200,3.60
2015-10-29,3.60,3.70,3.43,3.49,178600,3.49
2015-10-28,4.00,4.10,3.76,3.76,220100,3.76
2015-10-27,3.79,4.05,3.78,4.03,250400,4.03
2015-10-26,3.65,3.91,3.54,3.75,206600,3.75
2015-10-23,3.58,3.71,3.42,3.70,325700,3.70
2015-10-22,3.25,3.565,3.25,3.55,89200,3.55
2015-10-21,3.30,3.30,3.30,3.30,000,3.30
2015-10-20,3.20,3.50,3.20,3.49,282000,3.49
2015-10-19,3.12,3.30,3.10,3.16,260200,3.16
2015-10-16,3.08,3.18,3.06,3.08,206300,3.08
2015-10-15,3.03,3.20,3.00,3.00,163100,3.00
2015-10-14,3.00,3.10,2.92,3.00,416400,3.00
2015-10-13,3.14,3.14,2.91,2.97,136300,2.97
2015-10-09,2.99,3.05,2.96,3.00,62700,3.00
2015-10-08,3.09,3.10,2.95,2.98,83300,2.98
2015-10-07,3.10,3.10,2.92,3.05,45500,3.05
2015-10-06,3.30,3.30,3.06,3.09,124700,3.09
2015-10-05,3.20,3.32,3.00,3.10,158500,3.10
2015-10-02,2.92,3.48,2.92,3.10,237500,3.10
2015-10-01,3.15,3.21,2.88,2.92,180100,2.92
2015-09-30,2.70,3.13,2.65,2.95,269400,2.95
2015-09-29,2.62,2.70,2.55,2.65,148300,2.65
2015-09-28,3.04,3.04,2.49,2.73,192400,2.73
2015-09-25,3.04,3.05,2.78,3.01,254600,3.01
2015-09-24,3.42,3.61,2.95,3.05,224800,3.05
2015-09-23,3.95,3.95,3.38,3.39,165100,3.39
2015-09-22,3.97,4.00,3.84,3.95,89700,3.95
2015-09-21,4.23,4.23,3.93,4.03,99600,4.03
2015-09-18,4.34,4.35,4.23,4.27,18900,4.27
2015-09-17,4.31,4.36,4.14,4.30,48300,4.30
2015-09-16,4.29,4.40,4.22,4.28,67400,4.28
2015-09-15,4.25,4.28,4.15,4.20,15800,4.20
2015-09-14,4.28,4.44,4.18,4.21,73200,4.21
2015-09-11,4.25,4.37,4.20,4.27,42800,4.27
2015-09-10,4.16,4.50,4.16,4.20,163100,4.20
2015-09-09,4.17,4.30,3.93,4.17,171300,4.17
2015-09-08,4.12,4.25,4.06,4.14,74900,4.14
2015-09-04,4.06,4.13,3.90,4.13,86700,4.13
2015-09-03,4.34,4.35,4.03,4.03,102600,4.03
2015-09-02,4.14,4.33,4.10,4.29,227300,4.29
2015-09-01,4.89,4.89,4.01,4.01,253700,4.01
2015-08-31,5.00,5.00,4.83,4.88,93200,4.88
2015-08-28,4.55,4.74,4.50,4.69,85700,4.69
2015-08-27,4.59,4.71,4.45,4.50,40300,4.50
2015-08-26,4.70,4.70,4.35,4.40,95500,4.40
2015-08-25,4.64,4.94,4.61,4.70,106300,4.70
2015-08-24,4.80,4.90,4.62,4.64,104700,4.64
2015-08-21,4.94,5.06,4.81,5.06,71300,5.06
2015-08-20,5.16,5.30,4.90,5.00,177700,5.00
2015-08-19,4.46,5.14,4.44,5.08,120400,5.08
2015-08-18,4.80,4.85,4.44,4.44,120200,4.44
2015-08-17,4.60,4.89,4.30,4.70,100300,4.70
2015-08-14,5.10,5.19,4.27,4.70,291700,4.70
2015-08-13,5.00,5.25,4.99,5.10,108700,5.10
2015-08-12,5.48,5.54,5.06,5.10,230000,5.10
2015-08-11,5.50,5.54,5.35,5.50,81100,5.50
2015-08-10,5.50,5.61,5.38,5.38,99300,5.38
2015-08-07,5.65,5.65,5.39,5.43,96200,5.43
2015-08-06,5.66,5.79,5.48,5.64,104900,5.64
2015-08-05,5.70,5.70,5.42,5.45,65300,5.45
2015-08-04,5.75,5.95,5.63,5.70,107500,5.70
2015-07-31,5.60,5.75,5.60,5.65,63300,5.65
2015-07-30,5.34,5.65,5.34,5.48,68800,5.48
2015-07-29,5.80,5.81,5.33,5.50,176100,5.50
2015-07-28,5.50,5.75,5.40,5.75,179400,5.75
2015-07-27,5.47,5.50,5.36,5.50,81100,5.50
2015-07-24,5.25,5.40,5.21,5.40,87900,5.40
2015-07-23,5.35,5.50,5.25,5.30,58000,5.30
2015-07-22,5.66,5.80,5.25,5.25,172200,5.25
2015-07-21,5.55,5.77,5.42,5.77,136100,5.77
2015-07-20,5.80,5.94,5.23,5.32,156000,5.32
2015-07-17,6.25,6.40,5.78,6.00,407700,6.00
2015-07-16,6.00,6.32,5.86,6.22,419400,6.22
2015-07-15,5.67,6.06,5.64,5.95,326100,5.95
2015-07-14,5.57,5.99,5.48,5.75,637500,5.75
2015-07-13,5.27,5.60,5.20,5.53,320300,5.53
2015-07-10,5.58,5.58,5.25,5.30,152200,5.30
2015-07-09,5.45,5.75,5.25,5.35,288500,5.35
2015-07-08,5.45,5.48,5.15,5.30,202800,5.30
2015-07-07,5.85,5.85,5.12,5.49,481900,5.49
2015-07-06,5.67,6.56,5.65,5.80,520200,5.80
2015-07-03,6.49,6.49,5.51,5.66,553800,5.66
2015-07-02,5.20,6.72,5.05,6.48,746700,6.48
2015-06-30,4.81,5.12,4.77,5.00,439800,5.00
2015-06-29,5.07,5.24,4.61,4.65,461200,4.65
2015-06-26,4.50,5.03,4.43,5.00,1188700,5.00
2015-06-25,4.25,4.47,4.25,4.31,143500,4.31
2015-06-24,4.00,4.49,3.97,4.23,279400,4.23
2015-06-23,4.05,4.15,3.96,3.96,82500,3.96
2015-06-22,4.00,4.09,3.95,4.05,59200,4.05
2015-06-19,4.00,4.01,3.91,4.00,140900,4.00
2015-06-18,3.91,4.05,3.86,4.00,144100,4.00
2015-06-17,3.99,3.99,3.88,3.90,73400,3.90
2015-06-16,4.15,4.22,3.90,3.95,126800,3.95
2015-06-15,4.12,4.15,4.00,4.15,101900,4.15
2015-06-12,4.10,4.23,4.06,4.17,193800,4.17
2015-06-11,4.18,4.30,4.09,4.18,86400,4.18
2015-06-10,4.25,4.33,4.16,4.21,97700,4.21
2015-06-09,4.20,4.42,4.20,4.24,308900,4.24
2015-06-08,4.29,4.40,4.10,4.22,149700,4.22
2015-06-05,4.35,4.53,4.10,4.23,236000,4.23
2015-06-04,4.01,4.45,4.01,4.35,308500,4.35
2015-06-03,4.10,4.23,4.01,4.01,176700,4.01
2015-06-02,4.61,4.61,4.08,4.15,343800,4.15
2015-06-01,4.25,4.84,4.07,4.50,654500,4.50
2015-05-29,3.80,4.20,3.76,4.04,797000,4.04
2015-05-28,4.11,4.40,3.90,4.10,312100,4.10
2015-05-27,4.75,4.75,4.00,4.31,530400,4.31
2015-05-26,5.30,5.40,4.69,4.79,761200,4.79
2015-05-25,6.00,6.48,5.15,5.60,1505300,5.60
2015-05-22,6.00,6.05,4.52,4.65,000,4.65
2015-05-21,6.00,6.05,4.52,4.65,1165100,4.65
2015-05-20,8.00,8.00,5.80,6.14,1520200,6.14
2015-05-19,4.44,6.68,4.28,6.68,1758800,6.68
2015-05-15,4.09,4.35,3.82,4.19,887500,4.19
2015-05-14,2.80,4.48,2.80,3.77,1747100,3.77
2015-05-13,2.50,2.80,2.35,2.70,1228500,2.70
