Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-08,0.915,0.915,0.915,0.915,000,0.915
2016-01-07,0.915,0.915,0.915,0.915,000,0.915
2016-01-06,0.942,0.942,0.942,0.942,000,0.942
2016-01-05,0.942,0.942,0.942,0.942,000,0.942
2016-01-04,0.936,0.936,0.936,0.936,000,0.936
2016-01-01,0.922,0.922,0.922,0.922,000,0.922
2015-12-31,0.922,0.922,0.922,0.922,000,0.922
2015-12-30,0.906,0.922,0.906,0.922,000,0.922
2015-12-29,0.896,0.896,0.896,0.896,000,0.896
2015-12-28,0.891,0.891,0.891,0.891,000,0.891
2015-12-25,0.891,0.891,0.891,0.891,000,0.891
2015-12-24,0.891,0.891,0.891,0.891,000,0.891
2015-12-23,0.891,0.891,0.891,0.891,000,0.891
2015-12-22,0.891,0.891,0.891,0.891,000,0.891
2015-12-21,0.891,0.891,0.891,0.891,000,0.891
2015-12-18,0.891,0.891,0.891,0.891,000,0.891
2015-12-17,0.891,0.891,0.891,0.891,000,0.891
2015-12-16,0.891,0.891,0.891,0.891,000,0.891
2015-12-15,0.915,0.915,0.915,0.915,000,0.915
2015-12-14,0.925,0.925,0.925,0.925,000,0.925
2015-12-11,0.93,0.93,0.93,0.93,000,0.93
2015-12-10,0.954,0.954,0.954,0.954,000,0.954
2015-12-09,0.954,0.954,0.954,0.954,000,0.954
2015-12-08,0.969,0.969,0.969,0.969,000,0.969
2015-12-07,0.969,0.969,0.969,0.969,000,0.969
2015-12-04,0.969,0.969,0.969,0.969,000,0.969
2015-12-03,0.972,0.972,0.972,0.972,000,0.972
2015-12-02,0.972,0.972,0.972,0.972,000,0.972
2015-12-01,0.972,0.972,0.972,0.972,000,0.972
2015-11-30,0.972,0.972,0.972,0.972,000,0.972
2015-11-27,0.972,0.972,0.972,0.972,000,0.972
2015-11-26,0.974,0.974,0.974,0.974,000,0.974
2015-11-25,0.974,0.974,0.974,0.974,000,0.974
2015-11-24,0.974,0.974,0.974,0.974,000,0.974
2015-11-23,0.974,0.974,0.974,0.974,000,0.974
2015-11-20,0.974,0.974,0.974,0.974,000,0.974
2015-11-19,0.974,0.974,0.974,0.974,000,0.974
2015-11-18,0.974,0.974,0.974,0.974,000,0.974
2015-11-17,0.974,0.974,0.974,0.974,000,0.974
2015-11-16,0.974,0.974,0.974,0.974,000,0.974
2015-11-13,0.974,0.974,0.974,0.974,000,0.974
2015-11-12,0.974,0.974,0.974,0.974,000,0.974
2015-11-11,0.974,0.974,0.974,0.974,000,0.974
2015-11-10,0.974,0.974,0.974,0.974,000,0.974
2015-11-09,0.974,0.974,0.974,0.974,000,0.974
2015-11-06,0.909,0.909,0.909,0.909,000,0.909
2015-11-05,0.90,0.90,0.90,0.90,000,0.90
2015-11-04,0.89,0.89,0.89,0.89,000,0.89
2015-11-03,0.886,0.886,0.886,0.886,000,0.886
2015-11-02,0.886,0.886,0.886,0.886,000,0.886
2015-10-30,0.886,0.886,0.886,0.886,000,0.886
2015-10-29,0.884,0.884,0.884,0.884,000,0.884
2015-10-28,0.872,0.872,0.872,0.872,000,0.872
2015-10-27,0.872,0.872,0.872,0.872,000,0.872
2015-10-26,0.872,0.872,0.872,0.872,000,0.872
2015-10-23,0.872,0.872,0.872,0.872,000,0.872
2015-10-22,0.872,0.872,0.872,0.872,000,0.872
2015-10-21,0.872,0.872,0.872,0.872,000,0.872
2015-10-20,0.872,0.872,0.872,0.872,000,0.872
2015-10-19,0.872,0.872,0.872,0.872,000,0.872
2015-10-16,0.872,0.872,0.872,0.872,000,0.872
2015-10-15,0.872,0.872,0.872,0.872,000,0.872
2015-10-14,0.879,0.879,0.879,0.879,000,0.879
2015-10-13,0.88,0.88,0.88,0.88,000,0.88
2015-10-12,0.893,0.893,0.893,0.893,000,0.893
2015-10-09,0.912,0.912,0.912,0.912,000,0.912
2015-10-08,0.912,0.912,0.912,0.912,000,0.912
2015-10-07,0.917,0.917,0.917,0.917,000,0.917
2015-10-06,0.917,0.917,0.917,0.917,000,0.917
2015-10-05,0.917,0.917,0.917,0.917,000,0.917
2015-10-02,0.917,0.917,0.917,0.917,000,0.917
2015-10-01,0.917,0.917,0.917,0.917,000,0.917
2015-09-30,0.917,0.917,0.917,0.917,000,0.917
2015-09-29,0.917,0.917,0.917,0.917,000,0.917
2015-09-28,0.929,0.929,0.929,0.929,000,0.929
2015-09-25,0.929,0.929,0.929,0.929,000,0.929
2015-09-24,0.929,0.929,0.929,0.929,000,0.929
2015-09-23,0.903,0.903,0.903,0.903,000,0.903
2015-09-22,0.903,0.903,0.903,0.903,000,0.903
2015-09-21,0.903,0.903,0.903,0.903,000,0.903
2015-09-18,0.903,0.903,0.903,0.903,000,0.903
2015-09-17,0.903,0.903,0.903,0.903,000,0.903
2015-09-16,0.903,0.903,0.903,0.903,000,0.903
2015-09-15,0.903,0.903,0.903,0.903,000,0.903
2015-09-14,0.903,0.903,0.903,0.903,000,0.903
2015-09-11,0.913,0.913,0.913,0.913,000,0.913
2015-09-10,0.924,0.924,0.924,0.924,000,0.924
2015-09-09,0.924,0.924,0.924,0.924,000,0.924
2015-09-08,0.87,0.87,0.87,0.87,000,0.87
2015-09-07,0.87,0.87,0.87,0.87,000,0.87
2015-09-04,0.87,0.87,0.87,0.87,000,0.87
2015-09-03,0.87,0.87,0.87,0.87,000,0.87
2015-09-02,0.87,0.87,0.87,0.87,000,0.87
2015-09-01,0.87,0.87,0.87,0.87,000,0.87
2015-08-31,0.87,0.87,0.87,0.87,000,0.87
2015-08-28,0.897,0.897,0.897,0.897,000,0.897
2015-08-27,0.897,0.897,0.897,0.897,000,0.897
2015-08-26,0.897,0.897,0.897,0.897,000,0.897
2015-08-25,0.897,0.897,0.897,0.897,000,0.897
2015-08-24,0.932,0.932,0.932,0.932,000,0.932
2015-08-21,0.981,0.981,0.981,0.981,000,0.981
2015-08-20,0.996,0.996,0.996,0.996,000,0.996
2015-08-19,0.996,0.996,0.996,0.996,000,0.996
2015-08-18,0.996,0.996,0.996,0.996,000,0.996
2015-08-17,1.004,1.004,1.004,1.004,000,1.004
2015-08-14,1.012,1.012,1.012,1.012,000,1.012
2015-08-13,1.013,1.013,1.013,1.013,000,1.013
2015-08-12,1.049,1.049,1.049,1.049,000,1.049
2015-08-11,1.051,1.051,1.051,1.051,000,1.051
2015-08-10,1.051,1.051,1.051,1.051,000,1.051
2015-08-07,1.051,1.051,1.051,1.051,000,1.051
2015-08-06,1.051,1.051,1.051,1.051,000,1.051
2015-08-05,1.051,1.051,1.051,1.051,000,1.051
2015-08-04,1.051,1.051,1.051,1.051,000,1.051
2015-08-03,1.017,1.017,1.017,1.017,000,1.017
2015-07-31,1.017,1.017,1.017,1.017,000,1.017
2015-07-30,1.017,1.017,1.017,1.017,000,1.017
2015-07-29,1.017,1.017,1.017,1.017,000,1.017
2015-07-28,1.017,1.017,1.017,1.017,000,1.017
2015-07-27,1.017,1.017,1.017,1.017,000,1.017
2015-07-24,1.017,1.017,1.017,1.017,000,1.017
2015-07-23,1.016,1.016,1.016,1.016,000,1.016
2015-07-22,1.006,1.006,1.006,1.006,000,1.006
2015-07-21,1.007,1.007,1.007,1.007,000,1.007
2015-07-20,1.002,1.002,1.002,1.002,000,1.002
2015-07-17,0.999,0.999,0.999,0.999,000,0.999
2015-07-16,0.997,0.997,0.997,0.997,000,0.997
2015-07-15,0.989,0.989,0.989,0.989,000,0.989
2015-07-14,1.015,1.015,1.015,1.015,000,1.015
2015-07-13,1.002,1.002,1.002,1.002,000,1.002
2015-07-10,1.008,1.008,1.008,1.008,000,1.008
2015-07-09,1.01,1.01,1.01,1.01,000,1.01
2015-07-08,1.018,1.018,1.018,1.018,000,1.018
