Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,72.82,73.10,72.45,72.95,400,72.95
2016-03-31,74.10,74.80,73.61,74.24,300,74.24
2016-03-30,74.70,75.29,74.54,74.54,700,74.54
2016-03-29,75.65,75.65,74.46,74.72,800,74.72
2016-03-28,74.85,74.85,74.85,74.85,000,74.85
2016-03-25,74.85,74.85,74.85,74.85,000,74.85
2016-03-24,74.90,75.04,74.18,74.85,1200,74.85
2016-03-23,75.28,75.49,75.01,75.37,600,75.37
2016-03-22,74.60,74.80,74.40,74.76,200,74.76
2016-03-21,74.75,74.75,74.44,74.75,1300,74.75
2016-03-18,74.65,75.15,74.14,74.69,300,74.69
2016-03-17,74.15,74.55,73.55,74.55,1200,74.55
2016-03-16,75.20,75.20,74.17,74.33,800,74.33
2016-03-15,73.70,73.98,73.35,73.96,500,73.96
2016-03-14,73.95,74.33,73.24,74.31,1600,74.31
2016-03-11,74.10,75.09,74.10,74.14,2100,74.14
2016-03-10,75.64,75.85,72.63,72.63,2300,72.63
2016-03-09,75.55,76.38,75.52,75.52,1400,75.52
2016-03-08,76.50,76.50,75.50,75.50,500,75.50
2016-03-07,75.80,75.98,74.76,74.76,900,74.76
2016-03-04,75.39,75.39,74.36,75.00,2000,75.00
2016-03-03,75.38,76.50,74.87,75.03,1000,75.03
2016-03-02,75.00,75.49,74.13,75.36,2200,75.36
2016-03-01,74.50,74.88,73.97,74.59,1000,74.59
2016-02-29,74.76,75.26,73.97,75.26,1300,75.26
2016-02-26,74.96,75.45,74.96,75.34,700,75.34
2016-02-25,73.85,74.00,72.85,72.85,500,72.85
2016-02-24,73.00,73.11,72.61,72.61,9700,72.61
2016-02-23,74.49,74.74,74.00,74.00,900,74.00
2016-02-22,74.95,76.00,74.88,74.89,2300,74.89
2016-02-19,74.15,74.48,73.25,73.25,800,73.25
2016-02-18,74.42,74.95,74.06,74.32,1400,74.32
2016-02-17,73.49,74.06,73.49,74.06,300,74.06
2016-02-16,74.16,74.77,72.02,72.02,3400,72.02
2016-02-15,73.17,73.91,72.60,73.87,2600,73.87
2016-02-12,72.00,72.00,70.83,71.77,2400,71.77
2016-02-11,70.30,70.30,68.49,68.56,1100,68.56
2016-02-10,70.70,72.60,70.70,72.60,1500,72.60
2016-02-09,72.30,72.62,70.18,71.20,1000,71.20
2016-02-08,72.18,72.18,70.21,71.25,1500,70.52
2016-02-05,71.25,72.03,71.00,71.08,900,70.352
2016-02-04,71.25,71.32,69.60,70.91,1200,70.183
2016-02-03,68.72,69.78,67.21,69.42,1400,68.709
2016-02-02,70.17,70.17,67.50,67.68,3300,66.987
2016-02-01,71.53,71.68,69.22,69.75,3600,69.035
2016-01-29,70.68,70.80,70.40,70.67,300,69.946
2016-01-28,69.74,70.89,69.02,69.73,1400,69.016
2016-01-27,69.60,70.35,69.29,70.35,1300,69.629
2016-01-26,67.51,69.84,67.20,69.76,1800,69.045
2016-01-25,71.10,71.10,69.18,69.74,1500,69.025
2016-01-22,69.25,70.98,69.25,69.64,3600,68.926
2016-01-21,67.54,68.87,66.18,68.87,3600,68.164
2016-01-20,69.29,69.29,67.85,67.86,3000,67.165
2016-01-19,72.00,73.29,70.85,71.46,2100,70.728
2016-01-18,71.09,71.58,70.56,71.32,700,70.589
2016-01-15,72.89,72.89,69.33,70.69,2000,69.966
2016-01-14,70.27,73.00,69.07,72.87,700,72.123
2016-01-13,69.90,70.50,69.80,70.10,900,69.382
2016-01-12,67.36,68.89,66.67,67.89,1700,67.194
2016-01-11,68.60,68.83,68.00,68.07,3600,67.373
2016-01-08,71.31,71.31,68.36,68.85,1400,68.145
2016-01-07,70.68,70.89,69.32,70.89,2700,70.164
2016-01-06,71.79,71.92,71.19,71.92,1000,71.183
