Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.12,0.12,0.12,0.12,000,0.12
2016-03-31,0.12,0.12,0.12,0.12,000,0.12
2016-03-30,0.12,0.12,0.12,0.12,1300,0.12
2016-03-29,0.15,0.15,0.15,0.15,000,0.15
2016-03-28,0.15,0.15,0.15,0.15,100,0.15
2016-03-25,0.15,0.15,0.15,0.15,000,0.15
2016-03-24,0.15,0.15,0.15,0.15,000,0.15
2016-03-23,0.15,0.15,0.15,0.15,000,0.15
2016-03-22,0.15,0.15,0.15,0.15,000,0.15
2016-03-21,0.15,0.15,0.15,0.15,300,0.15
2016-03-18,0.15,0.15,0.15,0.15,000,0.15
2016-03-17,0.15,0.15,0.15,0.15,200,0.15
2016-03-16,0.15,0.15,0.13,0.13,1900,0.13
2016-03-15,0.07,0.15,0.07,0.15,5200,0.15
2016-03-14,0.15,0.15,0.15,0.15,100,0.15
2016-03-11,0.065,0.07,0.065,0.07,2300,0.07
2016-03-10,0.055,0.15,0.055,0.15,8900,0.15
2016-03-09,0.39,0.39,0.39,0.39,300,0.39
2016-03-08,0.50335,0.50335,0.06249,0.3999,6500,0.3999
2016-03-07,0.0056,0.0056,0.0056,0.0056,000,0.0056
2016-03-04,0.0056,0.0056,0.0056,0.0056,200,0.0056
2016-03-03,0.11,0.11,0.11,0.11,000,0.11
2016-03-02,0.11,0.11,0.11,0.11,6300,0.11
2016-03-01,0.075,0.075,0.075,0.075,000,0.075
2016-02-29,0.075,0.075,0.075,0.075,000,0.075
2016-02-26,0.075,0.075,0.075,0.075,000,0.075
2016-02-25,0.075,0.075,0.075,0.075,000,0.075
2016-02-24,0.075,0.075,0.075,0.075,000,0.075
2016-02-23,0.075,0.075,0.075,0.075,000,0.075
2016-02-22,0.075,0.075,0.075,0.075,000,0.075
2016-02-19,0.075,0.075,0.075,0.075,000,0.075
2016-02-18,0.075,0.075,0.075,0.075,000,0.075
2016-02-17,0.075,0.09,0.075,0.075,5700,0.075
2016-02-16,0.075,0.075,0.075,0.075,000,0.075
2016-02-15,0.075,0.075,0.075,0.075,000,0.075
2016-02-12,0.075,0.075,0.075,0.075,000,0.075
2016-02-11,0.075,0.075,0.075,0.075,000,0.075
2016-02-10,0.075,0.075,0.075,0.075,000,0.075
2016-02-09,0.05,0.075,0.05,0.075,5000,0.075
2016-02-08,0.0501,0.0501,0.0501,0.0501,700,0.0501
2016-02-05,0.075,0.075,0.075,0.075,000,0.075
2016-02-04,0.075,0.075,0.075,0.075,000,0.075
2016-02-03,0.075,0.075,0.075,0.075,500,0.075
2016-02-02,0.05,0.05,0.05,0.05,000,0.05
2016-02-01,0.05,0.05,0.05,0.05,000,0.05
2016-01-29,0.05,0.05,0.05,0.05,000,0.05
2016-01-28,0.05,0.05,0.05,0.05,200,0.05
2016-01-27,0.075,0.075,0.075,0.075,3300,0.075
2016-01-26,0.05,0.05,0.05,0.05,000,0.05
2016-01-25,0.05,0.05,0.05,0.05,200,0.05
2016-01-22,0.077,0.077,0.077,0.077,7500,0.077
2016-01-21,0.07,0.07,0.07,0.07,000,0.07
2016-01-20,0.07,0.07,0.07,0.07,000,0.07
2016-01-19,0.07,0.07,0.07,0.07,15400,0.07
2016-01-18,0.08,0.08,0.08,0.08,000,0.08
2016-01-15,0.08,0.08,0.08,0.08,000,0.08
2016-01-14,0.08,0.08,0.08,0.08,000,0.08
2016-01-13,0.08,0.08,0.08,0.08,000,0.08
2016-01-12,0.08,0.08,0.08,0.08,000,0.08
2016-01-11,0.08,0.08,0.08,0.08,000,0.08
