Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.045,0.045,0.045,0.045,1300,0.045
2016-03-31,0.05,0.05,0.05,0.05,15000,0.05
2016-03-30,0.06,0.06,0.06,0.06,000,0.06
2016-03-29,0.06,0.06,0.06,0.06,000,0.06
2016-03-28,0.06,0.06,0.06,0.06,000,0.06
2016-03-24,0.06,0.06,0.06,0.06,000,0.06
2016-03-23,0.06,0.06,0.06,0.06,000,0.06
2016-03-22,0.06,0.06,0.06,0.06,000,0.06
2016-03-21,0.06,0.06,0.06,0.06,35000,0.06
2016-03-18,0.055,0.055,0.055,0.055,000,0.055
2016-03-17,0.055,0.055,0.055,0.055,000,0.055
2016-03-16,0.055,0.055,0.055,0.055,2000,0.055
2016-03-15,0.05,0.05,0.045,0.05,24000,0.05
2016-03-14,0.05,0.05,0.05,0.05,000,0.05
2016-03-11,0.05,0.05,0.05,0.05,000,0.05
2016-03-10,0.05,0.05,0.05,0.05,10000,0.05
2016-03-09,0.05,0.05,0.05,0.05,000,0.05
2016-03-08,0.05,0.05,0.05,0.05,000,0.05
2016-03-07,0.045,0.05,0.045,0.05,10500,0.05
2016-03-04,0.06,0.06,0.06,0.06,63000,0.06
2016-03-03,0.06,0.06,0.06,0.06,6800,0.06
2016-03-02,0.055,0.06,0.055,0.055,45000,0.055
2016-03-01,0.055,0.055,0.055,0.055,000,0.055
2016-02-29,0.055,0.055,0.055,0.055,2000,0.055
2016-02-26,0.05,0.05,0.05,0.05,000,0.05
2016-02-25,0.05,0.05,0.05,0.05,11000,0.05
2016-02-24,0.045,0.045,0.045,0.045,58500,0.045
2016-02-23,0.06,0.06,0.06,0.06,8000,0.06
2016-02-22,0.06,0.06,0.06,0.06,2000,0.06
2016-02-19,0.05,0.06,0.05,0.06,169100,0.06
2016-02-18,0.05,0.05,0.04,0.04,315100,0.04
2016-02-17,0.045,0.05,0.04,0.05,32000,0.05
2016-02-16,0.045,0.045,0.045,0.045,11000,0.045
2016-02-12,0.035,0.04,0.035,0.04,100000,0.04
2016-02-11,0.025,0.03,0.025,0.03,7600,0.03
2016-02-10,0.03,0.03,0.025,0.025,90000,0.025
2016-02-09,0.04,0.04,0.04,0.04,000,0.04
2016-02-08,0.04,0.04,0.04,0.04,000,0.04
2016-02-05,0.04,0.04,0.04,0.04,000,0.04
2016-02-04,0.04,0.04,0.04,0.04,000,0.04
2016-02-03,0.04,0.04,0.04,0.04,10600,0.04
2016-02-02,0.045,0.045,0.025,0.025,165600,0.025
2016-02-01,0.045,0.045,0.045,0.045,20000,0.045
2016-01-29,0.045,0.045,0.045,0.045,2000,0.045
2016-01-28,0.06,0.06,0.04,0.04,70000,0.04
2016-01-27,0.06,0.06,0.06,0.06,000,0.06
2016-01-26,0.05,0.06,0.05,0.06,116000,0.06
2016-01-25,0.07,0.07,0.05,0.05,105000,0.05
2016-01-22,0.05,0.05,0.05,0.05,000,0.05
2016-01-21,0.05,0.05,0.05,0.05,000,0.05
2016-01-20,0.05,0.05,0.05,0.05,103000,0.05
2016-01-19,0.055,0.055,0.055,0.055,1000,0.055
2016-01-18,0.05,0.05,0.05,0.05,000,0.05
2016-01-15,0.05,0.05,0.05,0.05,000,0.05
2016-01-14,0.05,0.05,0.05,0.05,000,0.05
2016-01-13,0.05,0.05,0.05,0.05,000,0.05
2016-01-12,0.05,0.05,0.05,0.05,000,0.05
2016-01-11,0.05,0.05,0.05,0.05,5000,0.05
2016-01-08,0.05,0.05,0.05,0.05,000,0.05
2016-01-07,0.05,0.05,0.05,0.05,000,0.05
2016-01-06,0.05,0.05,0.05,0.05,22000,0.05
2016-01-05,0.055,0.055,0.055,0.055,000,0.055
2016-01-04,0.055,0.055,0.055,0.055,000,0.055
2015-12-31,0.055,0.055,0.055,0.055,000,0.055
2015-12-30,0.055,0.055,0.055,0.055,5000,0.055
2015-12-29,0.04,0.04,0.04,0.04,000,0.04
2015-12-24,0.04,0.04,0.04,0.04,000,0.04
2015-12-23,0.04,0.04,0.04,0.04,49000,0.04
2015-12-22,0.06,0.06,0.045,0.06,116000,0.06
2015-12-21,0.07,0.07,0.07,0.07,000,0.07
2015-12-18,0.075,0.11,0.05,0.07,173000,0.07
2015-12-17,0.08,0.08,0.08,0.08,000,0.08
2015-12-16,0.08,0.08,0.08,0.08,000,0.08
2015-12-15,0.08,0.08,0.08,0.08,2700,0.08
2015-12-14,0.055,0.055,0.055,0.055,000,0.055
2015-12-11,0.055,0.055,0.055,0.055,000,0.055
2015-12-10,0.08,0.08,0.055,0.055,12600,0.055
2015-12-09,0.05,0.05,0.05,0.05,30000,0.05
2015-12-08,0.10,0.10,0.10,0.10,000,0.10
2015-12-07,0.04,0.10,0.04,0.10,75000,0.10
2015-12-04,0.055,0.055,0.055,0.055,000,0.055
2015-12-03,0.06,0.06,0.055,0.055,27000,0.055
2015-12-02,0.08,0.08,0.08,0.08,000,0.08
2015-12-01,0.08,0.08,0.08,0.08,000,0.08
2015-11-30,0.08,0.08,0.08,0.08,000,0.08
2015-11-27,0.08,0.08,0.08,0.08,000,0.08
2015-11-26,0.08,0.08,0.08,0.08,000,0.08
2015-11-25,0.08,0.08,0.08,0.08,000,0.08
2015-11-24,0.08,0.08,0.08,0.08,000,0.08
2015-11-23,0.08,0.08,0.08,0.08,000,0.08
2015-11-20,0.08,0.08,0.08,0.08,000,0.08
2015-11-19,0.08,0.08,0.08,0.08,000,0.08
2015-11-18,0.08,0.08,0.08,0.08,000,0.08
2015-11-17,0.08,0.08,0.08,0.08,000,0.08
2015-11-16,0.08,0.08,0.08,0.08,000,0.08
2015-11-13,0.07,0.08,0.07,0.08,8500,0.08
2015-11-12,0.09,0.09,0.08,0.09,58000,0.09
