Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-01,8.759,8.93,8.759,8.93,000,8.93
2015-11-30,8.729,8.867,8.729,8.867,000,8.867
2015-11-27,8.651,8.85,8.651,8.85,000,8.85
2015-11-26,8.736,8.84,8.72,8.74,000,8.74
2015-11-25,8.759,8.851,8.759,8.85,000,8.85
2015-11-24,8.799,8.85,8.799,8.85,000,8.85
2015-11-23,8.867,8.97,8.867,8.911,000,8.911
2015-11-20,8.848,8.968,8.848,8.867,000,8.867
2015-11-19,8.592,8.94,8.592,8.94,000,8.94
2015-11-18,8.678,8.741,8.592,8.592,000,8.592
2015-11-17,8.69,8.921,8.69,8.783,000,8.783
2015-11-16,8.582,8.832,8.582,8.832,000,8.832
2015-11-13,8.772,8.867,8.662,8.676,000,8.676
2015-11-12,8.867,8.925,8.761,8.762,000,8.762
2015-11-11,8.867,8.99,8.867,8.916,000,8.916
2015-11-10,8.956,9.021,8.956,9.02,000,9.02
2015-11-09,9.074,9.221,9.074,9.101,000,9.101
2015-11-06,8.907,9.258,8.907,9.075,000,9.075
2015-11-05,8.895,9.005,8.895,8.989,000,8.989
2015-11-04,8.867,9.039,8.867,9.039,000,9.039
2015-11-03,8.85,9.02,8.85,8.953,000,8.953
2015-11-02,8.877,9.014,8.877,8.941,000,8.941
2015-10-30,8.867,9.19,8.867,8.885,000,8.885
2015-10-29,8.798,8.946,8.798,8.935,000,8.935
2015-10-28,8.634,8.866,8.629,8.775,000,8.775
2015-10-27,8.651,8.71,8.651,8.686,000,8.686
2015-10-26,8.473,8.767,8.473,8.721,000,8.721
2015-10-23,8.503,8.591,8.503,8.56,000,8.56
2015-10-22,8.521,8.66,8.521,8.533,000,8.533
2015-10-21,8.444,8.536,8.444,8.521,000,8.521
2015-10-20,8.444,8.53,8.444,8.451,000,8.451
2015-10-19,8.503,8.55,8.41,8.411,000,8.411
2015-10-16,8.328,8.561,8.328,8.554,000,8.554
2015-10-15,8.079,8.425,8.079,8.425,000,8.425
2015-10-14,8.375,8.461,8.181,8.181,000,8.181
2015-10-13,8.411,8.482,8.411,8.469,000,8.469
2015-10-12,8.297,8.54,8.297,8.54,000,8.54
2015-10-09,8.424,8.542,8.30,8.30,000,8.30
2015-10-08,8.214,8.52,8.131,8.52,000,8.52
2015-10-07,8.109,8.282,8.109,8.282,000,8.282
2015-10-06,8.03,8.21,8.03,8.21,000,8.21
2015-10-05,8.032,8.164,8.032,8.14,000,8.14
2015-10-02,8.128,8.14,8.041,8.102,000,8.102
2015-10-01,8.128,8.20,8.111,8.178,000,8.178
2015-09-30,7.92,8.148,7.92,8.042,000,8.042
2015-09-29,7.931,8.121,7.931,8.121,000,8.121
2015-09-28,8.059,8.14,8.04,8.04,000,8.04
2015-09-25,8.02,8.224,8.02,8.143,000,8.143
2015-09-24,8.164,8.22,8.102,8.102,000,8.102
2015-09-23,8.178,8.261,8.163,8.164,000,8.164
2015-09-22,8.359,8.359,8.173,8.178,000,8.178
2015-09-21,8.237,8.448,8.237,8.359,000,8.359
2015-09-18,8.178,8.387,8.178,8.31,000,8.31
2015-09-17,8.217,8.459,8.217,8.353,000,8.353
2015-09-16,8.059,8.293,8.059,8.293,000,8.293
2015-09-15,8.059,8.18,8.059,8.16,000,8.16
2015-09-14,8.059,8.16,8.059,8.123,000,8.123
2015-09-11,8.119,8.132,8.075,8.075,000,8.075
2015-09-10,8.099,8.183,8.099,8.163,000,8.163
2015-09-09,8.099,8.415,8.099,8.166,200,8.166
2015-09-08,8.03,8.296,8.03,8.15,000,8.15
2015-09-07,7.937,8.144,7.937,8.084,000,8.084
2015-09-04,7.99,8.091,7.956,7.956,000,7.956
2015-09-03,7.912,8.085,7.912,8.085,000,8.085
2015-09-02,7.931,8.002,7.931,7.951,000,7.951
2015-09-01,8.059,8.109,7.993,7.995,000,7.995
2015-08-31,7.931,8.108,7.931,8.022,000,8.022
2015-08-28,7.932,8.013,7.932,7.994,000,7.994
2015-08-27,7.961,8.185,7.961,8.069,000,8.069
2015-08-26,8.083,8.279,8.046,8.046,000,8.046
2015-08-25,8.227,8.308,8.208,8.208,000,8.208
2015-08-24,8.556,8.556,8.213,8.213,000,8.213
2015-08-21,8.572,8.617,8.572,8.617,000,8.617
2015-08-20,8.562,8.681,8.562,8.681,000,8.681
2015-08-19,8.595,8.636,8.595,8.634,000,8.634
2015-08-18,8.601,8.785,8.601,8.693,000,8.693
2015-08-17,8.653,8.796,8.653,8.683,000,8.683
2015-08-14,8.572,8.80,8.572,8.80,000,8.80
2015-08-13,8.693,8.781,8.673,8.673,000,8.673
2015-08-12,8.867,8.885,8.716,8.716,000,8.716
2015-08-11,8.936,8.942,8.936,8.942,000,8.942
2015-08-10,8.88,9.051,8.88,9.051,000,9.051
2015-08-07,8.956,9.076,8.956,9.007,000,9.007
2015-08-06,9.035,9.062,9.035,9.062,000,9.062
2015-08-05,8.976,9.13,8.976,9.13,000,9.13
2015-08-04,9.054,9.068,9.054,9.068,000,9.068
2015-08-03,9.096,9.202,9.096,9.168,000,9.168
2015-07-31,9.163,9.163,9.089,9.089,000,9.089
2015-07-30,9.104,9.28,9.104,9.28,000,9.28
2015-07-29,8.961,9.194,8.961,9.194,000,9.194
2015-07-28,9.045,9.117,9.039,9.039,000,9.039
2015-07-27,9.182,9.293,9.144,9.144,000,9.144
2015-07-24,9.281,9.312,9.265,9.265,000,9.265
2015-07-23,9.271,9.357,9.271,9.357,000,9.357
2015-07-22,9.261,9.355,9.261,9.355,000,9.355
2015-07-21,9.276,9.398,9.276,9.398,000,9.398
2015-07-20,9.261,9.46,9.261,9.418,000,9.418
2015-07-17,9.26,9.376,9.26,9.376,000,9.376
2015-07-16,9.36,9.503,9.35,9.35,000,9.35
2015-07-15,9.387,9.523,9.387,9.439,000,9.439
2015-07-14,9.291,9.517,9.291,9.517,000,9.517
2015-07-13,9.242,9.405,9.242,9.405,000,9.405
2015-07-10,9.217,9.384,9.217,9.376,000,9.376
2015-07-09,9.163,9.361,9.163,9.295,000,9.295
2015-07-08,9.409,9.409,9.303,9.303,000,9.303
2015-07-07,9.232,9.232,9.15,9.15,000,9.15
2015-07-06,9.409,9.409,9.294,9.294,000,9.294
2015-07-03,9.35,9.468,9.35,9.467,000,9.467
2015-07-02,9.247,9.446,9.247,9.446,000,9.446
2015-07-01,9.232,9.348,9.232,9.348,000,9.348
2015-06-30,9.125,9.238,9.125,9.168,000,9.168
2015-06-29,9.399,9.399,9.163,9.163,000,9.163
2015-06-26,9.399,9.505,9.399,9.505,000,9.505
2015-06-25,9.389,9.507,9.389,9.507,000,9.507
2015-06-24,9.429,9.509,9.429,9.509,000,9.509
2015-06-23,9.409,9.551,9.409,9.551,000,9.551
2015-06-22,9.287,9.489,9.287,9.489,000,9.489
2015-06-19,9.311,9.397,9.311,9.353,000,9.353
2015-06-18,9.242,9.393,9.242,9.393,000,9.393
2015-06-17,9.192,9.341,9.192,9.341,000,9.341
2015-06-16,9.064,9.309,9.064,9.309,000,9.309
2015-06-15,9.094,9.166,9.094,9.166,000,9.166
2015-06-12,9.435,9.435,9.243,9.243,000,9.243
2015-06-11,9.439,9.609,9.439,9.609,000,9.609
2015-06-10,9.368,9.571,9.368,9.486,000,9.486
2015-06-09,9.341,9.483,9.341,9.483,000,9.483
2015-06-08,9.39,9.44,9.39,9.429,000,9.429
2015-06-05,9.478,9.537,9.478,9.537,000,9.537
2015-06-04,9.586,9.618,9.586,9.618,000,9.618
2015-06-03,9.508,9.701,9.508,9.701,000,9.701
2015-06-02,9.557,9.65,9.557,9.65,000,9.65
2015-06-01,9.596,9.728,9.596,9.728,000,9.728
2015-05-29,9.616,9.78,9.616,9.675,000,9.675
2015-05-28,9.575,9.666,9.575,9.666,000,9.666
2015-05-27,9.348,9.465,9.348,9.465,000,9.465
2015-05-26,9.569,9.569,9.153,9.153,100,9.153
2015-05-25,9.748,9.748,9.748,9.748,000,9.748
2015-05-22,9.641,9.748,9.641,9.748,000,9.748
2015-05-21,9.488,9.647,9.488,9.647,000,9.647
2015-05-20,9.537,9.566,9.537,9.566,000,9.566
2015-05-19,9.508,9.638,9.508,9.638,000,9.638
2015-05-18,9.428,9.608,9.428,9.608,000,9.608
2015-05-15,9.497,9.516,9.497,9.516,000,9.516
2015-05-14,9.467,9.56,9.467,9.56,000,9.56
2015-05-13,9.615,9.615,9.467,9.467,000,9.467
2015-05-12,9.714,9.715,9.714,9.715,000,9.715
2015-05-11,9.748,9.902,9.748,9.902,000,9.902
2015-05-08,9.63,9.831,9.63,9.831,000,9.831
2015-05-07,9.877,9.877,9.733,9.733,000,9.733
2015-05-06,9.891,9.92,9.891,9.92,000,9.92
2015-05-05,10.05,10.137,9.964,9.964,100,9.964
2015-05-04,9.895,10.015,9.895,10.015,000,10.015
2015-05-01,10.005,10.005,10.005,10.005,000,10.005
2015-04-30,10.014,10.014,10.005,10.005,000,10.005
2015-04-29,9.886,10.082,9.886,10.082,000,10.082
2015-04-28,9.886,10.053,9.886,9.973,000,9.973
2015-04-27,9.836,9.971,9.836,9.971,000,9.971
2015-04-24,9.984,10.097,9.984,10.097,000,10.097
