Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-31,0.234,0.234,0.234,0.234,000,0.234
2015-12-30,0.234,0.234,0.234,0.234,000,0.234
2015-12-29,0.235,0.235,0.235,0.235,000,0.235
2015-12-28,0.23,0.23,0.23,0.23,000,0.23
2015-12-25,0.239,0.239,0.239,0.239,000,0.239
2015-12-24,0.239,0.239,0.239,0.239,000,0.239
2015-12-23,0.239,0.239,0.239,0.239,000,0.239
2015-12-22,0.247,0.247,0.247,0.247,000,0.247
2015-12-21,0.247,0.247,0.247,0.247,000,0.247
2015-12-18,0.249,0.249,0.249,0.249,000,0.249
2015-12-17,0.25,0.25,0.25,0.25,000,0.25
2015-12-16,0.254,0.254,0.254,0.254,000,0.254
2015-12-15,0.234,0.234,0.234,0.234,000,0.234
2015-12-14,0.23,0.23,0.23,0.23,000,0.23
2015-12-11,0.237,0.237,0.237,0.237,000,0.237
2015-12-10,0.237,0.237,0.237,0.237,000,0.237
2015-12-09,0.237,0.237,0.237,0.237,000,0.237
2015-12-08,0.25,0.25,0.25,0.25,000,0.25
2015-12-07,0.25,0.25,0.25,0.25,000,0.25
2015-12-04,0.269,0.269,0.269,0.269,000,0.269
2015-12-03,0.269,0.269,0.269,0.269,000,0.269
2015-12-02,0.235,0.235,0.235,0.235,000,0.235
2015-12-01,0.24,0.24,0.24,0.24,000,0.24
2015-11-30,0.244,0.244,0.244,0.244,000,0.244
2015-11-27,0.245,0.245,0.245,0.245,000,0.245
2015-11-26,0.241,0.241,0.241,0.241,000,0.241
2015-11-25,0.244,0.244,0.244,0.244,000,0.244
2015-11-24,0.241,0.241,0.241,0.241,000,0.241
2015-11-23,0.249,0.249,0.249,0.249,000,0.249
2015-11-20,0.241,0.241,0.241,0.241,000,0.241
2015-11-19,0.241,0.241,0.241,0.241,000,0.241
2015-11-18,0.243,0.243,0.243,0.243,000,0.243
2015-11-17,0.243,0.243,0.243,0.243,000,0.243
2015-11-16,0.242,0.242,0.242,0.242,000,0.242
2015-11-13,0.243,0.243,0.243,0.243,000,0.243
2015-11-12,0.247,0.247,0.247,0.247,000,0.247
2015-11-11,0.241,0.241,0.241,0.241,000,0.241
2015-11-10,0.242,0.242,0.242,0.242,000,0.242
2015-11-09,0.24,0.24,0.24,0.24,000,0.24
2015-11-06,0.234,0.234,0.234,0.234,000,0.234
2015-11-05,0.238,0.238,0.238,0.238,000,0.238
2015-11-04,0.238,0.238,0.238,0.238,000,0.238
