Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.856,4.856,4.735,4.791,000,4.791
2016-03-31,4.93,4.976,4.849,4.976,000,4.976
2016-03-30,4.799,4.93,4.798,4.922,2200,4.922
2016-03-29,4.696,4.79,4.643,4.74,3000,4.74
2016-03-28,4.619,4.619,4.619,4.619,000,4.619
2016-03-25,4.619,4.619,4.619,4.619,000,4.619
2016-03-24,4.624,4.63,4.615,4.619,000,4.619
2016-03-23,4.703,4.704,4.584,4.624,000,4.624
2016-03-22,4.64,4.718,4.632,4.655,000,4.655
2016-03-21,4.637,4.741,4.637,4.66,000,4.66
2016-03-18,4.643,4.728,4.576,4.676,000,4.676
2016-03-17,4.716,4.716,4.648,4.648,000,4.648
2016-03-16,4.612,4.69,4.495,4.64,000,4.64
2016-03-15,4.757,4.761,4.48,4.607,000,4.607
2016-03-14,4.782,4.82,4.632,4.771,000,4.771
2016-03-11,4.748,4.803,4.72,4.776,000,4.776
2016-03-10,4.668,4.746,4.496,4.739,000,4.739
2016-03-09,4.962,4.971,4.649,4.649,000,4.649
2016-03-08,5.193,5.193,4.992,5.095,600,5.095
2016-03-07,5.024,5.222,5.007,5.16,000,5.16
2016-03-04,5.152,5.274,5.01,5.01,000,5.01
2016-03-03,5.138,5.287,5.023,5.188,000,5.188
2016-03-02,5.008,5.054,4.992,5.054,000,5.054
2016-03-01,4.926,5.048,4.926,4.986,300,4.986
2016-02-29,4.881,5.00,4.819,4.941,2500,4.941
2016-02-26,4.763,4.815,4.695,4.74,2500,4.74
2016-02-25,4.93,4.93,4.617,4.673,2800,4.673
2016-02-24,4.508,4.801,4.445,4.794,000,4.794
2016-02-23,4.044,4.548,3.985,4.548,200,4.548
2016-02-22,3.97,4.12,3.97,4.117,000,4.117
2016-02-19,4.05,4.055,3.918,3.94,000,3.94
2016-02-18,3.932,3.963,3.932,3.941,000,3.941
2016-02-17,3.764,3.987,3.764,3.928,000,3.928
2016-02-16,3.839,3.839,3.689,3.786,000,3.786
2016-02-15,3.783,3.82,3.783,3.816,000,3.816
2016-02-12,3.65,3.745,3.632,3.745,000,3.745
2016-02-11,3.665,3.738,3.577,3.645,000,3.645
2016-02-10,3.795,3.864,3.782,3.784,000,3.784
2016-02-09,3.826,3.83,3.626,3.629,000,3.629
2016-02-08,4.164,4.164,3.773,3.829,000,3.829
2016-02-05,4.163,4.236,4.137,4.236,000,4.236
2016-02-04,4.135,4.278,4.068,4.192,000,4.192
2016-02-03,3.939,4.077,3.903,4.077,000,4.077
2016-02-02,4.155,4.155,3.945,3.959,000,3.959
2016-02-01,4.119,4.119,4.119,4.119,000,4.119
2016-01-29,4.119,4.152,3.962,4.119,000,4.119
2016-01-28,4.068,4.074,3.989,4.028,000,4.028
2016-01-27,4.022,4.118,4.003,4.056,000,4.056
2016-01-26,3.811,3.86,3.80,3.86,000,3.86
2016-01-25,4.00,4.00,3.884,3.925,000,3.925
2016-01-22,3.689,3.979,3.645,3.979,000,3.979
2016-01-21,3.571,3.723,3.566,3.669,000,3.669
2016-01-20,3.708,3.747,3.501,3.542,900,3.542
2016-01-19,3.894,3.914,3.833,3.914,000,3.914
2016-01-18,3.778,3.854,3.772,3.85,000,3.85
2016-01-15,3.952,3.966,3.758,3.85,000,3.85
2016-01-14,3.812,3.946,3.699,3.946,2600,3.946
2016-01-13,4.028,4.038,3.872,3.872,000,3.872
2016-01-12,4.092,4.22,4.05,4.05,000,4.05
2016-01-11,4.214,4.258,4.214,4.222,000,4.222
2016-01-08,4.317,4.366,4.235,4.279,000,4.279
2016-01-07,4.209,4.368,4.16,4.286,000,4.286
2016-01-06,4.332,4.339,4.261,4.261,000,4.261
2016-01-05,4.258,4.267,4.232,4.232,000,4.232
2016-01-04,4.205,4.272,4.144,4.244,000,4.244
2016-01-01,4.373,4.373,4.373,4.373,000,4.373
