Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,11.745,11.745,11.745,11.745,000,11.662
2016-03-31,11.595,11.595,11.595,11.595,000,11.513
2016-03-30,11.52,11.52,11.52,11.52,000,11.439
2016-03-29,11.395,11.395,11.395,11.395,000,11.315
2016-03-28,11.285,11.285,11.285,11.285,000,11.205
2016-03-25,11.285,11.285,11.285,11.285,000,11.205
2016-03-24,11.285,11.285,11.285,11.285,000,11.205
2016-03-23,11.58,11.58,11.58,11.58,000,11.498
2016-03-22,11.50,11.50,11.50,11.50,000,11.419
2016-03-21,11.465,11.465,11.465,11.465,000,11.384
2016-03-18,11.395,11.395,11.395,11.395,000,11.315
2016-03-17,11.315,11.315,11.315,11.315,000,11.235
2016-03-16,11.505,11.505,11.505,11.505,000,11.424
2016-03-15,11.675,11.675,11.675,11.675,000,11.593
2016-03-14,11.645,11.645,11.645,11.645,000,11.563
2016-03-11,11.585,11.585,11.585,11.585,000,11.503
2016-03-10,11.845,11.845,11.845,11.845,000,11.762
2016-03-09,11.99,11.99,11.99,11.99,000,11.905
2016-03-08,11.97,11.97,11.97,11.97,000,11.886
2016-03-07,11.885,11.885,11.885,11.885,000,11.801
2016-03-04,12.04,12.04,12.04,12.04,000,11.955
2016-03-03,11.915,11.915,11.915,11.915,000,11.831
2016-03-02,11.795,11.795,11.795,11.795,000,11.712
2016-03-01,11.785,11.785,11.785,11.785,000,11.702
2016-02-29,11.605,11.605,11.605,11.605,000,11.523
2016-02-26,11.42,11.465,11.42,11.465,000,11.384
2016-02-25,9.958,9.958,9.958,9.958,000,9.888
2016-02-24,9.806,9.806,9.806,9.806,000,9.737
2016-02-23,9.68,9.68,9.68,9.68,000,9.612
2016-02-22,9.52,9.52,9.52,9.52,000,9.453
2016-02-19,9.743,9.743,9.743,9.743,000,9.674
2016-02-18,9.643,9.643,9.643,9.643,000,9.575
2016-02-17,9.23,9.23,9.23,9.23,000,9.165
2016-02-16,8.943,8.943,8.943,8.943,000,8.88
2016-02-15,8.887,8.887,8.887,8.887,000,8.824
2016-02-12,8.868,8.868,8.868,8.868,000,8.805
2016-02-11,8.947,8.947,8.947,8.947,000,8.884
2016-02-10,9.067,9.067,9.067,9.067,000,9.003
2016-02-09,9.024,9.024,9.024,9.024,000,8.96
2016-02-08,8.936,8.936,8.936,8.936,000,8.873
2016-02-05,9.208,9.208,9.208,9.208,000,9.143
2016-02-04,9.467,9.467,9.467,9.467,000,9.40
2016-02-03,9.638,9.638,9.638,9.638,000,9.57
2016-02-02,9.684,9.684,9.684,9.684,000,9.616
2016-02-01,9.63,9.63,9.63,9.63,000,9.562
2016-01-29,9.32,9.32,9.32,9.32,000,9.254
2016-01-28,9.119,9.119,9.119,9.119,000,9.055
2016-01-27,9.119,9.119,9.119,9.119,000,9.055
2016-01-26,9.119,9.119,9.119,9.119,000,9.055
2016-01-25,9.295,9.295,9.295,9.295,000,9.229
2016-01-22,9.295,9.295,9.295,9.295,000,9.229
2016-01-21,9.295,9.295,9.295,9.295,000,9.229
2016-01-20,9.295,9.295,9.295,9.295,000,9.229
2016-01-19,9.52,9.52,9.52,9.52,000,9.453
2016-01-18,9.52,9.52,9.52,9.52,000,9.453
