Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-26,31.14,31.14,31.14,31.14,000,31.14
2016-01-25,34.85,34.85,34.85,34.85,000,34.85
2016-01-22,34.93,34.93,34.93,34.93,000,34.93
2016-01-21,31.51,31.51,31.51,31.51,000,31.51
2016-01-20,32.30,32.30,32.30,32.30,000,32.30
2016-01-19,36.55,36.55,36.55,36.55,000,36.55
2016-01-18,36.13,36.13,36.13,36.13,000,36.13
2016-01-15,36.98,36.98,36.98,36.98,000,36.98
2016-01-14,35.92,35.92,35.92,35.92,000,35.92
2016-01-13,37.10,37.10,37.10,37.10,000,37.10
2016-01-12,37.45,37.45,37.45,37.45,000,37.45
2016-01-11,38.90,38.90,38.90,38.90,000,38.90
2016-01-08,41.15,41.15,41.15,41.15,000,41.15
2016-01-07,40.75,40.75,40.75,40.75,000,40.75
2016-01-06,43.99,43.99,43.99,43.99,000,43.99
2016-01-05,43.31,43.31,43.31,43.31,000,43.31
2016-01-04,42.82,42.82,42.82,42.82,000,42.82
2016-01-01,42.97,42.97,42.97,42.97,000,42.97
2015-12-31,42.97,42.97,42.97,42.97,000,42.97
2015-12-30,43.41,43.41,42.97,42.97,000,42.97
2015-12-29,43.02,43.02,43.02,43.02,000,43.02
2015-12-28,44.32,44.32,44.32,44.32,000,44.32
2015-12-25,42.26,42.26,42.26,42.26,000,42.26
2015-12-24,42.26,42.26,42.26,42.26,000,42.26
2015-12-23,42.26,42.26,42.26,42.26,000,42.26
2015-12-22,41.41,41.41,41.41,41.41,000,41.41
2015-12-21,42.21,42.21,42.21,42.21,000,42.21
2015-12-18,43.17,43.17,43.17,43.17,000,43.17
2015-12-17,45.19,45.19,45.19,45.19,000,45.19
2015-12-16,45.99,45.99,45.99,45.99,000,45.99
2015-12-15,44.77,44.77,44.77,44.77,000,44.77
2015-12-14,43.80,43.80,43.80,43.80,000,43.80
2015-12-11,44.91,44.91,44.91,44.91,000,44.91
2015-12-10,44.01,44.01,44.01,44.01,000,44.01
2015-12-09,44.39,44.39,44.39,44.39,000,44.39
2015-12-08,44.88,44.88,44.88,44.88,000,44.88
2015-12-07,46.60,46.60,46.60,46.60,000,46.60
2015-12-04,47.34,47.34,47.34,47.34,000,47.34
2015-12-03,49.79,49.79,49.79,49.79,000,49.79
2015-12-02,51.32,51.32,51.32,51.32,000,51.32
2015-12-01,51.20,51.20,51.20,51.20,000,51.20
2015-11-30,50.41,50.41,50.41,50.41,000,50.41
2015-11-27,51.03,51.03,51.03,51.03,000,51.03
2015-11-26,51.08,51.08,51.08,51.08,000,51.08
2015-11-25,51.76,51.76,51.76,51.76,000,51.76
2015-11-24,50.13,50.13,50.13,50.13,000,50.13
2015-11-23,49.57,49.57,49.57,49.57,000,49.57
2015-11-20,49.91,49.91,49.91,49.91,000,49.91
2015-11-19,50.95,50.95,50.95,50.95,000,50.95
2015-11-18,50.77,50.77,50.77,50.77,000,50.77
2015-11-17,50.63,50.63,50.63,50.63,000,50.63
2015-11-16,48.23,48.23,48.23,48.23,000,48.23
2015-11-13,48.08,48.08,48.08,48.08,000,48.08
2015-11-12,49.64,49.64,49.64,49.64,000,49.64
2015-11-11,50.70,50.70,50.70,50.70,000,50.70
2015-11-10,50.74,50.74,50.74,50.74,000,50.74
2015-11-09,51.67,51.67,51.67,51.67,000,51.67
2015-11-06,51.15,51.15,51.15,51.15,000,51.15
2015-11-05,51.77,51.77,51.77,51.77,000,51.77
2015-11-04,51.76,51.76,51.76,51.76,000,51.76
2015-11-03,49.63,49.63,49.63,49.63,000,49.63
2015-11-02,48.24,48.24,48.24,48.24,000,48.24
2015-10-30,48.71,48.71,48.71,48.71,000,48.71
2015-10-29,48.69,48.69,48.69,48.69,000,48.69
2015-10-28,46.69,46.69,46.69,46.69,000,46.69
2015-10-27,47.68,47.68,47.68,47.68,000,47.68
2015-10-26,49.28,49.28,49.28,49.28,000,49.28
2015-10-23,49.01,49.01,49.01,49.01,000,49.01
2015-10-22,46.86,46.86,46.86,46.86,000,46.86
2015-10-21,47.03,47.03,47.03,47.03,000,47.03
2015-10-20,47.22,47.22,47.22,47.22,000,47.22
2015-10-19,48.16,48.16,48.16,48.16,000,48.16
2015-10-16,48.38,48.38,48.38,48.38,000,48.38
2015-10-15,47.35,47.35,47.35,47.35,000,47.35
2015-10-14,48.21,48.21,48.21,48.21,000,47.47
2015-10-13,48.40,48.40,48.40,48.40,000,47.657
2015-10-12,49.42,49.42,49.42,49.42,000,48.661
2015-10-09,50.01,50.01,50.01,50.01,000,49.242
2015-10-08,48.90,48.90,48.90,48.90,000,48.149
2015-10-07,48.92,48.92,48.92,48.92,000,48.169
2015-10-06,47.22,47.22,47.22,47.22,000,46.495
2015-10-05,45.62,45.62,45.62,45.62,000,44.92
2015-10-02,43.24,43.24,43.24,43.24,000,42.576
2015-10-01,42.99,42.99,42.99,42.99,000,42.33
2015-09-30,41.04,41.04,41.04,41.04,000,40.41
2015-09-29,40.70,40.70,40.70,40.70,000,40.075
2015-09-28,41.98,41.98,41.98,41.98,000,41.336
2015-09-25,42.71,42.71,42.71,42.71,000,42.054
2015-09-24,42.86,42.86,42.86,42.86,000,42.202
2015-09-23,43.61,43.61,43.61,43.61,000,42.941
2015-09-22,43.38,43.38,43.38,43.38,000,42.714
2015-09-21,42.89,42.89,42.89,42.89,000,42.232
2015-09-18,43.70,43.70,43.70,43.70,000,43.029
2015-09-17,43.66,43.66,43.66,43.66,000,42.99
2015-09-16,41.88,41.88,41.88,41.88,000,41.237
2015-09-15,41.22,41.22,41.22,41.22,000,40.587
2015-09-14,41.70,41.70,41.70,41.70,000,41.06
2015-09-11,42.70,42.70,42.70,42.70,000,42.045
2015-09-10,42.34,42.34,42.34,42.34,000,41.69
2015-09-09,43.38,43.38,43.38,43.38,000,42.714
2015-09-08,42.18,42.18,42.18,42.18,000,41.533
2015-09-07,42.38,42.38,42.38,42.38,000,41.729
2015-09-04,43.05,43.05,43.05,43.05,000,42.389
2015-09-03,42.80,42.80,42.80,42.80,000,42.143
2015-09-02,41.83,41.83,41.83,41.83,000,41.188
2015-09-01,43.19,43.19,43.19,43.19,000,42.527
2015-08-31,41.025,41.025,41.025,41.025,000,40.395
2015-08-28,40.88,40.88,40.88,40.88,000,40.253
2015-08-27,38.155,38.155,38.155,38.155,000,37.569
2015-08-26,37.14,37.14,37.14,37.14,000,36.57
2015-08-25,37.59,38.125,37.59,38.125,000,37.54
2015-08-24,38.30,38.30,38.30,38.30,000,37.712
2015-08-21,41.53,41.53,41.53,41.53,000,40.893
2015-08-20,42.65,42.65,42.65,42.65,000,41.995
2015-08-19,44.60,44.60,44.60,44.60,000,43.915
2015-08-18,44.66,44.66,44.66,44.66,000,43.974
2015-08-17,44.71,44.71,44.71,44.71,000,44.024
2015-08-14,44.835,44.835,44.835,44.835,000,44.147
2015-08-13,46.33,46.33,46.33,46.33,000,45.619
2015-08-12,45.165,45.165,45.165,45.165,000,44.472
2015-08-11,45.52,45.52,45.52,45.52,000,44.821
2015-08-10,44.36,44.36,44.36,44.36,000,43.679
2015-08-07,45.945,45.945,45.945,45.945,000,45.24
2015-08-06,44.75,44.75,44.75,44.75,000,44.063
2015-08-05,45.96,45.96,45.96,45.96,000,45.255
2015-08-04,45.33,45.33,45.33,45.33,000,44.634
2015-08-03,45.65,45.65,45.65,45.65,000,44.949
2015-07-31,47.365,47.365,47.365,47.365,000,46.638
2015-07-30,48.215,48.215,48.215,48.215,000,47.475
2015-07-29,47.29,47.29,47.29,47.29,000,46.564
2015-07-28,45.81,45.81,45.81,45.81,000,45.107
2015-07-27,47.10,47.10,47.10,47.10,000,46.377
2015-07-24,49.15,49.15,49.15,49.15,000,48.396
2015-07-23,50.58,50.58,50.58,50.58,000,49.804
2015-07-22,51.18,51.18,51.18,51.18,000,49.666
2015-07-21,52.22,52.22,52.22,52.22,000,50.675
2015-07-20,52.73,52.73,52.73,52.73,000,51.17
2015-07-17,53.11,53.11,53.11,53.11,000,51.539
2015-07-16,53.61,53.61,53.61,53.61,000,52.024
2015-07-15,54.11,54.11,54.11,54.11,000,52.509
2015-07-14,53.07,53.07,53.07,53.07,000,51.50
2015-07-13,52.50,52.50,52.50,52.50,000,50.947
2015-07-10,53.37,53.37,53.37,53.37,000,51.791
2015-07-09,52.85,52.85,52.85,52.85,000,51.286
2015-07-08,53.59,53.59,53.59,53.59,000,52.004
2015-07-07,53.75,53.75,53.75,53.75,000,52.16
2015-07-06,54.00,54.00,54.00,54.00,000,52.402
2015-07-03,54.50,54.50,54.50,54.50,000,52.888
2015-07-02,54.29,54.29,54.29,54.29,000,52.684
2015-07-01,55.05,55.05,55.05,55.05,000,53.421
2015-06-30,54.63,54.63,54.63,54.63,000,53.014
2015-06-29,55.52,55.52,55.52,55.52,000,53.877
2015-06-26,55.56,55.56,55.56,55.56,000,53.916
2015-06-25,56.09,56.09,56.09,56.09,000,54.431
2015-06-24,56.32,56.32,56.32,56.32,000,54.654
2015-06-23,55.67,55.67,55.67,55.67,000,54.023
2015-06-22,54.85,54.85,54.85,54.85,000,53.227
2015-06-19,55.48,55.48,55.48,55.48,000,53.839
2015-06-18,55.36,55.36,55.36,55.36,000,53.722
2015-06-17,56.41,56.41,56.41,56.41,000,54.741
2015-06-16,55.99,55.99,55.99,55.99,000,54.333
2015-06-15,56.42,56.42,56.42,56.42,000,54.751
2015-06-12,56.59,56.59,56.59,56.59,000,54.916
2015-06-11,56.50,56.50,56.50,56.50,000,54.828
2015-06-10,56.09,56.09,56.09,56.09,000,54.431
2015-06-09,55.98,55.98,55.98,55.98,000,54.324
2015-06-08,56.59,56.59,56.59,56.59,000,54.916
2015-06-05,55.96,55.96,55.96,55.96,000,54.304
2015-06-04,56.49,56.49,56.49,56.49,000,54.819
2015-06-03,57.38,57.38,56.69,56.69,100,55.013
2015-06-02,58.09,58.09,58.09,58.09,000,56.371
2015-06-01,58.01,58.01,58.01,58.01,000,56.294
2015-05-29,58.31,58.31,58.31,58.31,000,56.585
2015-05-28,58.43,58.43,58.43,58.43,000,56.701
2015-05-27,58.81,58.81,58.81,58.81,000,57.07
2015-05-26,59.45,59.45,59.45,59.45,000,57.691
2015-05-25,59.00,59.00,59.00,59.00,000,57.254
2015-05-22,58.71,58.71,58.71,58.71,000,56.973
2015-05-21,58.35,58.35,58.35,58.35,000,56.624
2015-05-20,58.32,58.32,58.32,58.32,000,56.595
2015-05-19,58.36,58.36,58.36,58.36,000,55.925
2015-05-18,57.33,57.33,57.33,57.33,000,54.938
2015-05-15,57.44,57.44,57.44,57.44,000,55.043
2015-05-14,57.50,57.50,57.50,57.50,000,55.101
2015-05-13,58.30,58.30,58.30,58.30,000,55.867
2015-05-12,58.37,58.37,58.37,58.37,000,55.935
2015-05-11,60.11,60.11,60.11,60.11,000,57.602
2015-05-08,59.41,59.41,59.41,59.41,000,56.931
2015-05-07,59.16,59.16,59.16,59.16,000,56.692
2015-05-06,60.09,60.09,60.09,60.09,000,57.583
2015-05-05,60.08,60.08,60.08,60.08,000,57.573
2015-05-04,60.27,60.27,60.27,60.27,000,57.755
2015-05-01,61.34,61.34,61.34,61.34,000,58.781
2015-04-30,61.34,61.34,61.34,61.34,000,58.781
2015-04-29,61.51,61.51,61.51,61.51,000,58.944
2015-04-28,61.50,61.50,61.50,61.50,000,58.934
2015-04-27,62.03,62.03,62.03,62.03,000,59.442
2015-04-24,63.14,63.14,63.14,63.14,000,60.505
2015-04-23,63.28,63.28,63.28,63.28,000,60.64
2015-04-22,63.17,63.17,63.17,63.17,000,60.534
2015-04-21,64.34,64.34,64.34,64.34,000,61.655
2015-04-20,62.93,62.93,62.93,62.93,000,60.304
2015-04-17,64.01,64.01,64.01,64.01,000,61.339
2015-04-16,64.98,64.98,64.98,64.98,000,62.269
2015-04-15,64.12,64.12,64.12,64.12,000,61.445
2015-04-14,62.98,62.98,62.98,62.98,000,60.352
2015-04-13,62.63,62.63,62.63,62.63,000,60.017
2015-04-10,62.69,62.69,62.69,62.69,000,60.074
2015-04-09,60.03,60.03,60.03,60.03,000,57.525
2015-04-08,60.50,60.50,60.50,60.50,000,57.976
2015-04-07,59.79,59.79,59.79,59.79,000,57.295
2015-04-06,58.19,58.19,58.19,58.19,000,55.762
2015-04-03,58.19,58.19,58.19,58.19,000,55.762
2015-04-02,58.19,58.19,58.19,58.19,000,55.762
2015-04-01,57.52,57.52,57.52,57.52,000,55.12
2015-03-31,59.02,59.02,59.02,59.02,000,56.557
2015-03-30,57.78,57.78,57.78,57.78,000,55.369
2015-03-27,58.00,58.00,58.00,58.00,000,55.58
2015-03-26,57.56,57.56,57.56,57.56,000,55.158
2015-03-25,57.14,57.14,57.14,57.14,000,54.756
2015-03-24,57.87,57.87,57.87,57.87,000,55.455
2015-03-23,59.13,59.13,59.13,59.13,000,56.663
2015-03-20,58.90,58.90,58.90,58.90,000,56.442
2015-03-19,58.62,58.62,58.62,58.62,000,56.174
2015-03-18,58.52,58.52,58.52,58.52,000,56.078
2015-03-17,58.82,58.82,58.82,58.82,000,56.366
2015-03-16,58.63,58.63,58.63,58.63,000,56.184
2015-03-13,57.99,57.99,57.99,57.99,000,55.57
2015-03-12,58.09,58.09,58.09,58.09,000,55.666
2015-03-11,57.02,57.02,57.02,57.02,000,54.641
2015-03-10,57.41,57.41,57.41,57.41,000,55.015
2015-03-09,57.68,57.68,57.68,57.68,000,55.273
2015-03-06,57.39,57.39,57.39,57.39,000,54.995
2015-03-05,58.18,58.18,58.18,58.18,000,55.752
2015-03-04,57.89,57.89,57.89,57.89,000,55.475
2015-03-03,57.31,57.31,57.31,57.31,000,54.919
2015-03-02,58.33,58.33,58.33,58.33,000,55.896
2015-02-27,58.58,58.58,58.58,58.58,000,56.136
2015-02-26,59.38,59.38,59.38,59.38,000,56.902
2015-02-25,58.97,58.97,58.97,58.97,000,56.509
2015-02-24,58.99,58.99,58.99,58.99,000,56.529
2015-02-23,59.17,59.17,59.17,59.17,000,56.701
2015-02-20,59.27,59.27,59.27,59.27,000,56.797
2015-02-19,59.29,59.29,59.29,59.29,000,56.816
2015-02-18,60.59,60.59,60.59,60.59,000,58.062
2015-02-17,61.46,61.89,61.46,61.89,100,59.308
2015-02-16,61.04,61.04,61.04,61.04,000,58.493
2015-02-13,59.47,61.11,59.47,61.11,300,58.56
2015-02-12,59.31,59.31,59.31,59.31,000,56.835
2015-02-11,59.96,59.96,59.96,59.96,000,56.759
2015-02-10,59.85,60.00,59.85,60.00,000,56.797
2015-02-09,59.30,59.30,59.30,59.30,000,56.134
2015-02-06,58.84,58.84,58.84,58.84,000,55.698
2015-02-05,57.40,57.40,57.40,57.40,000,54.335
2015-02-04,58.91,58.91,58.91,58.91,000,55.765
2015-02-03,57.81,57.81,57.81,57.81,000,54.723
2015-02-02,55.90,55.90,55.90,55.90,000,52.915
2015-01-30,55.27,55.27,55.27,55.27,000,52.319
2015-01-29,55.61,55.61,55.61,55.61,000,52.641
2015-01-28,57.92,57.92,57.92,57.92,000,54.828
2015-01-27,58.42,58.42,58.42,58.42,000,55.301
2015-01-26,57.60,57.60,57.60,57.60,200,54.525
2015-01-23,57.50,57.50,57.50,57.50,000,54.43
2015-01-22,55.69,55.69,55.69,55.69,000,52.717
2015-01-21,54.50,54.75,54.50,54.75,000,51.827
2015-01-20,54.54,54.54,54.54,54.54,000,51.628
2015-01-19,54.29,54.29,54.29,54.29,000,51.391
2015-01-16,52.47,52.47,52.47,52.47,000,49.669
2015-01-15,53.48,53.48,53.48,53.48,000,50.625
2015-01-14,52.54,52.54,52.54,52.54,000,49.735
2015-01-13,53.28,53.28,53.28,53.28,000,50.435
2015-01-12,54.70,54.70,54.70,54.70,000,51.779
2015-01-09,54.99,54.99,54.99,54.99,000,52.054
2015-01-08,53.82,53.82,53.82,53.82,000,50.946
2015-01-07,53.01,53.01,53.01,53.01,000,50.18
2015-01-06,54.93,54.93,54.93,54.93,000,51.997
2015-01-05,57.47,57.47,57.47,57.47,000,54.402
2015-01-02,57.55,57.55,57.55,57.55,000,54.477
2015-01-01,57.36,57.36,57.36,57.36,000,54.297
2014-12-31,57.36,57.36,57.36,57.36,000,54.297
2014-12-30,57.64,57.64,57.36,57.36,000,54.297
2014-12-29,57.29,57.29,57.29,57.29,000,54.231
2014-12-26,56.76,56.76,56.76,56.76,000,53.729
2014-12-25,56.76,56.76,56.76,56.76,000,53.729
2014-12-24,56.76,56.76,56.76,56.76,000,53.729
2014-12-23,56.76,56.76,56.76,56.76,000,53.729
2014-12-22,58.10,58.10,58.10,58.10,000,54.998
2014-12-19,56.87,56.87,56.87,56.87,000,53.834
2014-12-18,54.14,54.14,54.14,54.14,000,51.249
2014-12-17,50.71,50.71,50.71,50.71,000,48.003
2014-12-16,49.585,49.585,49.585,49.585,000,46.938
2014-12-15,50.24,50.24,50.24,50.24,000,47.558
2014-12-12,51.13,51.13,51.13,51.13,000,48.40
2014-12-11,50.99,50.99,50.99,50.99,000,48.268
2014-12-10,52.35,52.35,52.35,52.35,000,49.555
2014-12-09,52.66,52.66,52.66,52.66,000,49.848
2014-12-08,55.16,55.16,55.16,55.16,000,52.215
2014-12-05,55.96,55.96,55.96,55.96,000,52.972
2014-12-04,57.47,57.47,57.47,57.47,000,54.402
2014-12-03,55.81,55.81,55.81,55.81,000,52.83
2014-12-02,53.96,53.96,53.96,53.96,000,51.079
2014-12-01,52.62,52.62,52.62,52.62,000,49.811
2014-11-28,55.50,55.50,55.50,55.50,000,52.537
2014-11-27,56.54,56.54,56.54,56.54,000,53.521
2014-11-26,57.48,57.48,57.48,57.48,000,54.411
2014-11-25,58.86,58.86,58.86,58.86,000,55.717
2014-11-24,59.38,59.38,59.38,59.38,000,56.21
2014-11-21,58.34,58.34,58.34,58.34,000,55.225
2014-11-20,57.43,57.43,57.43,57.43,000,54.364
2014-11-19,57.11,57.11,57.11,57.11,000,54.061
2014-11-18,57.20,57.20,57.20,57.20,000,54.146
2014-11-17,56.52,56.52,56.52,56.52,000,53.502
2014-11-14,56.62,56.62,56.62,56.62,000,53.597
2014-11-13,57.25,57.25,57.25,57.25,000,54.193
2014-11-12,57.33,57.33,57.33,57.33,000,54.269
2014-11-11,57.58,57.58,57.58,57.58,000,54.506
2014-11-10,57.73,57.73,57.73,57.73,000,54.648
2014-11-07,57.58,57.58,57.58,57.58,000,54.506
2014-11-06,55.65,55.65,55.65,55.65,000,52.679
2014-11-05,54.95,54.95,54.95,54.95,000,52.016
2014-11-04,56.22,56.22,56.22,56.22,000,53.218
2014-11-03,57.71,57.71,57.71,57.71,000,54.629
2014-10-31,57.26,57.26,57.26,57.26,000,54.203
2014-10-30,56.22,56.22,56.22,56.22,000,53.218
2014-10-29,54.97,54.97,54.97,54.97,000,52.035
2014-10-28,54.23,54.23,54.18,54.18,000,51.287
2014-10-27,55.27,55.27,55.23,55.23,000,52.281
2014-10-24,55.42,55.42,55.42,55.42,000,52.461
2014-10-23,54.84,54.84,54.84,54.84,000,51.912
2014-10-22,55.38,55.38,55.38,55.38,000,52.423
