Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-31,0.499,0.499,0.499,0.499,000,0.499
2015-12-30,0.499,0.499,0.498,0.499,000,0.499
2015-12-29,0.496,0.496,0.496,0.496,000,0.496
2015-12-28,0.496,0.496,0.496,0.496,000,0.496
2015-12-25,0.487,0.487,0.487,0.487,000,0.487
2015-12-24,0.487,0.487,0.487,0.487,000,0.487
2015-12-23,0.487,0.487,0.487,0.487,000,0.487
2015-12-22,0.486,0.486,0.486,0.486,000,0.486
2015-12-21,0.405,0.405,0.405,0.405,000,0.405
2015-12-18,0.407,0.407,0.407,0.407,000,0.407
2015-12-17,0.407,0.407,0.407,0.407,000,0.407
2015-12-16,0.35,0.35,0.35,0.35,000,0.35
2015-12-15,0.376,0.376,0.376,0.376,000,0.376
2015-12-14,0.47,0.47,0.47,0.47,000,0.47
2015-12-11,0.414,0.414,0.414,0.414,000,0.414
2015-12-10,0.473,0.473,0.473,0.473,000,0.473
2015-12-09,0.406,0.406,0.406,0.406,000,0.406
2015-12-08,0.513,0.513,0.513,0.513,000,0.513
2015-12-04,0.51,0.51,0.51,0.51,000,0.51
2015-12-02,0.525,0.525,0.525,0.525,000,0.525
2015-12-01,0.526,0.526,0.526,0.526,000,0.526
2015-11-30,0.526,0.526,0.526,0.526,000,0.526
2015-11-27,0.524,0.524,0.524,0.524,000,0.524
2015-11-26,0.525,0.525,0.525,0.525,000,0.525
2015-11-25,0.522,0.522,0.522,0.522,000,0.522
2015-11-24,0.524,0.524,0.524,0.524,000,0.524
2015-11-23,0.524,0.524,0.524,0.524,000,0.524
2015-11-20,0.52,0.52,0.52,0.52,000,0.52
2015-11-19,0.521,0.521,0.521,0.521,000,0.521
2015-11-18,0.523,0.523,0.523,0.523,000,0.523
2015-11-17,0.522,0.522,0.522,0.522,000,0.522
2015-11-16,0.519,0.519,0.519,0.519,000,0.519
2015-11-13,0.516,0.516,0.516,0.516,000,0.516
2015-11-12,0.518,0.518,0.518,0.518,000,0.518
2015-11-11,0.518,0.518,0.518,0.518,000,0.518
2015-11-10,0.518,0.518,0.518,0.518,000,0.518
2015-11-09,0.517,0.517,0.517,0.517,000,0.517
2015-11-06,0.512,0.512,0.512,0.512,000,0.512
2015-11-05,0.513,0.513,0.513,0.513,000,0.513
2015-11-04,0.508,0.508,0.508,0.508,000,0.508
2015-11-03,0.505,0.505,0.505,0.505,000,0.505
2015-11-02,0.505,0.505,0.505,0.505,000,0.505
2015-10-30,0.506,0.506,0.506,0.506,000,0.506
