Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-25,0.169,0.169,0.169,0.169,000,0.169
2016-03-24,0.169,0.169,0.169,0.169,000,0.169
2016-03-23,0.172,0.172,0.172,0.172,000,0.172
2016-03-22,0.175,0.175,0.175,0.175,000,0.175
2016-03-21,0.177,0.177,0.177,0.177,000,0.177
2016-03-18,0.175,0.175,0.175,0.175,000,0.175
2016-03-17,0.171,0.171,0.171,0.171,000,0.171
2016-03-16,0.174,0.174,0.174,0.174,000,0.174
2016-03-15,0.175,0.175,0.175,0.175,000,0.175
2016-03-14,0.176,0.176,0.176,0.176,000,0.176
2016-03-11,0.169,0.169,0.169,0.169,000,0.169
2016-03-10,0.175,0.175,0.175,0.175,000,0.175
2016-03-09,0.186,0.186,0.186,0.186,000,0.186
2016-03-08,0.184,0.184,0.184,0.184,000,0.184
2016-03-07,0.18,0.18,0.18,0.18,000,0.18
2016-02-29,0.159,0.159,0.159,0.159,000,0.159
2016-02-24,0.168,0.168,0.168,0.168,000,0.168
2016-02-16,0.144,0.144,0.144,0.144,000,0.144
2016-02-15,0.136,0.136,0.136,0.136,000,0.136
2016-02-10,0.151,0.151,0.151,0.151,000,0.151
2016-02-08,0.153,0.153,0.153,0.153,000,0.153
2016-02-03,0.164,0.164,0.164,0.164,000,0.164
2016-01-29,0.164,0.164,0.164,0.164,000,0.164
2016-01-27,0.171,0.171,0.171,0.171,000,0.171
2016-01-22,0.17,0.17,0.17,0.17,000,0.17
2016-01-21,0.182,0.182,0.182,0.182,000,0.182
2016-01-20,0.191,0.191,0.191,0.191,000,0.191
2016-01-19,0.187,0.187,0.187,0.187,000,0.187
2016-01-18,0.181,0.181,0.181,0.181,000,0.181
2016-01-15,0.187,0.187,0.187,0.187,000,0.187
2016-01-14,0.189,0.189,0.189,0.189,000,0.189
2016-01-12,0.191,0.191,0.191,0.191,000,0.191
2016-01-11,0.199,0.199,0.199,0.199,000,0.199
2016-01-08,0.186,0.186,0.186,0.186,000,0.186
2016-01-07,0.202,0.202,0.202,0.202,000,0.202
2016-01-06,0.193,0.193,0.193,0.193,000,0.193
2016-01-04,0.197,0.197,0.197,0.197,000,0.197
2016-01-01,0.199,0.199,0.199,0.199,000,0.199
2015-12-31,0.199,0.199,0.199,0.199,000,0.199
2015-12-30,0.199,0.199,0.199,0.199,000,0.199
2015-12-29,0.197,0.197,0.197,0.197,000,0.197
2015-12-28,0.201,0.201,0.201,0.201,000,0.201
2015-12-25,0.19,0.19,0.19,0.19,000,0.19
2015-12-24,0.19,0.19,0.19,0.19,000,0.19
2015-12-23,0.19,0.19,0.19,0.19,000,0.19
2015-12-22,0.19,0.19,0.19,0.19,000,0.19
2015-12-21,0.187,0.187,0.187,0.187,000,0.187
2015-12-18,0.189,0.189,0.189,0.189,000,0.189
2015-12-17,0.186,0.186,0.186,0.186,000,0.186
2015-12-16,0.183,0.183,0.183,0.183,000,0.183
2015-12-15,0.19,0.19,0.19,0.19,000,0.19
2015-12-14,0.19,0.19,0.19,0.19,000,0.19
2015-12-11,0.189,0.189,0.189,0.189,000,0.189
2015-12-10,0.186,0.186,0.186,0.186,000,0.186
2015-12-09,0.191,0.191,0.191,0.191,000,0.191
2015-12-08,0.194,0.194,0.194,0.194,000,0.194
2015-12-07,0.195,0.195,0.195,0.195,000,0.195
2015-12-04,0.193,0.193,0.193,0.193,000,0.193
2015-12-03,0.20,0.20,0.20,0.20,000,0.20
2015-12-02,0.197,0.197,0.197,0.197,000,0.197
2015-12-01,0.20,0.20,0.20,0.20,000,0.20
2015-11-30,0.203,0.203,0.203,0.203,000,0.203
2015-11-27,0.203,0.203,0.203,0.203,000,0.203
2015-11-26,0.203,0.203,0.203,0.203,000,0.203
2015-11-25,0.202,0.202,0.202,0.202,000,0.202
2015-11-24,0.206,0.206,0.206,0.206,000,0.206
2015-11-23,0.208,0.208,0.208,0.208,000,0.208
2015-11-20,0.202,0.202,0.202,0.202,000,0.202
2015-11-19,0.202,0.202,0.202,0.202,000,0.202
2015-11-18,0.201,0.201,0.201,0.201,000,0.201
2015-11-17,0.201,0.201,0.201,0.201,000,0.201
2015-11-16,0.205,0.205,0.205,0.205,000,0.205
2015-11-13,0.209,0.209,0.209,0.209,000,0.209
2015-11-12,0.213,0.213,0.213,0.213,000,0.213
2015-11-11,0.203,0.203,0.203,0.203,000,0.203
2015-11-10,0.206,0.206,0.206,0.206,000,0.206
2015-11-09,0.207,0.207,0.207,0.207,000,0.207
2015-11-06,0.202,0.202,0.202,0.202,000,0.202
2015-11-05,0.206,0.206,0.206,0.206,000,0.206
2015-11-04,0.197,0.197,0.197,0.197,000,0.197
2015-11-03,0.197,0.197,0.197,0.197,000,0.197
2015-11-02,0.196,0.196,0.196,0.196,000,0.196
2015-10-30,0.197,0.197,0.197,0.197,000,0.197
2015-10-29,0.201,0.201,0.201,0.201,000,0.201
2015-10-28,0.204,0.204,0.204,0.204,000,0.204
2015-10-27,0.209,0.209,0.209,0.209,000,0.209
2015-10-26,0.211,0.211,0.211,0.211,000,0.211
2015-10-23,0.206,0.206,0.206,0.206,000,0.206
2015-10-22,0.206,0.206,0.206,0.206,000,0.206
2015-10-21,0.205,0.205,0.205,0.205,000,0.205
2015-10-20,0.21,0.21,0.21,0.21,000,0.21
2015-10-19,0.21,0.21,0.21,0.21,000,0.21
2015-10-16,0.214,0.214,0.214,0.214,000,0.214
2015-10-15,0.211,0.211,0.211,0.211,000,0.211
2015-10-14,0.214,0.214,0.214,0.214,000,0.214
2015-10-13,0.214,0.214,0.214,0.214,000,0.214
2015-10-12,0.208,0.208,0.208,0.208,000,0.208
2015-10-09,0.211,0.211,0.211,0.211,000,0.211
2015-10-08,0.217,0.217,0.217,0.217,000,0.217
2015-10-07,0.208,0.208,0.208,0.208,000,0.208
