Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.45,0.45,0.45,0.45,900,0.45
2016-03-31,0.45,0.45,0.45,0.45,000,0.45
2016-03-30,0.32,0.45,0.32,0.45,2300,0.45
2016-03-29,0.32,0.45,0.32,0.45,600,0.45
2016-03-28,0.32,0.32,0.32,0.32,900,0.32
2016-03-24,0.46,0.46,0.46,0.46,000,0.46
2016-03-23,0.46,0.46,0.46,0.46,000,0.46
2016-03-22,0.46,0.46,0.46,0.46,000,0.46
2016-03-21,0.46,0.46,0.46,0.46,200,0.46
2016-03-18,0.40,0.40,0.40,0.40,000,0.40
2016-03-17,0.40,0.40,0.31,0.40,6400,0.40
2016-03-16,0.40,0.40,0.40,0.40,400,0.40
2016-03-15,0.40,0.40,0.40,0.40,000,0.40
2016-03-14,0.31,0.40,0.31,0.40,600,0.40
2016-03-11,0.31,0.31,0.31,0.31,100,0.31
2016-03-10,0.40,0.40,0.40,0.40,000,0.40
2016-03-09,0.40,0.40,0.40,0.40,600,0.40
2016-03-08,0.31,0.40,0.31,0.40,1100,0.40
2016-03-07,0.40,0.40,0.31,0.31,700,0.31
2016-03-04,0.30,0.40,0.30,0.30,2300,0.30
2016-03-03,0.35,0.35,0.35,0.35,100,0.35
2016-03-02,0.38,0.38,0.38,0.38,2100,0.38
2016-03-01,0.35,0.35,0.30,0.30,8500,0.30
2016-02-29,0.30,0.30,0.30,0.30,3000,0.30
2016-02-26,0.35,0.35,0.30,0.30,3100,0.30
2016-02-25,0.30,0.30,0.30,0.30,4500,0.30
2016-02-24,0.34,0.34,0.30,0.30,1200,0.30
2016-02-23,0.28,0.28,0.28,0.28,300,0.28
2016-02-22,0.28,0.40,0.28,0.40,3000,0.40
2016-02-19,0.33,0.38,0.28,0.38,6000,0.38
2016-02-18,0.33,0.40,0.33,0.40,3400,0.40
2016-02-17,0.40,0.40,0.35,0.35,6800,0.35
2016-02-16,0.33,0.33,0.33,0.33,1900,0.33
2016-02-12,0.35,0.40,0.35,0.40,2000,0.40
2016-02-11,0.36,0.40,0.36,0.40,18500,0.40
2016-02-10,0.36,0.36,0.36,0.36,3800,0.36
2016-02-09,0.37,0.43,0.37,0.43,2700,0.43
2016-02-08,0.43,0.43,0.43,0.43,200,0.43
2016-02-05,0.46,0.46,0.39,0.39,700,0.39
2016-02-04,0.41,0.41,0.41,0.41,000,0.41
2016-02-03,0.44,0.48,0.41,0.41,900,0.41
2016-02-02,0.41,0.41,0.41,0.41,5000,0.41
