Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-18,0.025,0.025,0.025,0.025,000,0.025
2015-12-17,0.03,0.03,0.03,0.03,000,0.03
2015-12-16,0.025,0.025,0.025,0.025,000,0.025
2015-12-15,0.021,0.021,0.021,0.021,000,0.021
2015-12-14,0.02,0.02,0.02,0.02,000,0.02
2015-12-11,0.025,0.025,0.025,0.025,000,0.025
2015-12-09,0.029,0.029,0.029,0.029,000,0.029
2015-12-08,0.03,0.03,0.03,0.03,000,0.03
2015-12-07,0.031,0.031,0.031,0.031,000,0.031
2015-12-04,0.032,0.032,0.032,0.032,000,0.032
2015-12-03,0.037,0.037,0.037,0.037,000,0.037
2015-12-02,0.04,0.04,0.04,0.04,000,0.04
2015-12-01,0.04,0.04,0.04,0.04,000,0.04
2015-11-30,0.049,0.049,0.049,0.049,100,0.049
2015-11-27,0.033,0.055,0.033,0.055,20000,0.055
2015-11-26,0.013,0.013,0.013,0.013,000,0.013
2015-11-25,0.013,0.013,0.013,0.013,000,0.013
2015-11-24,0.013,0.013,0.013,0.013,000,0.013
2015-11-23,0.015,0.015,0.015,0.015,000,0.015
2015-11-20,0.013,0.013,0.013,0.013,000,0.013
2015-11-19,0.013,0.013,0.013,0.013,000,0.013
2015-11-18,0.017,0.017,0.017,0.017,000,0.017
2015-11-17,0.016,0.016,0.016,0.016,000,0.016
2015-11-16,0.015,0.015,0.015,0.015,000,0.015
2015-11-13,0.018,0.018,0.018,0.018,000,0.018
2015-11-11,0.015,0.015,0.015,0.015,000,0.015
2015-11-10,0.015,0.015,0.015,0.015,000,0.015
2015-11-09,0.016,0.016,0.016,0.016,000,0.016
2015-11-06,0.015,0.015,0.015,0.015,000,0.015
2015-11-05,0.016,0.016,0.016,0.016,000,0.016
2015-11-04,0.014,0.014,0.014,0.014,000,0.014
2015-11-03,0.015,0.015,0.015,0.015,000,0.015
2015-11-02,0.013,0.013,0.013,0.013,000,0.013
2015-10-30,0.012,0.012,0.012,0.012,000,0.012
2015-10-29,0.019,0.019,0.019,0.019,000,0.019
2015-10-28,0.019,0.019,0.019,0.019,000,0.019
2015-10-27,0.015,0.015,0.015,0.015,000,0.015
2015-10-26,0.019,0.019,0.019,0.019,000,0.019
2015-10-23,0.021,0.021,0.021,0.021,000,0.021
2015-10-22,0.02,0.02,0.02,0.02,000,0.02
2015-10-21,0.012,0.012,0.012,0.012,000,0.012
2015-10-20,0.01,0.01,0.01,0.01,000,0.01
2015-10-19,0.01,0.01,0.01,0.01,000,0.01
2015-10-16,0.008,0.008,0.008,0.008,000,0.008
2015-10-15,0.005,0.005,0.005,0.005,000,0.005
2015-10-14,0.005,0.005,0.005,0.005,000,0.005
2015-10-13,0.005,0.005,0.005,0.005,1500,0.005
2015-10-12,0.005,0.005,0.005,0.005,000,0.005
2015-10-09,0.005,0.005,0.005,0.005,000,0.005
2015-10-08,0.004,0.004,0.004,0.004,000,0.004
2015-10-07,0.003,0.003,0.003,0.003,000,0.003
2015-10-06,0.003,0.003,0.003,0.003,000,0.003
2015-10-05,0.002,0.002,0.002,0.002,000,0.002
2015-10-02,0.002,0.002,0.002,0.002,000,0.002
2015-10-01,0.002,0.002,0.002,0.002,000,0.002
2015-09-30,0.002,0.002,0.002,0.002,000,0.002
2015-09-29,0.002,0.002,0.002,0.002,000,0.002
2015-09-28,0.001,0.001,0.001,0.001,000,0.001
2015-09-25,0.003,0.003,0.003,0.003,000,0.003
2015-09-24,0.003,0.003,0.003,0.003,000,0.003
2015-09-23,0.003,0.003,0.003,0.003,000,0.003
2015-09-22,0.003,0.003,0.003,0.003,000,0.003
2015-09-21,0.003,0.003,0.003,0.003,000,0.003
2015-09-18,0.003,0.003,0.003,0.003,000,0.003
2015-09-17,0.003,0.003,0.003,0.003,000,0.003
2015-09-16,0.02,0.02,0.02,0.02,000,0.02
2015-09-15,0.02,0.02,0.02,0.02,000,0.02
2015-09-14,0.02,0.02,0.02,0.02,000,0.02
2015-09-11,0.02,0.02,0.02,0.02,000,0.02
2015-09-10,0.006,0.006,0.006,0.006,000,0.006
2015-09-09,0.008,0.008,0.008,0.008,000,0.008
2015-09-08,0.008,0.008,0.008,0.008,000,0.008
2015-09-07,0.005,0.005,0.005,0.005,000,0.005
2015-09-04,0.006,0.006,0.006,0.006,000,0.006
2015-09-03,0.006,0.006,0.006,0.006,000,0.006
2015-09-02,0.005,0.005,0.005,0.005,000,0.005
2015-09-01,0.006,0.006,0.006,0.006,000,0.006
2015-08-31,0.006,0.006,0.006,0.006,000,0.006
2015-08-28,0.005,0.005,0.005,0.005,000,0.005
2015-08-27,0.006,0.006,0.006,0.006,000,0.006
2015-08-26,0.004,0.004,0.004,0.004,000,0.004
2015-08-25,0.002,0.002,0.002,0.002,000,0.002
2015-08-24,0.005,0.005,0.005,0.005,000,0.005
2015-08-21,0.008,0.008,0.008,0.008,000,0.008
2015-08-20,0.009,0.009,0.009,0.009,000,0.009
2015-08-19,0.01,0.01,0.01,0.01,100000,0.01
2015-08-18,0.006,0.036,0.006,0.036,100000,0.036
2015-08-17,0.006,0.006,0.006,0.006,000,0.006
2015-08-14,0.004,0.004,0.004,0.004,000,0.004
2015-08-13,0.002,0.002,0.002,0.002,000,0.002
2015-08-12,0.001,0.001,0.001,0.001,000,0.001
2015-08-11,0.006,0.006,0.006,0.006,000,0.006
2015-08-10,0.005,0.005,0.005,0.005,000,0.005
2015-08-07,0.007,0.007,0.007,0.007,000,0.007
2015-08-06,0.008,0.008,0.008,0.008,000,0.008
2015-08-05,0.009,0.009,0.009,0.009,000,0.009
2015-08-04,0.014,0.014,0.014,0.014,000,0.014
2015-08-03,0.014,0.014,0.014,0.014,000,0.014
2015-07-31,0.014,0.014,0.014,0.014,000,0.014
2015-07-30,0.014,0.014,0.014,0.014,7000,0.014
2015-07-29,0.012,0.012,0.012,0.012,000,0.012
2015-07-28,0.011,0.011,0.011,0.011,000,0.011
2015-07-27,0.012,0.012,0.012,0.012,000,0.012
2015-07-24,0.015,0.015,0.015,0.015,000,0.015
2015-07-23,0.014,0.014,0.014,0.014,000,0.014
2015-07-22,0.013,0.013,0.013,0.013,000,0.013
2015-07-21,0.014,0.014,0.014,0.014,000,0.014
2015-07-20,0.017,0.017,0.017,0.017,000,0.017
2015-07-17,0.023,0.023,0.023,0.023,000,0.023
2015-07-16,0.021,0.021,0.021,0.021,000,0.021
2015-07-15,0.026,0.026,0.026,0.026,000,0.026
2015-07-14,0.019,0.019,0.019,0.019,000,0.019
2015-07-13,0.014,0.014,0.014,0.014,000,0.014
2015-07-10,0.013,0.013,0.013,0.013,000,0.013
2015-07-09,0.012,0.012,0.012,0.012,000,0.012
2015-07-08,0.011,0.011,0.011,0.011,000,0.011
2015-07-07,0.133,0.133,0.133,0.133,000,0.133
2015-07-06,0.133,0.133,0.133,0.133,000,0.133
2015-07-03,0.133,0.133,0.133,0.133,000,0.133
2015-07-02,0.133,0.133,0.133,0.133,000,0.133
2015-07-01,0.133,0.133,0.133,0.133,000,0.133
2015-06-30,0.133,0.133,0.133,0.133,000,0.133
2015-06-29,0.133,0.133,0.133,0.133,000,0.133
2015-06-26,0.133,0.133,0.133,0.133,000,0.133
2015-06-25,0.134,0.134,0.134,0.134,000,0.134
2015-06-24,0.13,0.13,0.13,0.13,000,0.13
2015-06-23,0.132,0.132,0.132,0.132,000,0.132
2015-06-22,0.139,0.139,0.139,0.139,000,0.139
2015-06-19,0.142,0.142,0.142,0.142,000,0.142
2015-06-18,0.142,0.142,0.142,0.142,000,0.142
2015-06-17,0.143,0.143,0.143,0.143,000,0.143
2015-06-16,0.14,0.14,0.14,0.14,000,0.14
2015-06-15,0.143,0.143,0.143,0.143,000,0.143
2015-06-12,0.15,0.15,0.15,0.15,000,0.15
2015-06-11,0.15,0.15,0.15,0.15,000,0.15
2015-06-10,0.146,0.176,0.146,0.176,11400,0.176
2015-06-09,0.148,0.148,0.148,0.148,000,0.148
2015-06-08,0.15,0.15,0.15,0.15,000,0.15
2015-06-05,0.15,0.15,0.15,0.15,000,0.15
2015-06-04,0.156,0.156,0.156,0.156,000,0.156
2015-06-03,0.149,0.175,0.149,0.175,20000,0.175
2015-06-02,0.154,0.154,0.154,0.154,000,0.154
