Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-11,42.721,42.721,42.721,42.721,000,42.721
2016-03-10,44.63,44.63,42.578,42.578,000,42.578
2016-03-09,43.695,43.695,43.695,43.695,000,43.695
2016-03-08,42.873,42.873,42.873,42.873,000,42.873
2016-03-07,43.674,43.674,43.674,43.674,000,43.674
2016-03-03,44.208,44.208,44.208,44.208,000,44.208
2016-03-02,44.523,44.523,44.523,44.523,000,44.523
2016-02-29,43.56,43.56,43.56,43.56,000,43.56
2016-02-25,43.633,45.614,43.633,44.42,000,44.42
2016-02-24,42.458,42.458,42.458,42.458,000,42.458
2016-02-23,43.012,43.058,43.012,43.058,000,43.058
2016-02-22,42.901,42.901,42.901,42.901,000,42.901
2016-02-19,42.704,42.704,42.704,42.704,000,42.704
2016-02-17,42.44,42.44,42.44,42.44,000,42.44
2016-02-16,42.15,42.15,42.15,42.15,000,42.15
2016-02-15,40.393,40.393,40.393,40.393,000,40.393
2016-02-12,40.393,40.393,40.393,40.393,000,40.393
2016-02-11,38.363,38.363,38.363,38.363,000,38.363
2016-02-10,39.564,39.564,39.564,39.564,000,39.564
2016-02-09,38.997,38.997,38.997,38.997,000,38.997
2016-02-08,39.803,39.803,39.803,39.803,000,39.803
2016-02-05,40.902,40.985,40.902,40.985,000,40.985
2016-02-04,41.102,41.102,41.102,41.102,000,41.102
2016-02-03,41.102,41.102,41.102,41.102,000,41.102
2016-02-02,41.346,41.346,41.346,41.346,000,41.346
2016-02-01,41.713,42.022,41.713,42.022,000,42.022
2016-01-29,41.487,41.701,41.487,41.701,000,41.701
2016-01-28,41.275,41.275,41.275,41.275,000,41.275
2016-01-27,39.603,39.603,39.456,39.456,000,39.456
2016-01-26,39.022,39.022,39.022,39.022,000,39.022
2016-01-25,39.213,39.213,39.213,39.213,000,39.213
2016-01-22,39.375,39.607,39.375,39.607,000,39.607
2016-01-21,40.635,40.635,40.635,40.635,000,40.635
2016-01-20,38.389,38.389,38.389,38.389,000,38.389
2016-01-19,40.635,40.635,40.635,40.635,000,40.635
2016-01-18,39.219,39.219,39.219,39.219,000,39.219
2016-01-15,39.219,39.219,39.219,39.219,000,39.219
2016-01-14,39.219,39.219,39.219,39.219,000,39.219
2016-01-13,41.112,41.112,41.112,41.112,000,41.112
2016-01-12,39.156,39.156,39.156,39.156,000,39.156
2016-01-11,40.00,40.00,40.00,40.00,000,40.00
2016-01-08,39.485,39.485,39.485,39.485,000,39.485
2016-01-07,38.94,39.501,38.94,39.501,000,39.501
2016-01-06,40.403,40.403,40.403,40.403,000,40.403
2016-01-05,41.742,41.742,41.742,41.742,000,41.742
2016-01-04,40.269,40.42,40.269,40.42,000,40.42
2016-01-01,43.529,43.529,43.529,43.529,000,43.529
2015-12-31,43.529,43.529,43.529,43.529,000,43.529
2015-12-30,43.529,43.529,43.529,43.529,000,43.529
2015-12-29,43.529,43.529,43.529,43.529,000,43.529
2015-12-28,43.529,43.529,43.529,43.529,000,43.529
2015-12-25,42.902,42.902,42.902,42.902,000,42.902
2015-12-24,42.902,42.902,42.902,42.902,000,42.902
2015-12-23,42.902,42.902,42.902,42.902,000,42.902
2015-12-22,41.497,41.497,41.497,41.497,000,41.497
2015-12-21,42.141,42.141,42.141,42.141,000,42.141
2015-12-18,41.84,41.84,41.84,41.84,000,41.84
2015-12-17,41.983,41.983,41.983,41.983,000,41.983
2015-12-16,41.547,41.547,41.219,41.219,000,41.219
2015-12-15,40.25,40.25,40.25,40.25,000,40.25
2015-12-14,39.152,39.152,39.152,39.152,000,39.152
2015-12-11,39.152,39.152,39.152,39.152,000,39.152
2015-12-10,40.428,40.428,40.428,40.428,000,40.428
2015-12-09,40.72,40.72,40.72,40.72,000,40.72
2015-12-08,42.00,42.00,42.00,42.00,500,42.00
2015-12-07,42.234,42.234,42.234,42.234,000,42.234
2015-12-04,42.157,42.157,42.157,42.157,000,42.157
2015-12-03,43.231,43.231,43.231,43.231,000,43.231
2015-12-02,45.541,45.541,45.541,45.541,000,45.541
2015-12-01,45.80,45.80,45.80,45.80,000,45.80
2015-11-30,45.246,45.532,45.246,45.532,000,45.532
2015-11-27,45.291,45.291,45.291,45.291,000,45.291
2015-11-26,46.197,46.197,46.197,46.197,000,46.197
2015-11-25,46.197,46.197,46.197,46.197,000,46.197
2015-11-24,46.607,46.607,46.607,46.607,000,46.607
2015-11-23,46.752,46.752,46.752,46.752,000,46.752
2015-11-20,47.233,47.233,47.233,47.233,000,47.233
2015-11-19,45.934,45.934,45.934,45.934,000,45.934
2015-11-18,45.65,45.65,45.65,45.65,000,45.65
2015-11-17,46.697,46.697,46.697,46.697,000,46.697
2015-11-16,45.956,45.956,45.956,45.956,000,45.956
2015-11-13,46.133,46.133,46.133,46.133,000,46.133
2015-11-12,47.186,47.186,47.186,47.186,000,47.186
2015-11-11,46.499,46.499,46.499,46.499,000,46.499
2015-11-10,46.805,46.805,46.616,46.616,000,46.616
2015-11-09,47.461,47.461,47.461,47.461,000,47.461
2015-11-06,48.442,48.442,48.442,48.442,000,48.442
2015-11-05,48.492,48.492,48.492,48.492,000,48.492
2015-11-04,46.336,46.336,46.336,46.336,000,46.336
2015-11-02,46.013,46.013,46.013,46.013,000,46.013
2015-10-30,47.097,47.097,47.097,47.097,000,47.097
2015-10-29,47.373,47.373,47.373,47.373,000,47.373
2015-10-28,48.564,48.564,48.564,48.564,000,48.564
