Date,Open,High,Low,Close,Volume,Adj_Close
2015-10-06,0.326,0.326,0.326,0.326,000,0.326
2015-10-05,0.326,0.326,0.326,0.326,000,0.326
2015-10-02,0.307,0.307,0.307,0.307,000,0.307
2015-10-01,0.302,0.302,0.302,0.302,000,0.302
2015-09-30,0.304,0.304,0.304,0.304,000,0.304
2015-09-29,0.281,0.30,0.281,0.30,000,0.30
2015-09-28,0.281,0.281,0.281,0.281,000,0.281
2015-09-25,0.283,0.283,0.283,0.283,000,0.283
2015-09-24,0.272,0.272,0.272,0.272,000,0.272
2015-09-23,0.273,0.273,0.273,0.273,000,0.273
2015-09-22,0.299,0.299,0.299,0.299,000,0.299
2015-09-21,0.253,0.253,0.253,0.253,000,0.253
2015-09-18,0.275,0.275,0.275,0.275,000,0.275
2015-09-17,0.295,0.295,0.295,0.295,000,0.295
2015-09-16,0.286,0.286,0.286,0.286,000,0.286
2015-09-15,0.286,0.286,0.286,0.286,000,0.286
2015-09-14,0.259,0.259,0.259,0.259,000,0.259
2015-09-11,0.279,0.279,0.279,0.279,000,0.279
2015-09-10,0.264,0.264,0.264,0.264,000,0.264
2015-09-09,0.295,0.295,0.295,0.295,000,0.295
2015-09-08,0.267,0.267,0.267,0.267,000,0.267
2015-09-07,0.269,0.269,0.269,0.269,000,0.269
2015-09-04,0.289,0.289,0.289,0.289,000,0.289
2015-09-03,0.289,0.289,0.289,0.289,000,0.289
2015-09-02,0.308,0.308,0.308,0.308,000,0.308
2015-09-01,0.374,0.374,0.374,0.374,000,0.374
2015-08-31,0.389,0.389,0.389,0.389,000,0.389
2015-08-28,0.325,0.325,0.325,0.325,000,0.325
2015-08-27,0.381,0.381,0.381,0.381,000,0.381
2015-08-26,0.43,0.43,0.43,0.43,000,0.43
2015-08-25,0.438,0.438,0.438,0.438,000,0.438
2015-08-24,0.407,0.407,0.407,0.407,000,0.407
2015-08-21,0.425,0.425,0.425,0.425,000,0.425
2015-08-20,0.418,0.418,0.418,0.418,000,0.418
2015-08-19,0.473,0.473,0.473,0.473,000,0.473
2015-08-18,0.484,0.484,0.484,0.484,000,0.484
2015-08-17,0.436,0.436,0.436,0.436,000,0.436
2015-08-14,0.515,0.515,0.515,0.515,000,0.515
2015-08-13,0.518,0.518,0.518,0.518,000,0.518
2015-08-12,0.426,0.461,0.426,0.461,000,0.461
2015-08-11,0.444,0.444,0.444,0.444,000,0.444
2015-08-10,0.50,0.50,0.50,0.50,000,0.50
2015-08-07,0.482,0.482,0.482,0.482,000,0.482
2015-08-06,0.498,0.498,0.498,0.498,000,0.498
2015-08-05,0.512,0.512,0.512,0.512,000,0.512
2015-08-04,0.505,0.505,0.505,0.505,000,0.505
