Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,6.80,6.88,6.76,6.85,2647500,6.85
2016-03-31,6.72,6.85,6.72,6.75,513000,6.75
2016-03-30,6.68,6.77,6.65,6.72,230200,6.72
2016-03-29,6.50,6.68,6.50,6.68,132500,6.68
2016-03-28,6.50,6.50,6.50,6.50,000,6.50
2016-03-25,6.50,6.50,6.50,6.50,000,6.50
2016-03-24,6.55,6.59,6.50,6.50,167500,6.50
2016-03-23,6.55,6.56,6.53,6.55,664800,6.55
2016-03-22,6.67,6.67,6.55,6.58,197500,6.58
2016-03-21,6.76,6.79,6.63,6.64,585300,6.64
2016-03-18,6.78,6.80,6.75,6.79,177800,6.79
2016-03-17,6.77,6.86,6.71,6.78,303600,6.78
2016-03-16,6.69,6.77,6.58,6.77,372600,6.77
2016-03-15,6.60,6.70,6.60,6.69,698600,6.69
2016-03-14,6.49,6.62,6.49,6.60,295500,6.60
2016-03-11,6.54,6.59,6.50,6.50,143500,6.50
2016-03-10,6.57,6.60,6.55,6.59,473600,6.59
2016-03-09,6.62,6.62,6.53,6.55,852600,6.55
2016-03-08,6.55,6.63,6.46,6.60,1038800,6.60
2016-03-07,6.38,6.58,6.38,6.57,266400,6.57
2016-03-04,6.45,6.45,6.32,6.37,363500,6.37
2016-03-03,6.64,6.64,6.35,6.35,156900,6.35
2016-03-02,6.48,6.65,6.45,6.65,442400,6.65
2016-03-01,6.25,6.49,6.21,6.49,403400,6.49
2016-02-29,6.29,6.31,6.27,6.27,1663900,6.27
2016-02-26,6.25,6.30,6.25,6.30,301600,6.30
2016-02-25,6.24,6.26,6.23,6.26,338600,6.26
2016-02-24,6.25,6.26,6.23,6.25,643700,6.25
2016-02-23,6.19,6.26,6.19,6.26,130400,6.26
2016-02-22,6.25,6.25,6.19,6.19,171200,6.19
2016-02-19,6.20,6.27,6.20,6.25,318900,6.25
2016-02-18,6.22,6.23,6.20,6.21,508300,6.21
2016-02-17,6.15,6.25,6.15,6.21,719300,6.21
2016-02-16,6.06,6.15,6.06,6.12,124600,6.12
2016-02-15,5.91,6.02,5.91,6.00,496600,6.00
2016-02-12,5.99,5.99,5.82,5.85,1827500,5.85
2016-02-11,6.18,6.18,6.05,6.05,1289400,6.05
2016-02-10,6.35,6.36,6.15,6.18,379000,6.18
2016-02-09,6.46,6.46,6.30,6.35,954700,6.35
2016-02-08,6.46,6.46,6.46,6.46,000,6.46
2016-02-05,6.43,6.55,6.43,6.46,320600,6.46
2016-02-04,6.59,6.59,6.43,6.45,315100,6.45
2016-02-03,6.72,6.72,6.61,6.62,541200,6.62
2016-02-02,6.73,6.77,6.71,6.75,978600,6.75
2016-02-01,6.69,6.74,6.69,6.74,782100,6.74
2016-01-29,6.54,6.74,6.53,6.72,487000,6.72
2016-01-28,6.43,6.60,6.43,6.56,219800,6.56
2016-01-27,6.42,6.44,6.40,6.43,191700,6.43
2016-01-26,6.50,6.50,6.36,6.43,299100,6.43
2016-01-25,6.36,6.50,6.36,6.49,261800,6.49
2016-01-22,6.42,6.43,6.31,6.35,591100,6.35
2016-01-21,6.42,6.43,6.35,6.41,502000,6.41
2016-01-20,6.42,6.58,6.40,6.48,528700,6.48
2016-01-19,6.44,6.44,6.35,6.42,270500,6.42
2016-01-18,6.38,6.46,6.33,6.46,454200,6.46
2016-01-15,6.33,6.47,6.33,6.47,185300,6.47
2016-01-14,6.25,6.32,6.24,6.31,503800,6.31
2016-01-13,6.40,6.42,6.33,6.35,684400,6.35
2016-01-12,6.46,6.48,6.25,6.38,95800,6.38
2016-01-11,6.33,6.46,6.33,6.46,347000,6.46
2016-01-08,6.35,6.39,6.30,6.35,432100,6.35
2016-01-07,6.42,6.42,6.36,6.36,700500,6.36
2016-01-06,6.50,6.50,6.37,6.42,218600,6.42
2016-01-05,6.71,6.72,6.48,6.48,387500,6.48
2016-01-04,6.76,6.76,6.76,6.76,000,6.76
2016-01-01,6.76,6.76,6.76,6.76,000,6.76
2015-12-31,6.79,6.79,6.74,6.76,60000,6.76
2015-12-30,6.60,6.80,6.60,6.78,440900,6.78
2015-12-29,6.50,6.60,6.50,6.60,62800,6.60
2015-12-28,6.50,6.50,6.50,6.50,000,6.50
2015-12-25,6.50,6.50,6.50,6.50,000,6.50
2015-12-24,6.48,6.52,6.48,6.50,31700,6.50
2015-12-23,6.48,6.50,6.46,6.48,423800,6.48
2015-12-22,6.62,6.62,6.42,6.47,594600,6.47
2015-12-21,6.65,6.65,6.59,6.59,1001900,6.59
2015-12-18,6.49,6.70,6.48,6.65,1938900,6.65
2015-12-17,6.60,6.70,6.56,6.70,562000,6.70
2015-12-16,6.68,6.70,6.61,6.61,263900,6.61
2015-12-15,6.65,6.68,6.64,6.68,1083900,6.68
2015-12-14,6.75,6.75,6.60,6.67,396700,6.67
2015-12-11,6.85,6.85,6.76,6.79,742700,6.79
2015-12-10,6.71,7.00,6.71,6.80,2863200,6.80
2015-12-09,6.69,6.73,6.66,6.73,686200,6.73
2015-12-08,6.70,6.77,6.70,6.71,378600,6.71
2015-12-07,6.80,6.80,6.60,6.74,503900,6.74
2015-12-04,6.63,6.81,6.56,6.80,1020800,6.80
2015-12-03,6.69,6.69,6.64,6.65,241300,6.65
2015-12-02,6.70,6.75,6.67,6.70,480200,6.70
2015-12-01,6.77,6.77,6.64,6.70,416900,6.70
2015-11-30,6.72,6.90,6.72,6.79,3061100,6.79
2015-11-27,6.70,6.74,6.60,6.74,414900,6.74
2015-11-26,6.58,6.71,6.58,6.71,366000,6.71
2015-11-25,6.57,6.62,6.57,6.60,468600,6.60
2015-11-24,6.60,6.60,6.59,6.59,675300,6.59
2015-11-23,6.51,6.61,6.46,6.61,313300,6.61
2015-11-20,6.58,6.58,6.51,6.51,159000,6.51
2015-11-19,6.41,6.55,6.40,6.55,169500,6.55
2015-11-18,6.33,6.49,6.33,6.41,301800,6.216
2015-11-17,6.55,6.56,6.41,6.41,642600,6.101
2015-11-16,6.58,6.58,6.42,6.55,305200,6.235
2015-11-13,6.65,6.65,6.60,6.61,685200,6.292
2015-11-12,6.64,6.67,6.63,6.65,1240600,6.33
2015-11-11,6.69,6.69,6.62,6.65,2078600,6.33
2015-11-10,6.60,6.69,6.60,6.67,856300,6.349
2015-11-09,6.72,6.77,6.71,6.74,1771900,6.416
2015-11-06,6.71,6.72,6.70,6.72,669000,6.396
2015-11-05,6.70,6.73,6.69,6.71,1716100,6.387
2015-11-04,6.65,6.75,6.63,6.75,337900,6.425
2015-11-03,6.70,6.70,6.52,6.70,452100,6.377
2015-11-02,6.71,6.75,6.62,6.66,154600,6.339
2015-10-30,6.65,6.80,6.64,6.70,1242100,6.377
2015-10-29,6.55,6.66,6.55,6.62,1133400,6.301
2015-10-28,6.50,6.59,6.48,6.55,2162300,6.235
2015-10-27,6.50,6.51,6.42,6.51,3013900,6.197
2015-10-26,6.51,6.51,6.51,6.51,000,6.197
2015-10-23,6.52,6.61,6.51,6.51,522600,6.197
2015-10-22,6.50,6.55,6.50,6.52,4097900,6.206
2015-10-21,6.58,6.59,6.50,6.50,1143700,6.187
2015-10-20,6.43,6.58,6.43,6.58,5980400,6.263
2015-10-19,6.39,6.44,6.35,6.44,4240100,6.13
2015-10-16,6.36,6.40,6.35,6.39,1636400,6.082
2015-10-15,6.33,6.38,6.30,6.37,1163700,6.063
2015-10-14,6.32,6.34,6.32,6.34,778400,6.035
2015-10-13,6.34,6.35,6.30,6.35,1586300,6.044
2015-10-12,6.25,6.35,6.25,6.34,1582700,6.035
2015-10-09,6.15,6.25,6.14,6.25,5589800,5.949
2015-10-08,6.06,6.12,6.06,6.12,7733300,5.825
2015-10-07,6.04,6.09,6.03,6.07,2557200,5.778
2015-10-06,5.98,6.04,5.98,6.03,2893100,5.74
2015-10-05,5.97,5.99,5.95,5.97,1005400,5.683
2015-10-02,5.90,5.97,5.89,5.94,4957200,5.654
2015-10-01,6.01,6.01,5.75,5.81,128685700,5.53
2015-09-30,6.63,6.63,6.63,6.63,000,6.311
2015-09-29,6.58,6.68,6.50,6.63,610400,6.311
2015-09-28,6.48,6.65,6.46,6.65,724800,6.33
2015-09-25,6.39,6.50,6.39,6.49,1016100,6.178
2015-09-24,6.35,6.40,6.31,6.38,271500,6.073
2015-09-23,6.30,6.38,6.30,6.31,542400,6.006
2015-09-22,6.06,6.15,6.06,6.13,2252000,5.835
2015-09-21,6.05,6.07,6.05,6.05,368400,5.759
2015-09-18,5.93,6.05,5.93,6.05,411900,5.759
