Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.45,0.47,0.45,0.47,276500,0.47
2016-03-31,0.39,0.46,0.39,0.46,107600,0.46
2016-03-30,0.415,0.415,0.38,0.38,51000,0.38
2016-03-29,0.43,0.43,0.43,0.43,28000,0.43
2016-03-28,0.43,0.43,0.43,0.43,000,0.43
2016-03-25,0.43,0.43,0.43,0.43,000,0.43
2016-03-24,0.43,0.43,0.43,0.43,51600,0.43
2016-03-23,0.43,0.43,0.42,0.43,74600,0.43
2016-03-22,0.39,0.405,0.39,0.40,64500,0.40
2016-03-21,0.385,0.39,0.365,0.39,138700,0.39
2016-03-18,0.365,0.365,0.36,0.36,14400,0.36
2016-03-17,0.365,0.365,0.365,0.365,65000,0.365
2016-03-16,0.35,0.35,0.35,0.35,000,0.35
2016-03-15,0.35,0.35,0.35,0.35,000,0.35
2016-03-14,0.36,0.36,0.35,0.35,100000,0.35
2016-03-11,0.375,0.385,0.37,0.385,148800,0.385
2016-03-10,0.38,0.38,0.38,0.38,48300,0.38
2016-03-09,0.37,0.37,0.37,0.37,13000,0.37
2016-03-08,0.38,0.38,0.375,0.38,105000,0.38
2016-03-07,0.39,0.392,0.38,0.38,271600,0.38
2016-03-04,0.37,0.39,0.35,0.39,319100,0.39
2016-03-03,0.34,0.37,0.34,0.37,54700,0.37
2016-03-02,0.325,0.34,0.325,0.34,96600,0.34
2016-03-01,0.34,0.34,0.325,0.33,86300,0.33
2016-02-29,0.32,0.32,0.32,0.32,30000,0.32
2016-02-26,0.34,0.35,0.34,0.35,61000,0.35
2016-02-25,0.35,0.35,0.30,0.33,191200,0.33
2016-02-24,0.35,0.35,0.35,0.35,68800,0.35
2016-02-23,0.34,0.34,0.33,0.33,18500,0.33
2016-02-22,0.35,0.35,0.35,0.35,19100,0.35
2016-02-19,0.35,0.35,0.35,0.35,24400,0.35
2016-02-18,0.33,0.33,0.33,0.33,000,0.33
2016-02-17,0.335,0.35,0.33,0.33,128100,0.33
2016-02-16,0.35,0.35,0.315,0.33,106200,0.33
2016-02-15,0.36,0.36,0.36,0.36,000,0.36
2016-02-12,0.36,0.36,0.36,0.36,5500,0.36
2016-02-11,0.36,0.36,0.36,0.36,26500,0.36
2016-02-10,0.38,0.38,0.315,0.36,122000,0.36
2016-02-09,0.40,0.40,0.40,0.40,000,0.40
2016-02-08,0.40,0.40,0.40,0.40,000,0.40
2016-02-05,0.40,0.40,0.40,0.40,000,0.40
2016-02-04,0.40,0.40,0.40,0.40,000,0.40
2016-02-03,0.36,0.40,0.36,0.40,26300,0.40
2016-02-02,0.40,0.40,0.40,0.40,000,0.40
2016-02-01,0.40,0.40,0.40,0.40,000,0.40
2016-01-29,0.395,0.40,0.37,0.40,35200,0.40
2016-01-28,0.40,0.40,0.40,0.40,000,0.40
2016-01-27,0.375,0.40,0.335,0.40,163300,0.40
2016-01-26,0.375,0.375,0.375,0.375,000,0.375
2016-01-25,0.41,0.41,0.375,0.375,171000,0.375
2016-01-22,0.39,0.41,0.39,0.41,52500,0.41
2016-01-21,0.38,0.40,0.38,0.40,63000,0.40
2016-01-20,0.39,0.39,0.39,0.39,000,0.39
2016-01-19,0.39,0.39,0.385,0.39,17100,0.39
2016-01-18,0.405,0.405,0.405,0.405,7800,0.405
2016-01-15,0.41,0.41,0.39,0.41,16000,0.41
2016-01-14,0.40,0.41,0.40,0.41,30000,0.41
2016-01-13,0.40,0.405,0.40,0.405,28600,0.405
2016-01-12,0.38,0.42,0.38,0.42,75700,0.42
2016-01-11,0.37,0.385,0.37,0.385,67800,0.385
2016-01-08,0.38,0.38,0.37,0.37,9900,0.37
2016-01-07,0.40,0.40,0.355,0.355,70300,0.355
2016-01-06,0.40,0.40,0.40,0.40,20000,0.40
2016-01-05,0.40,0.42,0.40,0.40,15100,0.40
2016-01-04,0.40,0.40,0.37,0.375,332200,0.375
2016-01-01,0.425,0.425,0.425,0.425,000,0.425
2015-12-31,0.425,0.425,0.425,0.425,16000,0.425
2015-12-30,0.425,0.425,0.425,0.425,000,0.425
2015-12-29,0.45,0.455,0.425,0.425,37900,0.425
2015-12-28,0.43,0.43,0.43,0.43,000,0.43
2015-12-25,0.43,0.43,0.43,0.43,000,0.43
2015-12-24,0.43,0.43,0.43,0.43,000,0.43
2015-12-23,0.425,0.44,0.41,0.43,49200,0.43
2015-12-22,0.45,0.45,0.45,0.45,000,0.45
2015-12-21,0.44,0.45,0.44,0.45,16300,0.45
2015-12-18,0.445,0.45,0.44,0.44,16200,0.44
2015-12-17,0.43,0.45,0.43,0.45,59000,0.45
2015-12-16,0.47,0.47,0.41,0.425,654300,0.425
2015-12-15,0.475,0.475,0.47,0.47,36300,0.47
2015-12-14,0.47,0.47,0.45,0.47,78000,0.47
2015-12-11,0.475,0.475,0.47,0.472,553500,0.472
2015-12-10,0.48,0.48,0.45,0.47,107600,0.47
2015-12-09,0.495,0.495,0.48,0.48,36400,0.48
2015-12-08,0.50,0.505,0.49,0.495,101000,0.495
2015-12-07,0.495,0.50,0.495,0.50,59100,0.50
2015-12-04,0.50,0.525,0.48,0.52,91500,0.52
2015-12-03,0.49,0.50,0.47,0.50,300600,0.50
2015-12-02,0.50,0.50,0.49,0.50,207600,0.50
2015-12-01,0.50,0.50,0.46,0.50,322800,0.50
2015-11-30,0.53,0.53,0.45,0.50,306300,0.50
2015-11-27,0.545,0.55,0.525,0.54,124400,0.54
2015-11-26,0.55,0.55,0.515,0.54,164900,0.54
2015-11-25,0.565,0.565,0.54,0.55,150700,0.55
2015-11-24,0.55,0.57,0.545,0.555,270700,0.555
2015-11-23,0.525,0.545,0.51,0.535,293700,0.535
2015-11-20,0.51,0.52,0.50,0.505,309600,0.505
2015-11-19,0.58,0.60,0.50,0.50,1903600,0.50
2015-11-18,0.48,0.48,0.48,0.48,000,0.48
2015-11-17,0.48,0.48,0.48,0.48,000,0.48
2015-11-16,0.46,0.48,0.44,0.48,234700,0.48
2015-11-13,0.41,0.47,0.41,0.47,567700,0.47
2015-11-12,0.365,0.43,0.365,0.43,219400,0.43
2015-11-11,0.38,0.38,0.355,0.355,161700,0.355
2015-11-10,0.39,0.395,0.39,0.395,16000,0.395
2015-11-09,0.385,0.415,0.385,0.39,222200,0.39
2015-11-06,0.37,0.39,0.37,0.39,56400,0.39
2015-11-05,0.37,0.37,0.37,0.37,128000,0.37
2015-11-04,0.38,0.39,0.38,0.39,52800,0.39
2015-11-03,0.37,0.385,0.37,0.37,114200,0.37
2015-11-02,0.365,0.365,0.36,0.36,130900,0.36
2015-10-30,0.39,0.39,0.37,0.375,137700,0.375
2015-10-29,0.36,0.39,0.36,0.39,36600,0.39
2015-10-28,0.365,0.365,0.355,0.36,26700,0.36
2015-10-27,0.36,0.36,0.325,0.35,236900,0.35
2015-10-26,0.37,0.37,0.36,0.36,135000,0.36
2015-10-23,0.375,0.375,0.36,0.37,192100,0.37
2015-10-22,0.385,0.385,0.385,0.385,9000,0.385
2015-10-21,0.39,0.40,0.37,0.37,127000,0.37
2015-10-20,0.38,0.38,0.38,0.38,21700,0.38
2015-10-19,0.38,0.40,0.38,0.38,132800,0.38
2015-10-16,0.40,0.42,0.38,0.395,322900,0.395
2015-10-15,0.37,0.40,0.37,0.40,669000,0.40
2015-10-14,0.38,0.38,0.37,0.38,148000,0.38
2015-10-13,0.375,0.40,0.375,0.38,39900,0.38
2015-10-12,0.39,0.395,0.365,0.365,69100,0.365
2015-10-09,0.375,0.375,0.36,0.375,45000,0.375
2015-10-08,0.39,0.39,0.35,0.365,93000,0.365
2015-10-07,0.365,0.375,0.36,0.36,205100,0.36
2015-10-06,0.39,0.395,0.355,0.355,286400,0.355
2015-10-05,0.41,0.41,0.385,0.40,94600,0.40
2015-10-02,0.40,0.42,0.39,0.405,739300,0.405
2015-10-01,0.35,0.385,0.35,0.385,472000,0.385
2015-09-30,0.33,0.35,0.325,0.35,117700,0.35
2015-09-29,0.33,0.33,0.31,0.315,125900,0.315
2015-09-28,0.335,0.355,0.315,0.315,71600,0.315
2015-09-25,0.315,0.36,0.315,0.335,309500,0.335
2015-09-24,0.31,0.325,0.305,0.305,217100,0.305
2015-09-23,0.345,0.35,0.295,0.30,717900,0.30
2015-09-22,0.29,0.36,0.29,0.345,755400,0.345
2015-09-21,0.25,0.30,0.25,0.285,1531600,0.285
2015-09-18,0.30,0.30,0.30,0.30,000,0.30
