Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.31,0.33,0.30,0.31,112400,0.31
2016-03-31,0.30,0.32,0.28,0.32,28500,0.32
2016-03-30,0.30,0.30,0.28,0.28,39000,0.28
2016-03-29,0.32,0.32,0.31,0.31,76400,0.31
2016-03-28,0.34,0.34,0.31,0.32,151800,0.32
2016-03-24,0.33,0.34,0.31,0.34,140600,0.34
2016-03-23,0.35,0.35,0.31,0.31,535500,0.31
2016-03-22,0.28,0.34,0.28,0.33,443200,0.33
2016-03-21,0.24,0.28,0.24,0.28,587200,0.28
2016-03-18,0.24,0.24,0.23,0.24,130300,0.24
2016-03-17,0.25,0.25,0.23,0.24,536200,0.24
2016-03-16,0.26,0.26,0.25,0.25,137100,0.25
2016-03-15,0.26,0.26,0.25,0.25,47500,0.25
2016-03-14,0.25,0.26,0.25,0.26,33500,0.26
2016-03-11,0.26,0.27,0.25,0.26,216000,0.26
2016-03-10,0.27,0.27,0.26,0.26,101100,0.26
2016-03-09,0.26,0.27,0.26,0.27,145200,0.27
2016-03-08,0.26,0.26,0.25,0.26,213200,0.26
2016-03-07,0.26,0.26,0.25,0.25,297800,0.25
2016-03-04,0.26,0.26,0.25,0.26,353000,0.26
2016-03-03,0.25,0.26,0.25,0.26,68600,0.26
2016-03-02,0.26,0.26,0.26,0.26,125900,0.26
2016-03-01,0.27,0.27,0.26,0.26,76500,0.26
2016-02-29,0.27,0.27,0.27,0.27,6000,0.27
2016-02-26,0.27,0.27,0.27,0.27,49000,0.27
2016-02-25,0.27,0.28,0.25,0.27,44800,0.27
2016-02-24,0.26,0.27,0.26,0.27,19200,0.27
2016-02-23,0.28,0.28,0.26,0.26,155000,0.26
2016-02-22,0.28,0.30,0.27,0.29,133200,0.29
2016-02-19,0.28,0.28,0.27,0.28,25500,0.28
2016-02-18,0.26,0.28,0.26,0.27,89900,0.27
2016-02-17,0.27,0.27,0.26,0.27,67500,0.27
2016-02-16,0.27,0.27,0.27,0.27,54600,0.27
2016-02-12,0.27,0.27,0.26,0.27,72000,0.27
