Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,3750.11,3750.11,3750.11,3750.11,000,3750.11
2015-03-31,3750.11,3750.11,3750.11,3750.11,000,3750.11
2015-03-30,3750.11,3750.11,3750.11,3750.11,000,3750.11
2015-03-27,3750.11,3750.11,3750.11,3750.11,000,3750.11
2015-03-26,3750.10,3750.10,3750.10,3750.10,000,3750.10
2015-03-25,3750.01,3750.01,3750.01,3750.01,000,3750.01
2015-03-24,3750.01,3750.01,3750.01,3750.01,000,3750.01
2015-03-23,3750.01,3750.01,3750.01,3750.01,000,3750.01
2015-03-20,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-03-19,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-03-18,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-03-17,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-03-16,3380.01,3380.01,3380.01,3380.01,000,3380.01
2015-03-13,3380.01,3380.01,3380.01,3380.01,000,3380.01
2015-03-12,3380.01,3380.01,3380.01,3380.01,000,3380.01
2015-03-11,3380.01,3380.01,3380.01,3380.01,000,3380.01
2015-03-10,3380.01,3380.01,3380.01,3380.01,000,3380.01
2015-03-09,3380.01,3380.01,3380.01,3380.01,000,3380.01
2015-03-06,3380.01,3380.01,3380.01,3380.01,000,3380.01
2015-03-05,3380.00,3380.00,3380.00,3380.00,000,3380.00
2015-03-04,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-03-03,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-03-02,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-27,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-26,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-25,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-24,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-23,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-20,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-19,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-18,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-17,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-16,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-13,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-12,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-11,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-10,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-09,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-06,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-05,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-04,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-03,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-02-02,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-30,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-29,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-28,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-27,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-26,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-23,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-22,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-21,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-20,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-19,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-16,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-15,3380.10,3380.10,3380.10,3380.10,000,3380.10
2015-01-14,3380.00,3380.00,3380.00,3380.00,000,3380.00
2015-01-13,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-12,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-09,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-08,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-07,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-06,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-05,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-02,3750.00,3750.00,3750.00,3750.00,000,3750.00
2015-01-01,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-31,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-30,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-29,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-26,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-25,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-24,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-23,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-22,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-19,3750.00,3750.00,3750.00,3750.00,000,3750.00
2014-12-18,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-17,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-16,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-15,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-12,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-11,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-10,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-09,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-08,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-05,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-04,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-03,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-02,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-12-01,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-11-28,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-11-27,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-11-26,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-11-25,3601.01,3601.01,3601.01,3601.01,000,3601.01
2014-11-24,3601.01,3601.01,3601.01,3601.01,000,3601.01
