Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,0.54,0.54,0.54,0.54,000,0.477
2015-03-31,0.54,0.54,0.54,0.54,000,0.477
2015-03-30,0.54,0.54,0.54,0.54,000,0.477
2015-03-27,0.54,0.54,0.54,0.54,000,0.477
2015-03-26,0.54,0.54,0.54,0.54,000,0.477
2015-03-25,0.54,0.54,0.54,0.54,000,0.477
2015-03-24,0.54,0.54,0.54,0.54,000,0.477
2015-03-23,0.54,0.54,0.54,0.54,000,0.477
2015-03-20,0.54,0.54,0.54,0.54,000,0.477
2015-03-19,0.54,0.54,0.54,0.54,000,0.477
2015-03-18,0.54,0.54,0.54,0.54,000,0.477
2015-03-17,0.54,0.54,0.54,0.54,000,0.477
2015-03-16,0.54,0.54,0.54,0.54,000,0.477
2015-03-13,0.54,0.54,0.54,0.54,000,0.477
2015-03-12,0.54,0.54,0.54,0.54,000,0.477
2015-03-11,0.54,0.54,0.54,0.54,000,0.477
2015-03-10,0.54,0.54,0.54,0.54,000,0.477
2015-03-09,0.54,0.54,0.54,0.54,000,0.477
2015-03-06,0.54,0.54,0.54,0.54,000,0.477
2015-03-05,0.54,0.54,0.54,0.54,000,0.477
2015-03-04,0.54,0.54,0.54,0.54,000,0.477
2015-03-03,0.54,0.54,0.54,0.54,000,0.477
2015-03-02,0.54,0.54,0.54,0.54,000,0.477
2015-02-27,0.54,0.54,0.54,0.54,000,0.477
2015-02-26,0.54,0.54,0.54,0.54,000,0.477
2015-02-25,0.54,0.54,0.54,0.54,000,0.477
2015-02-24,0.54,0.54,0.54,0.54,000,0.477
2015-02-23,0.54,0.54,0.54,0.54,000,0.477
2015-02-20,0.54,0.54,0.54,0.54,000,0.477
2015-02-19,0.54,0.54,0.54,0.54,000,0.477
2015-02-18,0.54,0.54,0.54,0.54,000,0.477
2015-02-17,0.54,0.54,0.54,0.54,000,0.477
2015-02-16,0.54,0.54,0.54,0.54,000,0.477
2015-02-13,0.54,0.54,0.54,0.54,000,0.477
2015-02-12,0.54,0.54,0.54,0.54,000,0.477
2015-02-11,0.54,0.54,0.54,0.54,000,0.477
2015-02-10,0.54,0.54,0.54,0.54,000,0.477
2015-02-09,0.54,0.54,0.54,0.54,000,0.477
2015-02-06,0.54,0.54,0.54,0.54,000,0.477
2015-02-05,0.54,0.54,0.54,0.54,000,0.477
2015-02-04,0.54,0.54,0.54,0.54,000,0.477
2015-02-03,0.54,0.54,0.54,0.54,000,0.477
2015-02-02,0.54,0.54,0.54,0.54,000,0.477
2015-01-30,0.54,0.54,0.54,0.54,20000,0.477
2015-01-29,0.548,0.548,0.548,0.548,000,0.484
2015-01-28,0.548,0.548,0.548,0.548,000,0.484
2015-01-27,0.548,0.548,0.548,0.548,3000,0.484
2015-01-26,0.573,0.574,0.533,0.574,9200,0.507
2015-01-23,0.57,0.57,0.57,0.57,2000,0.503
2015-01-22,0.518,0.518,0.518,0.518,000,0.457
2015-01-21,0.518,0.518,0.518,0.518,17500,0.457
2015-01-20,0.524,0.524,0.524,0.524,2500,0.462
2015-01-19,0.468,0.468,0.468,0.468,000,0.413
2015-01-16,0.468,0.468,0.468,0.468,000,0.413
2015-01-15,0.468,0.468,0.468,0.468,000,0.413
2015-01-14,0.468,0.468,0.468,0.468,000,0.413
2015-01-13,0.468,0.468,0.468,0.468,000,0.413
2015-01-12,0.468,0.468,0.468,0.468,000,0.413
2015-01-09,0.468,0.468,0.468,0.468,000,0.413
2015-01-08,0.468,0.468,0.468,0.468,000,0.413
2015-01-07,0.468,0.468,0.468,0.468,000,0.413
2015-01-06,0.46,0.468,0.46,0.468,3000,0.413
2015-01-05,0.393,0.393,0.393,0.393,000,0.347
2015-01-02,0.393,0.393,0.393,0.393,000,0.347
2015-01-01,0.393,0.393,0.393,0.393,000,0.347
2014-12-31,0.393,0.393,0.393,0.393,000,0.347
2014-12-30,0.393,0.393,0.393,0.393,000,0.347
2014-12-29,0.393,0.393,0.393,0.393,000,0.347
2014-12-26,0.393,0.393,0.393,0.393,000,0.347
2014-12-25,0.393,0.393,0.393,0.393,000,0.347
2014-12-24,0.393,0.393,0.393,0.393,000,0.347
2014-12-23,0.393,0.393,0.393,0.393,000,0.347
2014-12-22,0.393,0.393,0.393,0.393,000,0.347
2014-12-19,0.393,0.393,0.393,0.393,000,0.347
2014-12-18,0.393,0.393,0.393,0.393,000,0.347
2014-12-17,0.393,0.393,0.393,0.393,000,0.347
2014-12-16,0.393,0.393,0.393,0.393,5000,0.347
2014-12-15,0.433,0.433,0.433,0.433,000,0.382
2014-12-12,0.433,0.433,0.433,0.433,000,0.382
2014-12-11,0.433,0.433,0.433,0.433,000,0.382
2014-12-10,0.433,0.433,0.433,0.433,1000,0.382
2014-12-09,0.409,0.409,0.409,0.409,000,0.361
2014-12-08,0.409,0.409,0.409,0.409,000,0.361
2014-12-05,0.409,0.409,0.409,0.409,000,0.361
2014-12-04,0.409,0.409,0.409,0.409,000,0.361
2014-12-03,0.409,0.409,0.409,0.409,000,0.361
2014-12-02,0.409,0.409,0.409,0.409,000,0.361
2014-12-01,0.409,0.409,0.409,0.409,000,0.361
2014-11-28,0.409,0.409,0.409,0.409,000,0.361
2014-11-27,0.409,0.409,0.409,0.409,000,0.361
2014-11-26,0.409,0.409,0.409,0.409,000,0.361
2014-11-25,0.409,0.409,0.409,0.409,000,0.361
2014-11-24,0.409,0.409,0.409,0.409,000,0.361
2014-11-21,0.409,0.409,0.409,0.409,000,0.361
2014-11-20,0.409,0.409,0.409,0.409,000,0.361
2014-11-19,0.409,0.409,0.409,0.409,000,0.361
2014-11-18,0.409,0.409,0.409,0.409,000,0.361
2014-11-17,0.409,0.409,0.409,0.409,000,0.361
2014-11-14,0.409,0.409,0.409,0.409,147000,0.361
2014-11-13,0.443,0.443,0.443,0.443,000,0.391
2014-11-12,0.443,0.443,0.443,0.443,000,0.391
2014-11-11,0.443,0.443,0.443,0.443,000,0.391
2014-11-10,0.443,0.443,0.443,0.443,000,0.391
2014-11-07,0.443,0.443,0.443,0.443,000,0.391
2014-11-06,0.443,0.443,0.443,0.443,000,0.391
2014-11-05,0.443,0.443,0.443,0.443,000,0.391
2014-11-04,0.443,0.443,0.443,0.443,000,0.391
2014-11-03,0.443,0.443,0.443,0.443,000,0.391
2014-10-31,0.443,0.443,0.443,0.443,000,0.391
2014-10-30,0.443,0.443,0.443,0.443,000,0.391
2014-10-29,0.443,0.443,0.443,0.443,2000,0.391
2014-10-28,0.463,0.463,0.463,0.463,000,0.409
2014-10-27,0.463,0.463,0.463,0.463,000,0.409
2014-10-24,0.463,0.463,0.463,0.463,000,0.409
2014-10-23,0.463,0.463,0.463,0.463,000,0.409
2014-10-22,0.463,0.463,0.463,0.463,000,0.409
2014-10-21,0.463,0.463,0.463,0.463,000,0.409
2014-10-20,0.463,0.463,0.463,0.463,000,0.409
2014-10-17,0.463,0.463,0.463,0.463,000,0.409
2014-10-16,0.463,0.463,0.463,0.463,000,0.409
2014-10-15,0.463,0.463,0.463,0.463,000,0.409
2014-10-14,0.463,0.463,0.463,0.463,000,0.409
2014-10-13,0.463,0.463,0.463,0.463,000,0.409
2014-10-10,0.463,0.463,0.463,0.463,000,0.409
2014-10-09,0.463,0.463,0.463,0.463,000,0.409
2014-10-08,0.463,0.463,0.463,0.463,000,0.409
2014-10-07,0.463,0.463,0.463,0.463,000,0.409
2014-10-06,0.463,0.463,0.463,0.463,000,0.409
2014-10-03,0.463,0.463,0.463,0.463,000,0.409
2014-10-02,0.463,0.463,0.463,0.463,000,0.409
2014-10-01,0.463,0.463,0.463,0.463,000,0.409
2014-09-30,0.463,0.463,0.463,0.463,000,0.409
2014-09-29,0.463,0.463,0.463,0.463,000,0.409
2014-09-26,0.463,0.463,0.463,0.463,000,0.409
2014-09-25,0.463,0.463,0.463,0.463,000,0.409
2014-09-24,0.463,0.463,0.463,0.463,000,0.409
2014-09-23,0.463,0.463,0.463,0.463,000,0.409
2014-09-22,0.463,0.463,0.463,0.463,000,0.409
2014-09-19,0.463,0.463,0.463,0.463,000,0.409
2014-09-18,0.463,0.463,0.463,0.463,000,0.409
2014-09-17,0.463,0.463,0.463,0.463,000,0.409
2014-09-16,0.463,0.463,0.463,0.463,000,0.409
2014-09-15,0.463,0.463,0.463,0.463,000,0.409
2014-09-12,0.463,0.463,0.463,0.463,000,0.409
2014-09-11,0.463,0.463,0.463,0.463,000,0.409
2014-09-10,0.463,0.463,0.463,0.463,500,0.409
2014-09-09,0.472,0.472,0.472,0.472,000,0.417
2014-09-08,0.472,0.472,0.472,0.472,000,0.417
2014-09-05,0.472,0.472,0.472,0.472,000,0.417
2014-09-04,0.472,0.472,0.472,0.472,000,0.417
2014-09-03,0.472,0.472,0.472,0.472,000,0.417
2014-09-02,0.472,0.472,0.472,0.472,000,0.417
2014-09-01,0.472,0.472,0.472,0.472,000,0.417
2014-08-29,0.472,0.472,0.472,0.472,000,0.417
2014-08-28,0.472,0.472,0.472,0.472,000,0.417
2014-08-27,0.472,0.472,0.472,0.472,000,0.417
2014-08-26,0.472,0.472,0.472,0.472,000,0.417
2014-08-25,0.472,0.472,0.472,0.472,000,0.417
2014-08-22,0.472,0.472,0.472,0.472,000,0.417
2014-08-21,0.472,0.472,0.472,0.472,000,0.417
2014-08-20,0.472,0.472,0.472,0.472,000,0.417
2014-08-19,0.472,0.472,0.472,0.472,000,0.417
2014-08-18,0.472,0.472,0.472,0.472,000,0.417
2014-08-15,0.472,0.472,0.472,0.472,000,0.417
2014-08-14,0.472,0.472,0.472,0.472,000,0.417
2014-08-13,0.472,0.472,0.472,0.472,000,0.417
2014-08-12,0.472,0.472,0.472,0.472,000,0.417
2014-08-11,0.472,0.472,0.472,0.472,000,0.417
2014-08-08,0.472,0.472,0.472,0.472,000,0.417
2014-08-07,0.472,0.472,0.472,0.472,000,0.417
2014-08-06,0.472,0.472,0.472,0.472,000,0.417
2014-08-05,0.472,0.472,0.472,0.472,000,0.417
2014-08-04,0.472,0.472,0.472,0.472,000,0.417
2014-08-01,0.472,0.472,0.472,0.472,000,0.417
2014-07-31,0.472,0.472,0.472,0.472,000,0.417
2014-07-30,0.472,0.472,0.472,0.472,000,0.417
2014-07-29,0.472,0.472,0.472,0.472,000,0.417
2014-07-28,0.472,0.472,0.472,0.472,000,0.417
2014-07-25,0.472,0.472,0.472,0.472,000,0.417
2014-07-24,0.472,0.472,0.472,0.472,000,0.417
2014-07-23,0.472,0.472,0.472,0.472,000,0.417
2014-07-22,0.472,0.472,0.472,0.472,000,0.417
2014-07-21,0.472,0.472,0.472,0.472,000,0.417
2014-07-18,0.472,0.472,0.472,0.472,000,0.417
2014-07-17,0.472,0.472,0.472,0.472,000,0.417
2014-07-16,0.472,0.472,0.472,0.472,000,0.417
2014-07-15,0.472,0.472,0.472,0.472,000,0.417
2014-07-14,0.472,0.472,0.472,0.472,000,0.417
2014-07-11,0.472,0.472,0.472,0.472,000,0.417
2014-07-10,0.472,0.472,0.472,0.472,500,0.417
2014-07-09,0.389,0.389,0.389,0.389,000,0.343
2014-07-08,0.389,0.389,0.389,0.389,000,0.343
2014-07-07,0.389,0.389,0.389,0.389,000,0.343
2014-07-04,0.389,0.389,0.389,0.389,000,0.343
2014-07-03,0.389,0.389,0.389,0.389,000,0.343
2014-07-02,0.389,0.389,0.389,0.389,000,0.343
2014-07-01,0.389,0.389,0.389,0.389,000,0.343
2014-06-30,0.389,0.389,0.389,0.389,000,0.343
2014-06-27,0.389,0.389,0.389,0.389,000,0.343
2014-06-26,0.389,0.389,0.389,0.389,000,0.343
