Date,Open,High,Low,Close,Volume,Adj_Close
2016-02-04,57.08,57.08,57.08,57.08,000,57.08
2016-02-03,58.24,58.24,58.24,58.24,000,58.24
2016-01-29,56.58,56.58,56.58,56.58,000,53.53
2016-01-28,56.95,56.95,56.95,56.95,000,53.8801
2016-01-27,57.55,57.55,57.55,57.55,000,54.4477
2016-01-26,56.97,56.97,56.97,56.97,000,53.899
2016-01-25,56.95,56.95,56.95,56.95,000,53.8801
2016-01-22,56.65,56.65,56.65,56.65,000,53.5962
2016-01-21,57.51,57.51,57.51,57.51,000,54.4099
2016-01-20,57.45,57.45,57.45,57.45,000,54.3531
2016-01-19,57.25,57.25,57.25,57.25,000,54.1639
2016-01-18,57.20,57.20,56.90,56.90,100,53.8328
2016-01-15,58.36,58.36,58.36,58.36,000,55.214
2016-01-14,58.95,58.95,58.95,58.95,000,55.7722
2016-01-13,59.14,59.14,59.14,59.14,000,55.952
2016-01-08,58.95,58.95,58.95,58.95,000,55.7722
2016-01-06,59.70,59.70,59.70,59.70,000,56.4818
2016-01-05,59.75,59.75,59.75,59.75,000,56.5291
2016-01-04,59.70,59.83,59.70,59.83,100,56.6048
2016-01-01,58.82,58.82,58.82,58.82,000,55.6493
2015-12-31,58.82,58.82,58.82,58.82,000,55.6493
2015-12-30,58.79,58.82,58.79,58.82,000,55.6493
2015-12-29,58.60,58.60,58.60,58.60,000,55.4411
2015-12-28,59.05,59.05,59.05,59.05,000,55.8669
2015-12-25,58.45,58.45,58.45,58.45,000,55.2992
2015-12-24,58.45,58.45,58.45,58.45,000,55.2992
2015-12-23,58.45,58.45,58.45,58.45,000,55.2992
2015-12-22,58.95,58.95,58.95,58.95,000,55.7722
2015-12-21,58.25,58.25,58.25,58.25,000,55.11
2015-12-18,58.56,58.56,58.56,58.56,000,55.4033
2015-12-17,58.15,58.15,58.15,58.15,000,55.0154
2015-12-16,58.73,58.73,58.73,58.73,000,55.5641
2015-12-15,58.15,58.15,58.15,58.15,000,55.0154
2015-12-14,58.46,58.46,58.46,58.46,000,55.3087
2015-12-11,58.10,58.10,58.10,58.10,000,54.9681
2015-12-10,58.94,58.94,58.94,58.94,000,55.7628
2015-12-09,59.05,59.05,59.05,59.05,000,55.8669
2015-12-08,59.31,59.31,59.31,59.31,000,56.1128
2015-12-04,59.55,59.55,59.55,59.55,000,56.3399
2015-12-03,59.47,59.47,59.47,59.47,000,56.2642
2015-12-02,59.73,59.73,59.73,59.73,000,56.5102
2015-12-01,59.54,59.54,59.54,59.54,000,56.3304
2015-11-30,59.20,59.20,59.20,59.20,000,56.0088
2015-11-27,58.95,58.95,58.95,58.95,000,55.7722
2015-11-26,58.93,58.93,58.93,58.93,000,55.7533
2015-11-25,58.50,58.50,58.50,58.50,000,55.3465
2015-11-24,58.84,58.84,58.84,58.84,000,55.6682
2015-11-23,58.95,58.95,58.95,58.95,000,55.7722
2015-11-20,59.45,59.45,59.45,59.45,000,56.2453
